order_number,item_id,site_code,status,production_order_id,material_price_variance,material_usage_variance,labor_rate_variance,labor_efficiency_variance,variable_overhead_variance,fixed_overhead_volume_variance,scrap_variance,substitution_variance,total_variance,settled_date
MO-000105,SA-0036,100,Ended,105,0.0,47.89,6.08,4.83,1.68,-175.96,49.64,0.0,-65.84,2026-05-26
MO-000106,SA-0073,200,Ended,106,0.0,80.27,-0.03,14.18,6.04,-81.58,54.47,0.0,73.34,2026-06-12
MO-000107,DRV-0010,200,Reported Finished,107,0.0,565.53,-1.74,-1.09,-0.82,136.45,14.58,0.0,712.9,
MO-000151,AFT-0048,300,Ended,151,0.0,856.61,0.29,2.08,2.03,-5252.55,1815.93,0.0,-2575.6,2026-01-17
MO-000152,SA-0025,200,Ended,152,0.0,46.33,-1.02,-6.39,-2.42,17.37,32.51,0.0,86.4,2026-02-03
MO-000153,SA-0062,300,Ended,153,0.0,43.86,0.29,-11.16,-3.75,93.77,20.92,0.0,143.93,2026-02-20
MO-000154,SA-0099,100,Ended,154,0.0,159.4,6.44,-7.93,-3.07,23.23,36.63,0.0,214.7,2026-03-09
MO-000155,DRV-0036,200,Ended,155,0.0,194.64,4.71,-3.02,-1.06,-858.08,299.44,0.0,-363.37,2026-03-27
MO-000156,ACT-0013,100,Ended,156,0.0,36.04,18.27,7.01,2.6,-369.44,104.1,0.0,-201.42,2026-04-13
MO-000157,ACT-0050,200,Ended,157,0.0,704.22,15.55,23.05,8.21,-314.25,288.0,0.0,724.78,2026-04-30
MO-000158,CTL-0027,300,Ended,158,0.0,780.24,7.73,60.64,22.11,-304.05,294.61,0.0,861.28,2026-05-17
MO-000159,SYS-0024,300,Ended,159,0.0,8814.17,27.88,29.96,11.28,-4059.02,1005.1,0.0,5829.38,2026-06-03
MO-000160,AFT-0031,100,Ended,160,0.0,26.85,0.27,1.02,0.53,52.38,23.26,0.0,104.31,2026-06-20
MO-000204,ACT-0039,100,Ended,204,0.0,27.61,5.31,22.11,9.3,15.47,53.19,0.0,132.99,2026-01-08
MO-000205,CTL-0016,300,Ended,205,0.0,118.03,1.79,25.78,8.89,-40.41,122.87,0.0,236.95,2026-01-25
MO-000206,SYS-0013,100,Ended,206,0.0,246.25,-4.16,2.12,0.82,-679.45,488.2,0.0,53.77,2026-02-11
MO-000207,AFT-0020,100,Ended,207,0.0,474.15,-0.9,30.75,8.56,-638.49,411.48,0.0,285.56,2026-02-28
MO-000208,AFT-0057,300,Ended,208,0.0,-1.88,3.93,-13.47,-5.19,147.57,18.56,0.0,149.52,2026-03-17
MO-000209,SA-0034,200,Ended,209,0.0,7.06,7.4,-9.95,-3.65,172.63,15.05,0.0,188.55,2026-04-03
MO-000210,SA-0071,300,Ended,210,0.0,136.08,13.28,4.88,1.8,-11.21,101.08,0.0,245.9,2026-04-20
MO-000211,DRV-0008,200,Ended,211,0.0,75.83,8.11,0.21,0.01,-25.36,41.61,0.0,100.41,2026-05-07
MO-000212,DRV-0045,100,Ended,212,0.0,205.63,12.81,11.28,4.15,-23.99,79.55,0.0,289.43,2026-05-24
MO-000213,ACT-0022,200,Ended,213,0.0,239.9,1.09,23.38,8.21,-135.38,178.27,0.0,315.46,2026-06-10
MO-000214,ACT-0059,100,Started,214,0.0,13803.3,9.12,15.51,5.75,9.13,120.51,0.0,13963.33,
MO-000258,SA-0097,200,Ended,258,0.0,154.95,5.15,14.06,5.21,-129.79,72.13,0.0,121.72,2026-01-16
MO-000259,DRV-0034,200,Ended,259,0.0,20.63,-0.11,15.09,5.95,53.26,16.96,0.0,111.78,2026-02-02
MO-000260,ACT-0011,100,Ended,260,0.0,91.22,2.33,4.55,1.49,4.89,145.8,0.0,250.29,2026-02-19
MO-000261,ACT-0048,200,Ended,261,0.0,127.64,-1.02,6.95,2.32,-2056.37,138.03,0.0,-1782.45,2026-03-08
MO-000262,CTL-0025,300,Ended,262,0.0,807.86,1.71,34.14,14.72,-669.78,521.03,0.0,709.68,2026-03-25
MO-000263,SYS-0022,300,Ended,263,0.0,8569.73,27.67,-54.96,-20.38,-1737.3,1737.82,0.0,8522.57,2026-04-11
MO-000264,AFT-0029,100,Ended,264,0.0,19.3,9.38,-9.67,-3.5,172.03,6.57,0.0,194.12,2026-04-28
MO-000265,SA-0006,100,Ended,265,0.0,39.03,9.34,-4.84,-1.65,-681.41,100.78,0.0,-538.75,2026-05-15
MO-000266,SA-0043,200,Ended,266,0.0,22.54,5.03,10.73,4.23,-90.8,62.54,0.0,14.26,2026-06-01
MO-000267,SA-0080,300,Ended,267,0.0,-9.48,3.9,2.56,1.02,-45.07,63.96,0.0,16.89,2026-06-18
MO-000311,AFT-0018,300,Ended,311,0.0,369.87,61.76,23.51,7.8,-1362.3,408.58,0.0,-490.78,2026-01-07
MO-000312,AFT-0055,100,Ended,312,0.0,4.37,2.42,2.15,0.78,24.88,12.66,0.0,47.26,2026-01-24
MO-000313,SA-0032,300,Ended,313,0.0,18.15,0.25,3.21,1.26,51.97,9.55,0.0,84.39,2026-02-10
MO-000314,SA-0069,100,Ended,314,0.0,38.99,-3.28,14.62,5.45,108.7,15.68,0.0,180.17,2026-02-27
MO-000315,DRV-0006,200,Ended,315,0.0,308.54,2.12,3.81,1.34,-874.63,355.55,0.0,-203.26,2026-03-16
MO-000316,DRV-0043,100,Ended,316,0.0,212.81,13.02,-3.09,-1.47,-441.08,162.87,0.0,-56.94,2026-04-02
MO-000317,ACT-0020,200,Ended,317,0.0,210.57,4.03,24.76,10.18,-235.64,169.07,0.0,182.97,2026-04-19
MO-000318,ACT-0057,100,Ended,318,0.0,-1011.64,32.02,-48.39,-18.6,-784.52,734.03,0.0,-1097.11,2026-05-06
MO-000319,CTL-0034,300,Ended,319,0.0,1378.21,58.11,-16.43,-5.45,-319.26,340.65,0.0,1435.83,2026-05-23
MO-000320,AFT-0001,100,Ended,320,0.0,41.23,3.7,-5.58,-2.11,-46.62,129.39,0.0,119.99,2026-06-09
MO-000321,AFT-0038,100,Released,321,0.0,0.0,0.0,-68.04,-25.51,93.56,0.0,0.0,0.0,
MO-000365,ACT-0046,200,Ended,365,0.0,444.99,9.97,6.69,2.46,-160.67,244.53,0.0,547.97,2026-01-14
MO-000366,CTL-0023,300,Ended,366,0.0,860.54,31.59,43.55,16.55,-489.49,696.15,0.0,1158.88,2026-01-31
MO-000367,SYS-0020,300,Ended,367,0.0,7313.74,0.95,41.25,15.92,-2126.88,2074.1,0.0,7319.08,2026-02-17
MO-000368,AFT-0027,300,Ended,368,0.0,26.25,-1.56,2.96,1.1,66.12,9.84,0.0,104.71,2026-03-06
MO-000369,SA-0004,200,Ended,369,0.0,29.37,-0.75,3.09,1.04,79.48,5.65,0.0,117.89,2026-03-23
MO-000370,SA-0041,300,Ended,370,0.0,47.9,3.15,4.67,2.14,66.09,103.74,0.0,227.69,2026-04-09
MO-000371,SA-0078,100,Ended,371,0.0,125.7,6.4,-2.02,-0.91,-630.11,130.91,0.0,-370.03,2026-04-26
MO-000372,DRV-0015,100,Ended,372,0.0,274.13,11.54,15.73,6.24,-197.36,259.08,0.0,369.36,2026-05-14
MO-000373,DRV-0052,200,Ended,373,0.0,144.95,27.74,-27.84,-10.26,-174.86,233.66,0.0,193.39,2026-05-31
MO-000374,ACT-0029,100,Ended,374,0.0,372.2,31.97,-24.26,-9.18,-119.2,129.26,0.0,380.79,2026-06-17
MO-000418,SA-0067,200,Ended,418,0.0,224.41,6.68,-2.84,-1.02,-166.93,86.68,0.0,146.99,2026-01-05
MO-000419,DRV-0004,200,Ended,419,0.0,236.12,8.11,-1.27,-0.45,79.9,30.65,0.0,353.06,2026-01-22
MO-000420,DRV-0041,100,Ended,420,0.0,144.04,9.86,0.07,-0.09,-40.94,95.01,0.0,207.97,2026-02-08
MO-000421,ACT-0018,200,Ended,421,0.0,342.11,2.57,19.04,6.66,-2531.48,379.39,0.0,-1781.73,2026-02-25
MO-000422,ACT-0055,100,Ended,422,0.0,-381.35,-3.65,96.15,35.39,-1832.85,896.64,0.0,-1189.68,2026-03-14
MO-000423,CTL-0032,300,Ended,423,0.0,1966.79,-4.54,44.28,15.19,-729.94,681.78,0.0,1973.55,2026-03-31
MO-000424,SYS-0029,100,Ended,424,0.0,-46.17,1.64,2.94,1.08,69.38,17.41,0.0,46.28,2026-04-17
MO-000425,AFT-0036,300,Ended,425,0.0,55.86,5.42,-2.96,-1.06,-527.96,95.06,0.0,-375.63,2026-05-04
MO-000426,SA-0013,200,Ended,426,0.0,62.1,7.06,-2.69,-1.05,-114.42,47.99,0.0,-1.01,2026-05-21
MO-000427,SA-0050,300,Ended,427,0.0,160.96,6.27,7.42,2.85,-86.79,107.41,0.0,198.13,2026-06-07
MO-000428,SA-0087,100,Reported Finished,428,0.0,972.69,19.21,-15.87,-5.58,31.61,31.18,0.0,1033.24,
MO-000472,AFT-0025,100,Ended,472,0.0,23.1,2.88,-5.04,-1.91,2.28,21.41,0.0,42.73,2026-01-13
MO-000473,SA-0002,300,Ended,473,0.0,11.07,2.91,-4.21,-1.54,43.66,16.37,0.0,68.27,2026-01-30
MO-000474,SA-0039,100,Ended,474,0.0,43.69,1.59,0.99,0.35,88.08,36.3,0.0,171.01,2026-02-16
MO-000475,SA-0076,200,Ended,475,0.0,50.69,6.75,-1.61,-0.66,54.44,47.27,0.0,156.88,2026-03-05
MO-000476,DRV-0013,100,Ended,476,0.0,225.35,-8.58,12.27,4.9,-251.39,149.59,0.0,132.15,2026-03-22
MO-000477,DRV-0050,200,Ended,477,0.0,2864.98,8.46,54.74,19.24,-913.46,847.07,0.0,2881.03,2026-04-08
MO-000478,ACT-0027,100,Ended,478,0.0,804.53,47.51,76.97,27.86,-832.91,777.78,0.0,901.74,2026-04-25
MO-000479,CTL-0004,300,Ended,479,0.0,2388.03,13.77,49.53,18.96,-204.3,242.95,0.0,2508.93,2026-05-12
MO-000480,SYS-0001,100,Ended,480,0.0,28.31,3.59,-1.51,-0.63,-0.9,36.32,0.0,65.18,2026-05-29
MO-000481,AFT-0008,100,Ended,481,0.0,15.59,3.97,-5.1,-1.74,73.23,19.38,0.0,105.34,2026-06-15
MO-000525,ACT-0016,200,Ended,525,0.0,102.94,16.83,18.58,6.11,-57.32,97.76,0.0,184.9,2026-01-03
MO-000526,ACT-0053,100,Ended,526,0.0,115.88,46.18,-7.24,-0.96,-167.98,256.31,0.0,242.19,2026-01-20
MO-000527,CTL-0030,300,Ended,527,0.0,3320.68,20.54,-24.64,-9.05,-7686.01,1537.48,0.0,-2841.0,2026-02-07
MO-000528,SYS-0027,100,Ended,528,0.0,10.3,0.7,-2.38,-0.87,20.17,30.02,0.0,57.94,2026-02-24
MO-000529,AFT-0034,100,Ended,529,0.0,-5.6,0.26,-2.06,-0.73,44.0,10.02,0.0,45.89,2026-03-13
MO-000530,SA-0011,300,Ended,530,0.0,258.42,-0.9,1.08,0.47,48.46,144.8,0.0,452.35,2026-03-30
MO-000531,SA-0048,100,Ended,531,0.0,70.19,-1.63,5.52,2.18,-966.08,64.47,0.0,-825.35,2026-04-16
MO-000532,SA-0085,200,Ended,532,0.0,-71.03,8.17,27.51,10.25,-259.21,162.93,0.0,-121.37,2026-05-03
MO-000533,DRV-0022,200,Ended,533,0.0,2112.5,28.22,60.53,21.68,-639.33,755.82,0.0,2339.42,2026-05-20
MO-000534,DRV-0059,100,Ended,534,0.0,-1535.27,40.56,43.35,18.04,-372.94,572.08,0.0,-1234.18,2026-06-06
MO-000535,ACT-0036,200,Started,535,0.0,3637.68,7.45,14.83,5.11,-354.74,36.26,0.0,3346.59,
MO-000579,SA-0074,300,Ended,579,0.0,5.7,13.72,22.03,7.87,29.09,14.77,0.0,93.17,2026-01-11
MO-000580,DRV-0011,100,Ended,580,0.0,539.61,26.42,1.33,-0.55,-73.84,288.19,0.0,781.17,2026-01-28
MO-000581,DRV-0048,200,Ended,581,0.0,631.27,21.96,-0.02,1.26,-1067.07,329.77,0.0,-82.82,2026-02-14
MO-000582,ACT-0025,100,Ended,582,0.0,4590.16,8.98,-24.45,-9.29,-1684.77,1174.4,0.0,4055.02,2026-03-03
MO-000583,CTL-0002,300,Ended,583,0.0,1195.68,-0.92,1.04,0.39,-813.52,384.84,0.0,767.51,2026-03-20
MO-000584,CTL-0039,300,Ended,584,0.0,63.87,0.68,-0.98,-0.35,27.38,28.26,0.0,118.85,2026-04-06
MO-000585,AFT-0006,300,Ended,585,0.0,924.76,-1.14,-2.28,-0.83,-765.53,575.5,0.0,730.48,2026-04-23
MO-000586,AFT-0043,100,Ended,586,0.0,103.58,4.88,7.11,2.63,-143.2,98.24,0.0,73.25,2026-05-10
MO-000587,SA-0020,300,Ended,587,0.0,124.73,5.15,7.81,2.65,-17.19,46.99,0.0,170.13,2026-05-27
MO-000588,SA-0057,100,Ended,588,0.0,60.27,19.36,31.01,11.51,9.22,32.47,0.0,163.83,2026-06-13
MO-000632,SYS-0025,100,Ended,632,0.0,19.36,2.76,-3.96,-1.49,37.24,23.57,0.0,77.47,2026-01-02
MO-000633,AFT-0032,100,Ended,633,0.0,17.56,5.09,5.43,2.1,6.79,26.6,0.0,63.57,2026-01-19
MO-000634,SA-0009,100,Ended,634,0.0,154.34,14.33,21.23,8.48,48.09,26.03,0.0,272.5,2026-02-05
MO-000635,SA-0046,200,Ended,635,0.0,53.99,9.36,-1.01,-0.97,63.82,60.19,0.0,185.38,2026-02-22
MO-000636,SA-0083,300,Ended,636,0.0,133.54,10.12,-6.54,-2.27,-61.42,291.87,0.0,365.3,2026-03-11
MO-000637,DRV-0020,200,Ended,637,0.0,248.51,-0.11,-14.57,-5.4,-303.64,258.33,0.0,183.13,2026-03-28
MO-000638,DRV-0057,100,Ended,638,0.0,3776.17,-5.11,-6.54,-2.45,-1131.95,1083.65,0.0,3713.77,2026-04-14
MO-000639,ACT-0034,200,Ended,639,0.0,230.21,7.68,15.52,5.55,4.84,59.27,0.0,323.08,2026-05-01
MO-000640,CTL-0011,300,Ended,640,0.0,211.41,2.1,-1.22,-0.43,-155.33,213.52,0.0,270.05,2026-05-18
MO-000641,SYS-0008,300,Ended,641,0.0,31.6,2.67,0.58,0.15,19.18,17.44,0.0,71.63,2026-06-04
MO-000642,AFT-0015,300,Released,642,0.0,0.0,0.0,-67.68,-25.38,93.06,0.0,0.0,0.0,
MO-000686,ACT-0023,100,Ended,686,0.0,4041.92,41.89,68.33,24.93,-1183.59,1294.85,0.0,4288.33,2026-01-10
MO-000687,ACT-0060,200,Ended,687,0.0,171.33,9.09,17.26,5.9,-2627.85,114.46,0.0,-2309.81,2026-01-27
MO-000688,CTL-0037,300,Ended,688,0.0,-7.81,6.94,-0.61,-0.24,-67.6,129.94,0.0,60.63,2026-02-13
MO-000689,AFT-0004,100,Ended,689,0.0,166.66,5.99,5.54,1.73,3.37,42.87,0.0,226.17,2026-03-02
MO-000690,AFT-0041,100,Ended,690,0.0,328.32,6.31,-1.58,-0.05,-74.94,203.53,0.0,461.59,2026-03-19
MO-000691,SA-0018,100,Ended,691,0.0,294.26,1.53,-5.72,-1.97,-1214.89,140.79,0.0,-785.99,2026-04-05
MO-000692,SA-0055,200,Ended,692,0.0,594.33,2.88,-8.24,-3.0,-673.02,220.93,0.0,133.89,2026-04-22
MO-000693,SA-0092,300,Ended,693,0.0,207.16,-1.1,-5.62,-2.02,-81.81,44.04,0.0,160.64,2026-05-09
MO-000694,DRV-0029,100,Ended,694,0.0,1133.94,5.82,3.78,1.32,-145.43,226.4,0.0,1225.82,2026-05-26
MO-000695,ACT-0006,200,Ended,695,0.0,213.27,22.55,13.84,5.02,-6212.93,456.19,0.0,-5502.05,2026-06-12
MO-000696,ACT-0043,100,Released,696,0.0,0.0,0.0,-33.24,-12.81,46.05,0.0,0.0,0.0,
MO-000740,SA-0081,100,Ended,740,0.0,90.22,10.97,12.36,4.54,-231.56,281.96,0.0,168.5,2026-01-17
MO-000741,DRV-0018,200,Ended,741,0.0,410.77,25.53,31.02,10.88,-3829.26,528.75,0.0,-2822.31,2026-02-03
MO-000742,DRV-0055,100,Ended,742,0.0,299.45,10.32,28.19,10.01,-2710.33,2268.18,0.0,-94.19,2026-02-20
MO-000743,ACT-0032,200,Ended,743,0.0,172.83,47.06,60.63,22.18,-249.76,81.44,0.0,134.38,2026-03-09
MO-000744,CTL-0009,300,Ended,744,0.0,176.55,3.4,-0.53,-0.33,109.53,21.98,0.0,310.61,2026-03-27
MO-000745,SYS-0006,300,Ended,745,0.0,63.68,0.58,-0.32,0.25,-188.24,43.66,0.0,-80.39,2026-04-13
MO-000746,AFT-0013,100,Ended,746,0.0,705.8,1.22,-7.06,-2.88,-464.49,412.53,0.0,645.12,2026-04-30
MO-000747,AFT-0050,100,Ended,747,0.0,417.35,-0.85,-5.91,-2.1,-280.52,296.56,0.0,424.53,2026-05-17
MO-000748,SA-0027,100,Ended,748,0.0,-5.59,17.96,3.88,1.63,-1.98,89.99,0.0,105.89,2026-06-03
MO-000749,SA-0064,200,Ended,749,0.0,15.14,3.24,-0.24,-0.06,9.49,21.41,0.0,48.99,2026-06-20
MO-000793,AFT-0002,100,Ended,793,0.0,152.01,0.89,-4.61,-1.66,-3.78,65.41,0.0,208.25,2026-01-08
MO-000794,AFT-0039,300,Ended,794,0.0,-192.27,5.78,2.04,0.72,-270.4,299.37,0.0,-154.76,2026-01-25
MO-000795,SA-0016,200,Ended,795,0.0,52.87,5.6,3.02,1.19,15.66,41.14,0.0,119.48,2026-02-11
MO-000796,SA-0053,300,Ended,796,0.0,546.1,16.8,14.24,5.31,-190.97,312.95,0.0,704.43,2026-02-28
MO-000797,SA-0090,100,Ended,797,0.0,153.7,5.71,28.07,10.05,-3656.43,159.87,0.0,-3299.03,2026-03-17
MO-000798,DRV-0027,100,Ended,798,0.0,1099.67,36.86,43.56,15.85,-335.51,327.25,0.0,1187.68,2026-04-03
MO-000799,ACT-0004,200,Ended,799,0.0,-89.5,8.5,98.6,34.15,39.32,35.51,0.0,126.58,2026-04-20
MO-000800,ACT-0041,100,Ended,800,0.0,10.56,-2.15,-5.03,-1.89,112.38,33.26,0.0,147.14,2026-05-07
MO-000801,CTL-0018,300,Ended,801,0.0,104.39,1.36,-4.28,-1.67,-195.94,54.8,0.0,-41.33,2026-05-24
MO-000802,SYS-0015,100,Ended,802,0.0,2132.72,9.63,-6.67,-2.5,-493.12,577.77,0.0,2217.83,2026-06-10
MO-000803,AFT-0022,100,Reported Finished,803,0.0,383.64,2.19,-2.09,-0.77,76.16,9.01,0.0,468.15,
MO-000847,ACT-0030,200,Ended,847,0.0,301.15,23.52,-26.55,-8.61,-2681.95,232.98,0.0,-2159.45,2026-01-16
MO-000848,CTL-0007,300,Ended,848,0.0,94.89,10.35,-3.94,-1.47,1.55,66.21,0.0,167.59,2026-02-02
MO-000849,SYS-0004,300,Ended,849,0.0,33.98,4.35,-2.9,-1.05,99.28,5.44,0.0,139.09,2026-02-19
MO-000850,AFT-0011,100,Ended,850,0.0,44.0,8.82,4.22,1.57,-38.93,80.46,0.0,100.13,2026-03-08
MO-000851,AFT-0048,300,Ended,851,0.0,-118.17,3.37,9.65,3.44,-1116.4,415.07,0.0,-803.03,2026-03-25
MO-000852,SA-0025,200,Ended,852,0.0,68.28,2.03,12.29,4.53,-374.64,151.71,0.0,-135.79,2026-04-11
MO-000853,SA-0062,300,Ended,853,0.0,67.04,5.09,33.12,11.46,-232.8,94.13,0.0,-21.98,2026-04-28
MO-000854,SA-0099,100,Ended,854,0.0,583.34,-12.48,57.0,21.58,-141.01,146.53,0.0,654.96,2026-05-15
MO-000855,DRV-0036,200,Ended,855,0.0,2052.9,-5.04,34.28,11.35,-4006.29,1310.04,0.0,-602.76,2026-06-01
MO-000856,ACT-0013,100,Ended,856,0.0,22.72,1.96,-7.47,-2.64,38.09,22.31,0.0,74.98,2026-06-18
MO-000900,SA-0051,100,Ended,900,0.0,612.84,7.34,-3.72,-1.32,-341.03,381.05,0.0,655.15,2026-01-07
MO-000901,SA-0088,200,Ended,901,0.0,148.14,1.03,-22.79,-8.13,-30.71,82.08,0.0,169.63,2026-01-24
MO-000902,DRV-0025,100,Ended,902,0.0,-41.85,32.03,-21.68,-8.23,-1756.81,941.16,0.0,-855.38,2026-02-10
MO-000903,ACT-0002,200,Ended,903,0.0,-54.26,73.06,11.69,3.91,-322.41,139.45,0.0,-148.56,2026-02-27
MO-000904,ACT-0039,100,Ended,904,0.0,-24.96,5.18,-1.58,-0.57,122.04,11.4,0.0,111.52,2026-03-16
MO-000905,CTL-0016,300,Ended,905,0.0,10.59,5.95,-1.92,-0.7,69.61,27.31,0.0,110.83,2026-04-02
MO-000906,SYS-0013,100,Ended,906,0.0,238.83,1.21,4.57,1.68,-134.34,122.05,0.0,234.0,2026-04-19
MO-000907,AFT-0020,100,Ended,907,0.0,94.49,4.99,10.35,3.48,-67.95,94.05,0.0,139.41,2026-05-06
MO-000908,AFT-0057,300,Ended,908,0.0,-55.44,-7.0,34.42,12.68,0.21,86.61,0.0,71.49,2026-05-23
MO-000909,SA-0034,200,Ended,909,0.0,-160.21,1.28,39.5,14.36,88.84,67.73,0.0,51.5,2026-06-09
MO-000910,SA-0071,300,Started,910,0.0,8162.17,16.34,0.58,-0.45,-0.57,80.86,0.0,8258.93,
MO-000954,AFT-0009,300,Ended,954,0.0,12.06,5.11,-5.18,-1.77,132.93,21.8,0.0,164.94,2026-01-14
MO-000955,AFT-0046,100,Ended,955,0.0,41.45,-0.08,7.79,2.56,-102.31,132.83,0.0,82.24,2026-01-31
MO-000956,SA-0023,300,Ended,956,0.0,494.86,13.81,-16.81,-5.71,-304.29,403.31,0.0,585.17,2026-02-17
MO-000957,SA-0060,100,Ended,957,0.0,26.24,16.78,-15.6,-5.67,-1621.66,93.86,0.0,-1506.06,2026-03-06
MO-000958,SA-0097,200,Ended,958,0.0,570.32,54.08,1.06,0.2,-1089.2,288.53,0.0,-175.01,2026-03-23
MO-000959,DRV-0034,200,Ended,959,0.0,225.16,22.76,34.76,12.31,-33.54,74.2,0.0,335.64,2026-04-09
MO-000960,ACT-0011,100,Ended,960,0.0,25.27,2.1,-0.56,-0.18,135.2,31.24,0.0,193.07,2026-04-26
MO-000961,ACT-0048,200,Ended,961,0.0,12.45,0.06,-1.64,-0.59,-368.81,30.67,0.0,-327.86,2026-05-14
MO-000962,CTL-0025,300,Ended,962,0.0,70.68,-3.31,6.71,2.66,-140.56,130.26,0.0,66.43,2026-05-31
MO-000963,SYS-0022,300,Ended,963,0.0,1332.47,-0.63,18.91,6.7,-300.19,397.22,0.0,1454.47,2026-06-17
MO-001007,DRV-0060,200,Ended,1007,0.0,95.07,-13.72,60.95,23.27,-4589.72,196.23,0.0,-4227.92,2026-01-05
MO-001008,ACT-0037,100,Ended,1008,0.0,-215.1,0.11,-0.03,-0.09,-87.26,113.74,0.0,-188.63,2026-01-22
MO-001009,CTL-0014,300,Ended,1009,0.0,-3.79,2.88,-4.1,-1.33,68.64,7.53,0.0,69.83,2026-02-08
MO-001010,SYS-0011,100,Ended,1010,0.0,294.59,9.7,1.95,0.31,28.06,178.59,0.0,513.2,2026-02-25
MO-001011,AFT-0018,300,Ended,1011,0.0,83.09,7.65,-13.16,-4.72,-298.88,93.39,0.0,-132.63,2026-03-14
MO-001012,AFT-0055,100,Ended,1012,0.0,45.91,28.65,-12.0,-4.6,-219.87,59.09,0.0,-102.82,2026-03-31
MO-001013,SA-0032,300,Ended,1013,0.0,30.37,28.36,-4.14,-1.39,-122.28,42.99,0.0,-26.1,2026-04-17
MO-001014,SA-0069,100,Ended,1014,0.0,-8.54,11.66,17.38,6.45,-123.7,62.72,0.0,-34.03,2026-05-04
MO-001015,DRV-0006,200,Ended,1015,0.0,427.77,0.98,45.91,16.36,-4069.21,1555.55,0.0,-2022.64,2026-05-21
MO-001016,DRV-0043,100,Ended,1016,0.0,53.97,0.63,-0.62,-0.22,30.12,34.9,0.0,118.78,2026-06-07
MO-001017,ACT-0020,200,Released,1017,0.0,0.0,0.0,-56.32,-19.85,76.18,0.0,0.0,0.0,
MO-001061,SA-0058,200,Ended,1061,0.0,141.85,-3.54,64.97,23.27,-21.31,123.54,0.0,328.77,2026-01-13
MO-001062,SA-0095,300,Ended,1062,0.0,1491.03,21.65,47.46,19.75,-355.13,535.42,0.0,1760.18,2026-01-30
MO-001063,DRV-0032,200,Ended,1063,0.0,178.5,4.14,52.02,17.96,-357.84,85.0,0.0,-20.22,2026-02-16
MO-001064,ACT-0009,100,Ended,1064,0.0,12.93,1.88,-2.58,-0.97,47.42,5.46,0.0,64.14,2026-03-05
MO-001065,ACT-0046,200,Ended,1065,0.0,66.72,5.55,-0.7,-0.49,58.69,54.34,0.0,184.1,2026-03-22
MO-001066,CTL-0023,300,Ended,1066,0.0,88.98,11.71,-15.53,-5.97,38.84,174.04,0.0,292.07,2026-04-08
MO-001067,SYS-0020,300,Ended,1067,0.0,1173.65,13.06,-7.32,-2.67,-471.43,474.08,0.0,1179.37,2026-04-25
