item_id,site_code,warehouse_code,location_code,lot_number,on_hand_quantity,reserved_quantity,quality_hold_quantity,standard_unit_cost,last_movement_date,item_type,product_family
AFT-0007,400,400-FG,400-FG-01,,34.2,6.156,0.0,295.97,2026-06-29,Aftermarket,AFT
AFT-0008,100,100-FG,100-FG-01,,45.0,8.1,0.0,242.3,2026-06-17,Aftermarket,AFT
AFT-0008,400,400-FG,400-FG-01,,81.0,14.58,0.0,242.3,2026-06-17,Aftermarket,AFT
AFT-0009,300,300-FG,300-FG-01,,104.0,18.72,0.0,622.76,2026-06-19,Aftermarket,AFT
AFT-0009,400,400-FG,400-FG-01,,187.2,33.696,0.0,622.76,2026-06-19,Aftermarket,AFT
AFT-0010,100,100-FG,100-FG-01,,100.0,10.0,0.0,221.84,2026-06-20,Aftermarket,AFT
AFT-0010,400,400-FG,400-FG-01,,216.0,38.88,0.0,221.84,2026-06-20,Aftermarket,AFT
AFT-0011,100,100-FG,100-FG-01,,310.0,55.8,0.0,459.76,2026-06-28,Aftermarket,AFT
AFT-0011,400,400-FG,400-FG-01,,558.0,100.44,0.0,459.76,2026-06-28,Aftermarket,AFT
AFT-0012,300,300-FG,300-FG-01,,3.8,0.684,0.0,1004.49,2026-06-29,Aftermarket,AFT
AFT-0012,400,400-FG,400-FG-01,,6.84,1.2312,0.0,1004.49,2026-06-29,Aftermarket,AFT
AFT-0013,100,100-FG,100-FG-01,,20.0,3.6,0.0,2946.61,2026-06-14,Aftermarket,AFT
AFT-0013,400,400-FG,400-FG-01,,40.5,7.29,0.0,2946.61,2026-06-14,Aftermarket,AFT
AFT-0014,100,100-FG,100-FG-01,,52.0,9.36,0.0,936.0,2026-06-19,Aftermarket,AFT
AFT-0014,400,400-FG,400-FG-01,,93.6,16.848,0.0,936.0,2026-06-19,Aftermarket,AFT
AFT-0015,300,300-FG,300-FG-01,,48.0,8.64,0.0,1124.21,2026-06-20,Aftermarket,AFT
AFT-0015,400,400-FG,400-FG-01,,86.4,15.552,0.0,1124.21,2026-06-20,Aftermarket,AFT
AFT-0016,100,100-FG,100-FG-01,,100.0,10.0,0.0,1691.61,2026-06-22,Aftermarket,AFT
AFT-0016,400,400-FG,400-FG-01,,279.0,50.22,0.0,1691.61,2026-06-22,Aftermarket,AFT
AFT-0017,100,100-FG,100-FG-01,,380.0,68.4,0.0,1705.89,2026-06-29,Aftermarket,AFT
AFT-0017,400,400-FG,400-FG-01,,684.0,123.12,0.0,1705.89,2026-06-29,Aftermarket,AFT
AFT-0018,300,300-FG,300-FG-01,,4.5,0.81,0.0,583.68,2026-06-30,Aftermarket,AFT
AFT-0018,400,400-FG,400-FG-01,,8.1,1.458,0.0,583.68,2026-06-30,Aftermarket,AFT
AFT-0019,100,100-FG,100-FG-01,,20.0,3.6,0.0,769.7,2026-06-15,Aftermarket,AFT
AFT-0019,400,400-FG,400-FG-01,,46.8,8.424,0.0,769.7,2026-06-15,Aftermarket,AFT
AFT-0020,100,100-FG,100-FG-01,,24.0,4.32,0.0,783.78,2026-06-20,Aftermarket,AFT
AFT-0020,400,400-FG,400-FG-01,,43.2,7.776,0.0,783.78,2026-06-20,Aftermarket,AFT
AFT-0021,300,300-FG,300-FG-01,,62.0,11.16,0.0,395.22,2026-06-22,Aftermarket,AFT
AFT-0021,400,400-FG,400-FG-01,,111.6,20.088,0.0,395.22,2026-06-22,Aftermarket,AFT
AFT-0022,100,100-FG,100-FG-01,,100.0,10.0,0.0,225.37,2026-06-29,Aftermarket,AFT
AFT-0022,400,400-FG,400-FG-01,,342.0,61.56,0.0,225.37,2026-06-29,Aftermarket,AFT
AFT-0023,100,100-FG,100-FG-01,,450.0,81.0,0.0,273.18,2026-06-30,Aftermarket,AFT
AFT-0023,400,400-FG,400-FG-01,,810.0,145.8,0.0,273.18,2026-06-30,Aftermarket,AFT
AFT-0024,300,300-FG,300-FG-01,,5.2,0.936,0.0,584.52,2026-06-12,Aftermarket,AFT
AFT-0024,400,400-FG,400-FG-01,,9.36,1.6848,0.0,584.52,2026-06-12,Aftermarket,AFT
AFT-0025,100,100-FG,100-FG-01,,20.0,3.6,0.0,475.86,2026-06-17,Aftermarket,AFT
AFT-0025,400,400-FG,400-FG-01,,21.6,3.888,0.0,475.86,2026-06-17,Aftermarket,AFT
AFT-0026,100,100-FG,100-FG-01,,31.0,5.58,0.0,194.56,2026-06-22,Aftermarket,AFT
AFT-0026,400,400-FG,400-FG-01,,79.225,14.2605,0.0,194.56,2026-06-22,Aftermarket,AFT
AFT-0027,300,300-FG,300-FG-01,,76.0,13.68,0.0,328.06,2026-06-23,Aftermarket,AFT
AFT-0027,400,400-FG,400-FG-01,,136.8,24.624,0.0,328.06,2026-06-23,Aftermarket,AFT
AFT-0028,100,100-FG,100-FG-01,,100.0,10.0,0.0,349.76,2026-06-30,Aftermarket,AFT
AFT-0028,400,400-FG,400-FG-01,,405.0,72.9,0.0,349.76,2026-06-30,Aftermarket,AFT
AFT-0029,100,100-FG,100-FG-01,,520.0,93.6,0.0,438.33,2026-06-12,Aftermarket,AFT
AFT-0029,400,400-FG,400-FG-01,,936.0,168.48,0.0,438.33,2026-06-12,Aftermarket,AFT
AFT-0030,300,300-FG,300-FG-01,,2.4,0.432,0.0,342.02,2026-06-17,Aftermarket,AFT
AFT-0030,400,400-FG,400-FG-01,,4.32,0.7776,0.0,342.02,2026-06-17,Aftermarket,AFT
AFT-0031,100,100-FG,100-FG-01,,20.0,3.6,0.0,310.17,2026-06-22,Aftermarket,AFT
AFT-0031,400,400-FG,400-FG-01,,27.9,5.022,0.0,310.17,2026-06-22,Aftermarket,AFT
AFT-0032,100,100-FG,100-FG-01,,38.0,6.84,0.0,665.09,2026-06-23,Aftermarket,AFT
AFT-0032,400,400-FG,400-FG-01,,80.71,14.5278,0.0,665.09,2026-06-23,Aftermarket,AFT
AFT-0033,300,300-FG,300-FG-01,,90.0,16.2,0.0,997.67,2026-06-25,Aftermarket,AFT
AFT-0033,400,400-FG,400-FG-01,,162.0,29.16,0.0,997.67,2026-06-25,Aftermarket,AFT
AFT-0034,100,100-FG,100-FG-01,,100.0,10.0,0.0,501.15,2026-06-09,Aftermarket,AFT
AFT-0034,400,400-FG,400-FG-01,,468.0,84.24,0.0,501.15,2026-06-11,Aftermarket,AFT
AFT-0035,100,100-FG,100-FG-01,,240.0,43.2,0.0,2292.51,2026-06-14,Aftermarket,AFT
AFT-0035,400,400-FG,400-FG-01,,432.0,77.76,0.0,2292.51,2026-06-14,Aftermarket,AFT
AFT-0036,300,300-FG,300-FG-01,,3.1,0.558,0.0,950.63,2026-06-19,Aftermarket,AFT
AFT-0036,400,400-FG,400-FG-01,,5.58,1.0044,0.0,950.63,2026-06-19,Aftermarket,AFT
AFT-0037,100,100-FG,100-FG-01,,20.0,3.6,0.0,3077.36,2026-06-23,Aftermarket,AFT
AFT-0037,400,400-FG,400-FG-01,,34.2,6.156,0.0,3077.36,2026-06-23,Aftermarket,AFT
AFT-0038,100,100-FG,100-FG-01,,45.0,8.1,0.0,1359.57,2026-06-25,Aftermarket,AFT
AFT-0038,400,400-FG,400-FG-01,,81.0,14.58,0.0,1359.57,2026-06-25,Aftermarket,AFT
AFT-0039,300,300-FG,300-FG-01,,104.0,18.72,0.0,8553.41,2026-06-26,Aftermarket,AFT
AFT-0039,400,400-FG,400-FG-01,,187.2,33.696,0.0,8553.41,2026-06-26,Aftermarket,AFT
AFT-0040,100,100-FG,100-FG-01,,100.0,10.0,0.0,567.45,2026-06-11,Aftermarket,AFT
AFT-0040,400,400-FG,400-FG-01,,216.0,38.88,0.0,567.45,2026-06-11,Aftermarket,AFT
AFT-0041,100,100-FG,100-FG-01,,310.0,55.8,0.0,1163.03,2026-06-15,Aftermarket,AFT
AFT-0041,400,400-FG,400-FG-01,,558.0,100.44,0.0,1163.03,2026-06-15,Aftermarket,AFT
AFT-0042,300,300-FG,300-FG-01,,3.8,0.684,0.0,299.24,2026-06-20,Aftermarket,AFT
AFT-0042,400,400-FG,400-FG-01,,25.96,1.9,0.0,299.24,2026-06-20,Aftermarket,AFT
AFT-0043,100,100-FG,100-FG-01,,20.0,3.6,0.0,701.73,2026-06-25,Aftermarket,AFT
AFT-0043,400,400-FG,400-FG-01,,40.5,7.29,0.0,701.73,2026-06-25,Aftermarket,AFT
AFT-0044,100,100-FG,100-FG-01,,52.0,9.36,0.0,1002.17,2026-06-26,Aftermarket,AFT
AFT-0044,400,400-FG,400-FG-01,,93.6,16.848,0.0,1002.17,2026-06-26,Aftermarket,AFT
AFT-0045,300,300-FG,300-FG-01,,48.0,8.64,0.0,1273.82,2026-06-28,Aftermarket,AFT
AFT-0045,400,400-FG,400-FG-01,,86.4,15.552,0.0,1273.82,2026-06-28,Aftermarket,AFT
AFT-0046,100,100-FG,100-FG-01,,100.0,10.0,0.0,664.14,2026-06-15,Aftermarket,AFT
AFT-0046,400,400-FG,400-FG-01,,279.0,50.22,0.0,664.14,2026-06-15,Aftermarket,AFT
AFT-0047,100,100-FG,100-FG-01,,380.0,68.4,0.0,1876.46,2026-06-17,Aftermarket,AFT
AFT-0047,400,400-FG,400-FG-01,,684.0,123.12,0.0,1876.46,2026-06-17,Aftermarket,AFT
AFT-0048,300,300-FG,300-FG-01,,4.5,0.81,0.0,2594.19,2026-06-22,Aftermarket,AFT
AFT-0048,400,400-FG,400-FG-01,,8.1,1.458,0.0,2594.19,2026-06-22,Aftermarket,AFT
AFT-0049,100,100-FG,100-FG-01,,20.0,3.6,0.0,719.95,2026-06-26,Aftermarket,AFT
AFT-0049,400,400-FG,400-FG-01,,46.8,8.424,0.0,719.95,2026-06-26,Aftermarket,AFT
AFT-0050,100,100-FG,100-FG-01,,24.0,4.32,0.0,2471.31,2026-06-28,Aftermarket,AFT
AFT-0050,400,400-FG,400-FG-01,,43.2,7.776,0.0,2471.31,2026-06-28,Aftermarket,AFT
AFT-0051,300,300-FG,300-FG-01,,62.0,11.16,0.0,1343.82,2026-06-12,Aftermarket,AFT
AFT-0051,400,400-FG,400-FG-01,,111.6,20.088,0.0,1343.82,2026-06-12,Aftermarket,AFT
AFT-0052,100,100-FG,100-FG-01,,100.0,10.0,0.0,315.62,2026-06-17,Aftermarket,AFT
AFT-0052,400,400-FG,400-FG-01,,342.0,61.56,0.0,315.62,2026-06-17,Aftermarket,AFT
AFT-0053,100,100-FG,100-FG-01,,450.0,81.0,0.0,484.99,2026-06-22,Aftermarket,AFT
AFT-0053,400,400-FG,400-FG-01,,810.0,145.8,0.0,484.99,2026-06-22,Aftermarket,AFT
AFT-0054,300,300-FG,300-FG-01,,5.2,0.936,0.0,278.71,2026-06-23,Aftermarket,AFT
AFT-0054,400,400-FG,400-FG-01,,63.175,2.6,0.0,278.71,2026-06-23,Aftermarket,AFT
AFT-0055,100,100-FG,100-FG-01,,20.0,3.6,0.0,281.39,2026-06-28,Aftermarket,AFT
AFT-0055,400,400-FG,400-FG-01,,21.6,3.888,0.0,281.39,2026-06-28,Aftermarket,AFT
AFT-0056,100,100-FG,100-FG-01,,31.0,5.58,0.0,386.11,2026-06-29,Aftermarket,AFT
AFT-0056,400,400-FG,400-FG-01,,55.8,10.044,0.0,386.11,2026-06-29,Aftermarket,AFT
AFT-0057,300,300-FG,300-FG-01,,76.0,13.68,0.0,618.61,2026-06-14,Aftermarket,AFT
AFT-0057,400,400-FG,400-FG-01,,136.8,24.624,0.0,618.61,2026-06-14,Aftermarket,AFT
AFT-0058,100,100-FG,100-FG-01,,100.0,10.0,0.0,248.59,2026-06-19,Aftermarket,AFT
AFT-0058,400,400-FG,400-FG-01,,405.0,72.9,0.0,248.59,2026-06-19,Aftermarket,AFT
AFT-0059,100,100-FG,100-FG-01,,520.0,93.6,0.0,270.09,2026-06-23,Aftermarket,AFT
AFT-0059,400,400-FG,400-FG-01,,936.0,168.48,0.0,270.09,2026-06-23,Aftermarket,AFT
AFT-0060,300,300-FG,300-FG-01,,2.4,0.432,0.0,381.83,2026-06-28,Aftermarket,AFT
AFT-0060,400,400-FG,400-FG-01,,4.32,0.7776,0.0,381.83,2026-06-28,Aftermarket,AFT
CTL-0001,300,300-FG,300-FG-01,,24.8,4.464,0.0,2176.29,2026-06-10,Finished Good,CTL
CTL-0002,300,300-FG,300-FG-01,,60.8,10.944,0.0,1099.53,2026-06-15,Finished Good,CTL
CTL-0003,300,300-FG,300-FG-01,,144.0,25.92,0.0,1770.14,2026-06-20,Finished Good,CTL
CTL-0004,300,300-FG,300-FG-01,,416.0,74.88,0.0,1388.27,2026-06-24,Finished Good,CTL
CTL-0005,300,300-FG,300-FG-01,,384.0,69.12,0.0,1064.96,2026-06-29,Finished Good,CTL
CTL-0006,300,300-FG,300-FG-01,,10.34,1.55,0.0,1608.41,2026-06-27,Finished Good,CTL
CTL-0007,300,300-FG,300-FG-01,,30.4,5.472,0.0,2206.97,2026-06-15,Finished Good,CTL
CTL-0008,300,300-FG,300-FG-01,,72.0,12.96,0.0,710.8,2026-06-17,Finished Good,CTL
CTL-0009,300,300-FG,300-FG-01,,166.4,29.952,0.0,1465.61,2026-06-18,Finished Good,CTL
CTL-0010,300,300-FG,300-FG-01,,192.0,34.56,0.0,2841.5,2026-06-26,Finished Good,CTL
CTL-0011,300,300-FG,300-FG-01,,496.0,89.28,0.0,2846.92,2026-06-27,Finished Good,CTL
CTL-0012,300,300-FG,300-FG-01,,6.08,1.0944,0.0,4482.68,2026-06-12,Finished Good,CTL
CTL-0013,300,300-FG,300-FG-01,,36.0,6.48,0.0,269.64,2026-06-17,Finished Good,CTL
CTL-0014,300,300-FG,300-FG-01,,91.105,16.3989,0.0,376.33,2026-06-18,Finished Good,CTL
CTL-0015,300,300-FG,300-FG-01,,76.8,13.824,0.0,505.32,2026-06-20,Finished Good,CTL
CTL-0016,300,300-FG,300-FG-01,,248.0,44.64,0.0,273.05,2026-06-27,Finished Good,CTL
CTL-0017,300,300-FG,300-FG-01,,608.0,109.44,0.0,246.27,2026-06-29,Finished Good,CTL
CTL-0018,300,300-FG,300-FG-01,,7.2,1.296,0.0,685.06,2026-06-13,Finished Good,CTL
CTL-0019,300,300-FG,300-FG-01,,41.6,7.488,0.0,1008.86,2026-06-18,Finished Good,CTL
CTL-0020,300,300-FG,300-FG-01,,38.4,6.912,0.0,687.11,2026-06-20,Finished Good,CTL
CTL-0021,300,300-FG,300-FG-01,,99.2,17.856,0.0,849.25,2026-06-27,Finished Good,CTL
CTL-0022,300,300-FG,300-FG-01,,304.0,54.72,0.0,2070.12,2026-06-29,Finished Good,CTL
CTL-0023,300,300-FG,300-FG-01,,720.0,129.6,0.0,1243.13,2026-06-13,Finished Good,CTL
CTL-0024,300,300-FG,300-FG-01,,8.32,1.4976,0.0,782.2,2026-06-15,Finished Good,CTL
CTL-0025,300,300-FG,300-FG-01,,19.2,3.456,0.0,1240.54,2026-06-20,Finished Good,CTL
CTL-0026,300,300-FG,300-FG-01,,49.6,8.928,0.0,1044.37,2026-06-21,Finished Good,CTL
CTL-0027,300,300-FG,300-FG-01,,121.6,21.888,0.0,1052.17,2026-06-29,Finished Good,CTL
CTL-0028,300,300-FG,300-FG-01,,360.0,64.8,0.0,2359.35,2026-06-10,Finished Good,CTL
CTL-0029,300,300-FG,300-FG-01,,832.0,149.76,0.0,746.13,2026-06-15,Finished Good,CTL
CTL-0030,300,300-FG,300-FG-01,,15.94,1.2,0.0,2928.54,2026-06-20,Finished Good,CTL
CTL-0031,300,300-FG,300-FG-01,,24.8,4.464,0.0,1954.36,2026-06-21,Finished Good,CTL
CTL-0032,300,300-FG,300-FG-01,,60.8,10.944,0.0,1947.93,2026-06-23,Finished Good,CTL
CTL-0033,300,300-FG,300-FG-01,,144.0,25.92,0.0,3676.55,2026-06-12,Finished Good,CTL
CTL-0034,300,300-FG,300-FG-01,,416.0,74.88,0.0,1946.56,2026-06-12,Finished Good,CTL
CTL-0035,300,300-FG,300-FG-01,,384.0,69.12,0.0,3084.65,2026-06-17,Finished Good,CTL
CTL-0036,300,300-FG,300-FG-01,,28.3,1.55,0.0,3755.26,2026-06-21,Finished Good,CTL
CTL-0037,300,300-FG,300-FG-01,,30.4,5.472,0.0,4331.49,2026-06-23,Finished Good,CTL
CTL-0038,300,300-FG,300-FG-01,,72.0,12.96,0.0,1627.95,2026-06-24,Finished Good,CTL
CTL-0039,300,300-FG,300-FG-01,,166.4,29.952,0.0,1883.78,2026-06-12,Finished Good,CTL
CTL-0040,300,300-FG,300-FG-01,,192.0,34.56,0.0,3693.39,2026-06-13,Finished Good,CTL
DRV-0001,100,100-FG,100-FG-01,,24.8,4.464,0.0,1077.99,2026-06-13,Finished Good,DRV
DRV-0002,200,200-FG,200-FG-01,,60.8,10.944,0.0,2270.82,2026-06-18,Finished Good,DRV
DRV-0003,100,100-FG,100-FG-01,,144.0,25.92,0.0,1969.65,2026-06-20,Finished Good,DRV
DRV-0004,200,200-FG,200-FG-01,,416.0,74.88,0.0,766.25,2026-06-21,Finished Good,DRV
DRV-0005,100,100-FG,100-FG-01,,384.0,69.12,0.0,1162.73,2026-06-29,Finished Good,DRV
DRV-0006,200,200-FG,200-FG-01,,26.675,1.55,0.0,1777.77,2026-06-10,Finished Good,DRV
DRV-0007,100,100-FG,100-FG-01,,30.4,5.472,0.0,1355.9,2026-06-15,Finished Good,DRV
DRV-0008,200,200-FG,200-FG-01,,72.0,12.96,0.0,260.07,2026-06-20,Finished Good,DRV
DRV-0009,100,100-FG,100-FG-01,,166.4,29.952,0.0,304.81,2026-06-21,Finished Good,DRV
DRV-0010,200,200-FG,200-FG-01,,192.0,34.56,0.0,364.42,2026-06-29,Finished Good,DRV
DRV-0011,100,100-FG,100-FG-01,,496.0,89.28,0.0,823.39,2026-06-10,Finished Good,DRV
DRV-0012,200,200-FG,200-FG-01,,6.08,1.0944,0.0,236.26,2026-06-12,Finished Good,DRV
DRV-0013,100,100-FG,100-FG-01,,36.0,6.48,0.0,534.24,2026-06-17,Finished Good,DRV
DRV-0014,200,200-FG,200-FG-01,,83.2,14.976,0.0,976.84,2026-06-21,Finished Good,DRV
DRV-0015,100,100-FG,100-FG-01,,76.8,13.824,0.0,1233.73,2026-06-23,Finished Good,DRV
DRV-0016,200,200-FG,200-FG-01,,248.0,44.64,0.0,381.81,2026-06-07,Finished Good,DRV
DRV-0017,100,100-FG,100-FG-01,,608.0,109.44,0.0,777.04,2026-06-12,Finished Good,DRV
DRV-0018,200,200-FG,200-FG-01,,72.92,2.25,0.0,1468.75,2026-06-17,Finished Good,DRV
DRV-0019,100,100-FG,100-FG-01,,41.6,7.488,0.0,1404.59,2026-06-18,Finished Good,DRV
DRV-0020,200,200-FG,200-FG-01,,90.46,12.0,0.0,956.79,2026-06-23,Finished Good,DRV
DRV-0021,100,100-FG,100-FG-01,,99.2,17.856,0.0,1026.04,2026-06-24,Finished Good,DRV
DRV-0022,200,200-FG,200-FG-01,,304.0,54.72,0.0,4199.01,2026-06-09,Finished Good,DRV
DRV-0023,100,100-FG,100-FG-01,,720.0,129.6,0.0,1456.75,2026-06-13,Finished Good,DRV
DRV-0024,200,200-FG,200-FG-01,,42.91,2.6,0.0,1625.62,2026-06-18,Finished Good,DRV
DRV-0025,100,100-FG,100-FG-01,,19.2,3.456,0.0,2240.86,2026-06-23,Finished Good,DRV
DRV-0026,200,200-FG,200-FG-01,,49.6,8.928,0.0,638.78,2026-06-24,Finished Good,DRV
DRV-0027,100,100-FG,100-FG-01,,121.6,21.888,0.0,1168.75,2026-06-26,Finished Good,DRV
