id,invoice_number,customer_id,sales_order_id,invoice_date,due_date,status,amount,open_amount,journal_id
790,INV-0000790,CUST-0111,910,2026-06-05,2026-07-05,Open,18543.42,18543.42,1839
2444,INV-0002444,CUST-0060,2827,2026-06-05,2026-07-05,Open,22922.44,22922.44,5112
3262,INV-0003262,CUST-0028,3771,2026-05-21,2026-07-05,Open,154846.53,154846.53,6732
5815,INV-0005815,CUST-0103,6726,2026-05-21,2026-07-05,Open,8602.92,8602.92,11783
7609,INV-0007609,CUST-0132,8803,2026-06-05,2026-07-05,Open,286037.67,286037.67,15334
244,INV-0000244,CUST-0184,279,2026-05-22,2026-07-06,Open,4466.4,4466.4,760
3695,INV-0003695,CUST-0162,4273,2026-06-06,2026-07-06,Open,104038.87,104038.87,7587
4510,INV-0004510,CUST-0130,5217,2026-05-22,2026-07-06,Open,148663.85,148663.85,9201
4592,INV-0004592,CUST-0048,5311,2026-06-06,2026-07-06,Open,291065.82,291065.82,9362
5406,INV-0005406,CUST-0016,6255,2026-05-22,2026-07-06,Open,179505.13,179505.13,10975
1633,INV-0001633,CUST-0126,1885,2026-06-07,2026-07-07,Open,120345.84,120345.84,3509
3289,INV-0003289,CUST-0075,3802,2026-06-07,2026-07-07,Open,28331.29,28331.29,6785
4103,INV-0004103,CUST-0043,4746,2026-05-23,2026-07-07,Open,14025.95,14025.95,8395
8452,INV-0008452,CUST-0147,9778,2026-06-07,2026-07-07,Open,13630.33,13630.33,17000
1088,INV-0001088,CUST-0199,1254,2026-05-24,2026-07-08,Open,24755.5,24755.5,2428
2880,INV-0002880,CUST-0228,3331,2026-06-08,2026-07-08,Open,8546.11,8546.11,5976
3696,INV-0003696,CUST-0196,4275,2026-05-24,2026-07-08,Open,299841.71,299841.71,7588
5433,INV-0005433,CUST-0063,6286,2026-06-08,2026-07-08,Open,18020.18,18020.18,11028
6250,INV-0006250,CUST-0031,7230,2026-05-24,2026-07-08,Open,28426.56,28426.56,12644
7906,INV-0007906,CUST-0220,9147,2026-05-24,2026-07-08,Open,52220.32,52220.32,15920
8044,INV-0008044,CUST-0060,9307,2026-06-08,2026-07-08,Open,58349.47,58349.47,16193
681,INV-0000681,CUST-0112,783,2026-05-25,2026-07-09,Open,8514.19,8514.19,1624
4945,INV-0004945,CUST-0058,5721,2026-05-25,2026-07-09,Open,57872.07,57872.07,10062
5026,INV-0005026,CUST-0216,5815,2026-06-09,2026-07-09,Open,223939.34,223939.34,10223
5843,INV-0005843,CUST-0184,6759,2026-05-25,2026-07-09,Open,72807.24,72807.24,11838
1930,INV-0001930,CUST-0214,2229,2026-05-26,2026-07-10,Open,106321.27,106321.27,4095
3724,INV-0003724,CUST-0003,4306,2026-06-10,2026-07-10,Open,35832.88,35832.88,7643
4538,INV-0004538,CUST-0211,5250,2026-05-26,2026-07-10,Open,33251.17,33251.17,9256
6276,INV-0006276,CUST-0078,7261,2026-06-10,2026-07-10,Open,22893.78,22893.78,12695
7092,INV-0007092,CUST-0046,8205,2026-05-26,2026-07-10,Open,23642.08,23642.08,14310
708,INV-0000708,CUST-0159,814,2026-06-11,2026-07-11,Open,123438.34,123438.34,1677
1524,INV-0001524,CUST-0127,1758,2026-05-27,2026-07-11,Open,47407.32,47407.32,3292
3317,INV-0003317,CUST-0156,3835,2026-06-11,2026-07-11,Open,12535.81,12535.81,6840
5870,INV-0005870,CUST-0231,6790,2026-06-11,2026-07-11,Open,7591.69,7591.69,11891
6686,INV-0006686,CUST-0199,7734,2026-05-27,2026-07-11,Open,17750.4,17750.4,13506
8344,INV-0008344,CUST-0148,9651,2026-05-27,2026-07-11,Open,92239.41,92239.41,16786
218,INV-0000218,CUST-0154,249,2026-05-28,2026-07-12,Open,498561.14,498561.14,709
298,INV-0000298,CUST-0072,343,2026-06-12,2026-07-12,Open,57016.21,57016.21,867
1116,INV-0001116,CUST-0040,1287,2026-05-28,2026-07-12,Open,7227.34,7227.34,2483
4566,INV-0004566,CUST-0018,5281,2026-06-12,2026-07-12,Open,65731.67,65731.67,9311
5378,INV-0005378,CUST-0226,6225,2026-05-28,2026-07-12,Open,133804.68,133804.68,10920
5461,INV-0005461,CUST-0144,6319,2026-06-12,2026-07-12,Open,163428.94,163428.94,11083
2364,INV-0002364,CUST-0142,2733,2026-05-29,2026-07-13,Open,259047.99,259047.99,4953
7528,INV-0007528,CUST-0214,8709,2026-05-29,2026-07-13,Open,36268.77,36268.77,15174
1958,INV-0001958,CUST-0055,2262,2026-05-30,2026-07-14,Open,28507.3,28507.3,4150
3614,INV-0003614,CUST-0004,4179,2026-05-30,2026-07-14,Open,24332.45,24332.45,7427
654,INV-0000654,CUST-0082,753,2026-05-31,2026-07-15,Open,98378.51,98378.51,1571
5760,INV-0005760,CUST-0232,6663,2026-05-31,2026-07-15,Open,17111.35,17111.35,11674
2799,INV-0002799,CUST-0070,3237,2026-06-01,2026-07-16,Open,43911.08,43911.08,5815
4454,INV-0004454,CUST-0019,5154,2026-06-01,2026-07-16,Open,31758.7,31758.7,9091
4050,INV-0004050,CUST-0172,4683,2026-06-02,2026-07-17,Open,33593.15,33593.15,8290
6603,INV-0006603,CUST-0007,7638,2026-06-02,2026-07-17,Open,99070.99,99070.99,13342
1034,INV-0001034,CUST-0088,1191,2026-06-03,2026-07-18,Open,27591.65,27591.65,2321
5297,INV-0005297,CUST-0034,6129,2026-06-03,2026-07-18,Open,99100.54,99100.54,10760
6197,INV-0006197,CUST-0160,7167,2026-06-03,2026-07-18,Open,5994.78,5994.78,12540
544,INV-0000544,CUST-0083,626,2026-05-20,2026-07-19,Open,80240.51,80240.51,1354
3098,INV-0003098,CUST-0158,3581,2026-05-20,2026-07-19,Open,131074.49,131074.49,6407
4892,INV-0004892,CUST-0187,5658,2026-06-04,2026-07-19,Open,102366.97,102366.97,9957
5706,INV-0005706,CUST-0155,6602,2026-05-20,2026-07-19,Open,57506.49,57506.49,11568
7446,INV-0007446,CUST-0022,8613,2026-06-04,2026-07-19,Open,111757.14,111757.14,15012
8262,INV-0008262,CUST-0230,9557,2026-05-20,2026-07-19,Open,22296.39,22296.39,16624
136,INV-0000136,CUST-0236,155,2026-05-21,2026-07-20,Open,15184.59,15184.59,547
1876,INV-0001876,CUST-0103,2166,2026-06-05,2026-07-20,Open,71877.31,71877.31,3989
2690,INV-0002690,CUST-0071,3110,2026-05-21,2026-07-20,Open,54985.87,54985.87,5600
4482,INV-0004482,CUST-0100,5187,2026-06-05,2026-07-20,Open,7937.1,7937.1,9146
7038,INV-0007038,CUST-0175,8142,2026-06-05,2026-07-20,Open,35446.02,35446.02,14204
7853,INV-0007853,CUST-0143,9086,2026-05-21,2026-07-20,Open,31460.28,31460.28,15816
571,INV-0000571,CUST-0130,657,2026-06-06,2026-07-21,Open,7858.52,7858.52,1407
1385,INV-0001385,CUST-0098,1601,2026-05-22,2026-07-21,Open,99755.3,99755.3,3017
1469,INV-0001469,CUST-0016,1695,2026-06-06,2026-07-21,Open,40389.04,40389.04,3183
2281,INV-0002281,CUST-0224,2639,2026-05-22,2026-07-21,Open,5792.34,5792.34,4789
5733,INV-0005733,CUST-0202,6633,2026-06-06,2026-07-21,Open,106428.38,106428.38,11621
6550,INV-0006550,CUST-0170,7577,2026-05-22,2026-07-21,Open,188195.47,188195.47,13237
6631,INV-0006631,CUST-0088,7671,2026-06-06,2026-07-21,Open,18923.23,18923.23,13397
164,INV-0000164,CUST-0043,186,2026-06-07,2026-07-22,Open,76718.85,76718.85,602
981,INV-0000981,CUST-0011,1130,2026-05-23,2026-07-22,Open,45835.02,45835.02,2217
2717,INV-0002717,CUST-0118,3141,2026-06-07,2026-07-22,Open,23022.25,23022.25,5653
3534,INV-0003534,CUST-0086,4085,2026-05-23,2026-07-22,Open,174615.74,174615.74,7268
5325,INV-0005325,CUST-0115,6162,2026-06-07,2026-07-22,Open,17406.97,17406.97,10815
7880,INV-0007880,CUST-0190,9117,2026-06-07,2026-07-22,Open,164518.45,164518.45,15869
2308,INV-0002308,CUST-0031,2670,2026-06-08,2026-07-23,Open,34499.68,34499.68,4842
3125,INV-0003125,CUST-0239,3614,2026-05-24,2026-07-23,Open,103202.07,103202.07,6460
4782,INV-0004782,CUST-0188,5531,2026-05-24,2026-07-23,Open,27896.03,27896.03,9738
7474,INV-0007474,CUST-0103,8646,2026-06-08,2026-07-23,Open,22923.94,22923.94,15067
1008,INV-0001008,CUST-0058,1161,2026-06-09,2026-07-24,Open,8674.94,8674.94,2270
1823,INV-0001823,CUST-0026,2105,2026-05-25,2026-07-24,Open,49600.34,49600.34,3884
1904,INV-0001904,CUST-0184,2199,2026-06-09,2026-07-24,Open,18806.64,18806.64,4044
6170,INV-0006170,CUST-0130,7137,2026-06-09,2026-07-24,Open,64306.36,64306.36,12487
6929,INV-0006929,CUST-0176,8015,2026-05-25,2026-07-24,Open,14539.2,14539.2,13987
7065,INV-0007065,CUST-0016,8175,2026-06-09,2026-07-24,Open,6813.65,6813.65,14257
599,INV-0000599,CUST-0211,690,2026-06-10,2026-07-25,Open,275593.98,275593.98,1462
3152,INV-0003152,CUST-0046,3645,2026-06-10,2026-07-25,Open,221018.93,221018.93,6513
3967,INV-0003967,CUST-0014,4589,2026-05-26,2026-07-25,Open,61472.18,61472.18,8125
5624,INV-0005624,CUST-0203,6506,2026-05-26,2026-07-25,Open,71267.34,71267.34,11406
8317,INV-0008317,CUST-0118,9621,2026-06-10,2026-07-25,Open,104253.19,104253.19,16733
54,INV-0000054,CUST-0044,59,2026-05-27,2026-07-26,Open,26469.08,26469.08,384
2745,INV-0002745,CUST-0199,3174,2026-06-11,2026-07-26,Open,204848.27,204848.27,5708
4401,INV-0004401,CUST-0148,5091,2026-06-11,2026-07-26,Open,22887.75,22887.75,8986
7772,INV-0007772,CUST-0191,8990,2026-05-27,2026-07-26,Open,84593.34,84593.34,15656
7907,INV-0007907,CUST-0031,9150,2026-06-11,2026-07-26,Open,43732.41,43732.41,15921
1441,INV-0001441,CUST-0226,1665,2026-06-12,2026-07-27,Open,10238.35,10238.35,3128
2201,INV-0002201,CUST-0032,2543,2026-05-28,2026-07-27,Open,67717.69,67717.69,4630
6467,INV-0006467,CUST-0218,7481,2026-05-28,2026-07-27,Open,47462.11,47462.11,13072
7363,INV-0007363,CUST-0104,8519,2026-05-28,2026-07-27,Open,11829.39,11829.39,14847
898,INV-0000898,CUST-0059,1034,2026-05-29,2026-07-28,Open,450697.04,450697.04,2053
6060,INV-0006060,CUST-0131,7010,2026-05-29,2026-07-28,Open,43782.17,43782.17,12268
8616,INV-0008616,CUST-0206,9965,2026-05-29,2026-07-28,Open,230089.66,230089.66,17324
490,INV-0000490,CUST-0212,563,2026-05-30,2026-07-29,Open,199926.74,199926.74,1247
3043,INV-0003043,CUST-0047,3518,2026-05-30,2026-07-29,Open,40937.64,40937.64,6299
5652,INV-0005652,CUST-0044,6539,2026-05-30,2026-07-29,Open,18136.99,18136.99,11461
8207,INV-0008207,CUST-0119,9494,2026-05-30,2026-07-29,Open,41313.15,41313.15,16516
1739,INV-0001739,CUST-0074,2009,2026-05-31,2026-07-30,Open,11422.36,11422.36,3718
2634,INV-0002634,CUST-0200,3047,2026-05-31,2026-07-30,Open,114320.87,114320.87,5489
6903,INV-0006903,CUST-0146,7985,2026-05-31,2026-07-30,Open,63597.72,63597.72,13936
7800,INV-0007800,CUST-0032,9023,2026-05-31,2026-07-30,Open,30831.7,30831.7,15711
1332,INV-0001332,CUST-0227,1538,2026-06-01,2026-07-31,Open,33727.19,33727.19,2912
3885,INV-0003885,CUST-0062,4493,2026-06-01,2026-07-31,Open,4617.11,4617.11,7963
927,INV-0000927,CUST-0140,1067,2026-06-02,2026-08-01,Open,43003.9,43003.9,2110
3479,INV-0003479,CUST-0215,4022,2026-06-02,2026-08-01,Open,47372.43,47372.43,7160
8643,INV-0008643,CUST-0047,9998,2026-06-02,2026-08-01,Open,103501.42,103501.42,17377
2175,INV-0002175,CUST-0002,2513,2026-06-03,2026-08-02,Open,11746.12,11746.12,4579
3071,INV-0003071,CUST-0128,3551,2026-06-03,2026-08-02,Open,53909.19,53909.19,6354
7337,INV-0007337,CUST-0074,8489,2026-06-03,2026-08-02,Open,79875.49,79875.49,14796
8235,INV-0008235,CUST-0200,9527,2026-06-03,2026-08-02,Open,85502.92,85502.92,16571
1767,INV-0001767,CUST-0155,2042,2026-06-04,2026-08-03,Open,163305.81,163305.81,3773
4319,INV-0004319,CUST-0230,4997,2026-06-04,2026-08-03,Open,6365.04,6365.04,8824
3912,INV-0003912,CUST-0143,4526,2026-06-05,2026-08-04,Open,69563.86,69563.86,8016
2608,INV-0002608,CUST-0170,3017,2026-06-06,2026-08-05,Open,18128.03,18128.03,5438
3507,INV-0003507,CUST-0056,4055,2026-06-06,2026-08-05,Open,86367.48,86367.48,7215
4756,INV-0004756,CUST-0158,5501,2026-06-07,2026-08-06,Open,23753.7,23753.7,9687
6413,INV-0006413,CUST-0107,7418,2026-06-07,2026-08-06,Open,32058.3,32058.3,12966
843,INV-0000843,CUST-0188,971,2026-06-08,2026-08-07,Open,40656.66,40656.66,1944
4348,INV-0004348,CUST-0071,5030,2026-06-08,2026-08-07,Open,56205.88,56205.88,8881
6005,INV-0006005,CUST-0020,6947,2026-06-08,2026-08-07,Open,135698.82,135698.82,12159
7256,INV-0007256,CUST-0122,8393,2026-06-09,2026-08-08,Open,17998.29,17998.29,14635
8152,INV-0008152,CUST-0008,9431,2026-06-09,2026-08-08,Open,43208.93,43208.93,16407
28,INV-0000028,CUST-0014,29,2026-06-10,2026-08-09,Open,19034.08,19034.08,333
1686,INV-0001686,CUST-0203,1946,2026-06-10,2026-08-09,Open,114249.1,114249.1,3613
5189,INV-0005189,CUST-0086,6005,2026-06-10,2026-08-09,Open,12720.51,12720.51,10545
1278,INV-0001278,CUST-0116,1475,2026-06-11,2026-08-10,Open,228268.53,228268.53,2805
6441,INV-0006441,CUST-0188,7451,2026-06-11,2026-08-10,Open,80129.58,80129.58,13021
2526,INV-0002526,CUST-0218,2921,2026-06-12,2026-08-11,Open,121882.63,121882.63,5275
3423,INV-0003423,CUST-0104,3959,2026-06-12,2026-08-11,Open,121375.1,121375.1,7049
7690,INV-0007690,CUST-0050,8897,2026-06-12,2026-08-11,Open,14472.89,14472.89,15493
8590,INV-0008590,CUST-0176,9935,2026-06-12,2026-08-11,Open,25356.1,25356.1,17273
