shipment_number,ship_date,carrier,order_number,customer_id,id,shipment_id,sales_order_line_id,item_id,site_code,quantity,unit_standard_cost
SHP-001464,2026-01-02,BlueLine Transport,SO-001690,CUST-0171,2928,1464,3380,DRV-0003,100,33.0,1969.66
SHP-002930,2026-01-02,Midwest Freight,SO-003389,CUST-0014,5859,2930,6777,AFT-0011,100,9.0,459.76
SHP-002930,2026-01-02,Midwest Freight,SO-003389,CUST-0014,5860,2930,6778,AFT-0022,100,13.0,225.36
SHP-003502,2026-01-02,BlueLine Transport,SO-004050,CUST-0211,7003,3502,8099,AFT-0002,100,33.0,1635.19
SHP-003502,2026-01-02,BlueLine Transport,SO-004050,CUST-0211,7004,3502,8100,AFT-0013,100,55.0,2946.6
SHP-004016,2026-01-02,Midwest Freight,SO-004645,CUST-0006,8031,4016,9289,ACT-0007,100,33.0,2766.72
SHP-004016,2026-01-02,Midwest Freight,SO-004645,CUST-0006,8032,4016,9290,ACT-0018,200,55.0,1053.86
SHP-004587,2026-01-02,BlueLine Transport,SO-005306,CUST-0203,9173,4587,10611,SYS-0028,300,4.0,2113.15
SHP-004587,2026-01-02,BlueLine Transport,SO-005306,CUST-0203,9174,4587,10612,ACT-0009,100,9.0,364.09
SHP-006055,2026-01-02,Midwest Freight,SO-007005,CUST-0046,12109,6055,14009,DRV-0007,100,55.0,1355.9
SHP-006055,2026-01-02,Midwest Freight,SO-007005,CUST-0046,12110,6055,14010,DRV-0018,200,2.0,1468.74
SHP-006627,2026-01-02,BlueLine Transport,SO-007666,CUST-0003,13253,6627,15331,CTL-0038,300,9.0,1627.96
SHP-006627,2026-01-02,BlueLine Transport,SO-007666,CUST-0003,13254,6627,15332,DRV-0009,100,13.0,304.81
SHP-007712,2026-01-02,BlueLine Transport,SO-008922,CUST-0235,15423,7712,17843,AFT-0034,100,33.0,501.15
SHP-007712,2026-01-02,BlueLine Transport,SO-008922,CUST-0235,15424,7712,17844,AFT-0045,300,55.0,1273.82
SHP-000486,2026-01-03,BlueLine Transport,SO-000558,CUST-0127,971,486,1115,ACT-0060,200,55.0,218.01
SHP-000486,2026-01-03,BlueLine Transport,SO-000558,CUST-0127,972,486,1116,AFT-0011,100,2.0,459.76
SHP-001057,2026-01-03,ParcelPro,SO-001219,CUST-0084,2113,1057,2437,ACT-0051,100,9.0,4550.3
SHP-001057,2026-01-03,ParcelPro,SO-001219,CUST-0084,2114,1057,2438,AFT-0002,100,13.0,1635.19
SHP-001628,2026-01-03,Roadstar Logistics,SO-001880,CUST-0041,3255,1628,3759,ACT-0042,200,33.0,643.48
SHP-001628,2026-01-03,Roadstar Logistics,SO-001880,CUST-0041,3256,1628,3760,ACT-0053,100,55.0,457.71
SHP-002712,2026-01-03,Roadstar Logistics,SO-003136,CUST-0033,5423,2712,6271,SYS-0008,300,4.0,218.0
SHP-002712,2026-01-03,Roadstar Logistics,SO-003136,CUST-0033,5424,2712,6272,SYS-0019,100,9.0,1798.13
SHP-003609,2026-01-03,BlueLine Transport,SO-004174,CUST-0159,7217,3609,8347,CTL-0036,300,13.0,3755.26
SHP-003609,2026-01-03,BlueLine Transport,SO-004174,CUST-0159,7218,3609,8348,DRV-0007,100,22.0,1355.9
SHP-004181,2026-01-03,ParcelPro,SO-004835,CUST-0116,8361,4181,9669,CTL-0027,300,55.0,1052.17
SHP-004181,2026-01-03,ParcelPro,SO-004835,CUST-0116,8362,4181,9670,CTL-0038,300,2.0,1627.96
SHP-004751,2026-01-03,Roadstar Logistics,SO-005496,CUST-0073,9501,4751,10991,CTL-0018,300,9.0,685.06
SHP-004751,2026-01-03,Roadstar Logistics,SO-005496,CUST-0073,9502,4751,10992,CTL-0029,300,13.0,746.13
SHP-005647,2026-01-03,BlueLine Transport,SO-006534,CUST-0199,11293,5647,13067,AFT-0006,300,22.0,5754.99
SHP-005647,2026-01-03,BlueLine Transport,SO-006534,CUST-0199,11294,5647,13068,AFT-0017,100,33.0,1705.89
SHP-006734,2026-01-03,BlueLine Transport,SO-007790,CUST-0191,13467,6734,15579,ACT-0002,200,2.0,398.44
SHP-006734,2026-01-03,BlueLine Transport,SO-007790,CUST-0191,13468,6734,15580,ACT-0013,100,4.0,371.79
SHP-007304,2026-01-03,ParcelPro,SO-008451,CUST-0148,14607,7304,16901,SYS-0023,100,13.0,2333.9
SHP-007304,2026-01-03,ParcelPro,SO-008451,CUST-0148,14608,7304,16902,ACT-0004,200,22.0,202.92
SHP-000077,2026-01-04,ParcelPro,SO-000087,CUST-0040,153,77,173,DRV-0049,100,22.0,1199.79
SHP-000077,2026-01-04,ParcelPro,SO-000087,CUST-0040,154,77,174,DRV-0060,200,33.0,373.77
SHP-001735,2026-01-04,Roadstar Logistics,SO-002004,CUST-0229,3469,1735,4007,CTL-0016,300,13.0,273.05
SHP-001735,2026-01-04,Roadstar Logistics,SO-002004,CUST-0229,3470,1735,4008,CTL-0027,300,22.0,1052.17
SHP-002304,2026-01-04,Midwest Freight,SO-002665,CUST-0186,4607,2304,5329,CTL-0007,300,55.0,2206.98
SHP-002304,2026-01-04,Midwest Freight,SO-002665,CUST-0186,4608,2304,5330,CTL-0018,300,2.0,685.06
SHP-003203,2026-01-04,ParcelPro,SO-003703,CUST-0072,6405,3203,7405,ACT-0055,100,4.0,2134.85
SHP-003203,2026-01-04,ParcelPro,SO-003703,CUST-0072,6406,3203,7406,AFT-0006,300,9.0,5754.99
SHP-003774,2026-01-04,Roadstar Logistics,SO-004364,CUST-0029,7547,3774,8727,ACT-0046,200,22.0,543.39
SHP-003774,2026-01-04,Roadstar Logistics,SO-004364,CUST-0029,7548,3774,8728,ACT-0057,100,33.0,2621.51
SHP-004343,2026-01-04,Midwest Freight,SO-005025,CUST-0226,8685,4343,10049,ACT-0037,100,2.0,3791.36
SHP-004343,2026-01-04,Midwest Freight,SO-005025,CUST-0226,8686,4343,10050,ACT-0048,200,4.0,383.41
SHP-004858,2026-01-04,Roadstar Logistics,SO-005620,CUST-0021,9715,4858,11239,SYS-0012,300,2.0,544.4
SHP-004858,2026-01-04,Roadstar Logistics,SO-005620,CUST-0021,9716,4858,11240,SYS-0023,100,4.0,2333.9
SHP-005428,2026-01-04,Midwest Freight,SO-006281,CUST-0218,10855,5428,12561,SYS-0003,100,13.0,789.98
SHP-005428,2026-01-04,Midwest Freight,SO-006281,CUST-0218,10856,5428,12562,SYS-0014,300,22.0,847.06
SHP-006326,2026-01-04,ParcelPro,SO-007319,CUST-0104,12651,6326,14637,CTL-0031,300,33.0,1954.36
SHP-006326,2026-01-04,ParcelPro,SO-007319,CUST-0104,12652,6326,14638,DRV-0002,200,55.0,2270.82
SHP-006898,2026-01-04,Roadstar Logistics,SO-007980,CUST-0061,13795,6898,15959,CTL-0022,300,4.0,2070.12
SHP-006898,2026-01-04,Roadstar Logistics,SO-007980,CUST-0061,13796,6898,15960,CTL-0033,300,9.0,3676.55
SHP-007469,2026-01-04,Midwest Freight,SO-008641,CUST-0018,14937,7469,17281,CTL-0013,300,22.0,269.64
SHP-007469,2026-01-04,Midwest Freight,SO-008641,CUST-0018,14938,7469,17282,CTL-0024,300,33.0,782.21
SHP-008367,2026-01-04,ParcelPro,SO-009679,CUST-0144,16733,8367,19357,AFT-0001,100,55.0,1725.19
SHP-008367,2026-01-04,ParcelPro,SO-009679,CUST-0144,16734,8367,19358,AFT-0012,300,2.0,1004.49
SHP-008556,2026-01-04,Midwest Freight,SO-009897,CUST-0010,17111,8556,19793,AFT-0009,300,2.0,622.76
SHP-008556,2026-01-04,Midwest Freight,SO-009897,CUST-0010,17112,8556,19794,AFT-0020,100,4.0,783.79
SHP-001327,2026-01-05,Midwest Freight,SO-001533,CUST-0142,2653,1327,3065,ACT-0035,100,4.0,1963.86
SHP-001327,2026-01-05,Midwest Freight,SO-001533,CUST-0142,2654,1327,3066,ACT-0046,200,9.0,543.39
SHP-001899,2026-01-05,BlueLine Transport,SO-002194,CUST-0099,3797,1899,4387,ACT-0026,200,22.0,1654.16
SHP-001899,2026-01-05,BlueLine Transport,SO-002194,CUST-0099,3798,1899,4388,ACT-0037,100,33.0,3791.36
SHP-004450,2026-01-05,Midwest Freight,SO-005149,CUST-0174,8899,4450,10297,CTL-0011,300,33.0,2846.92
SHP-004450,2026-01-05,Midwest Freight,SO-005149,CUST-0174,8900,4450,10298,CTL-0022,300,55.0,2070.12
SHP-005022,2026-01-05,BlueLine Transport,SO-005810,CUST-0131,10043,5022,11619,CTL-0002,300,4.0,1099.52
SHP-005022,2026-01-05,BlueLine Transport,SO-005810,CUST-0131,10044,5022,11620,CTL-0013,300,9.0,269.64
SHP-006491,2026-01-05,Midwest Freight,SO-007509,CUST-0214,12981,6491,15017,ACT-0041,100,55.0,443.53
SHP-006491,2026-01-05,Midwest Freight,SO-007509,CUST-0214,12982,6491,15018,ACT-0052,200,2.0,646.56
SHP-007576,2026-01-05,Midwest Freight,SO-008765,CUST-0206,15151,7576,17529,SYS-0007,100,9.0,900.07
SHP-007576,2026-01-05,Midwest Freight,SO-008765,CUST-0206,15152,7576,17530,SYS-0018,300,13.0,631.4
SHP-008147,2026-01-05,BlueLine Transport,SO-009426,CUST-0163,16293,8147,18851,DRV-0058,200,33.0,2026.68
SHP-008147,2026-01-05,BlueLine Transport,SO-009426,CUST-0163,16294,8147,18852,SYS-0009,100,55.0,550.07
SHP-000023,2026-01-06,Roadstar Logistics,SO-000024,CUST-0169,45,23,47,ACT-0006,200,22.0,521.36
SHP-000023,2026-01-06,Roadstar Logistics,SO-000024,CUST-0169,46,23,48,ACT-0017,100,33.0,632.55
SHP-000922,2026-01-06,BlueLine Transport,SO-001062,CUST-0055,1843,922,2123,DRV-0024,200,55.0,1625.62
SHP-000922,2026-01-06,BlueLine Transport,SO-001062,CUST-0055,1844,922,2124,DRV-0035,100,2.0,904.12
SHP-002007,2026-01-06,BlueLine Transport,SO-002318,CUST-0047,4013,2007,4635,AFT-0060,300,9.0,381.82
SHP-002007,2026-01-06,BlueLine Transport,SO-002318,CUST-0047,4014,2007,4636,CTL-0011,300,13.0,2846.92
SHP-002575,2026-01-06,ParcelPro,SO-002979,CUST-0004,5149,2575,5957,AFT-0051,300,33.0,1343.81
SHP-002575,2026-01-06,ParcelPro,SO-002979,CUST-0004,5150,2575,5958,CTL-0002,300,55.0,1099.52
SHP-003147,2026-01-06,Roadstar Logistics,SO-003640,CUST-0201,6293,3147,7279,AFT-0042,300,4.0,299.23
SHP-003147,2026-01-06,Roadstar Logistics,SO-003640,CUST-0201,6294,3147,7280,AFT-0053,100,9.0,484.99
SHP-004045,2026-01-06,BlueLine Transport,SO-004678,CUST-0087,8089,4045,9355,ACT-0030,200,13.0,443.77
SHP-004045,2026-01-06,BlueLine Transport,SO-004678,CUST-0087,8090,4045,9356,ACT-0041,100,22.0,443.53
SHP-004615,2026-01-06,ParcelPro,SO-005339,CUST-0044,9229,4615,10677,ACT-0021,100,55.0,928.12
SHP-004615,2026-01-06,ParcelPro,SO-005339,CUST-0044,9230,4615,10678,ACT-0032,200,2.0,232.68
SHP-005185,2026-01-06,Roadstar Logistics,SO-006000,CUST-0001,10369,5185,11999,ACT-0012,200,9.0,310.47
SHP-005185,2026-01-06,Roadstar Logistics,SO-006000,CUST-0001,10370,5185,12000,ACT-0023,100,13.0,2312.23
SHP-005700,2026-01-06,ParcelPro,SO-006595,CUST-0036,11399,5700,13189,DRV-0047,100,9.0,3735.12
SHP-005700,2026-01-06,ParcelPro,SO-006595,CUST-0036,11400,5700,13190,DRV-0058,200,13.0,2026.68
SHP-006272,2026-01-06,Roadstar Logistics,SO-007256,CUST-0233,12543,6272,14511,DRV-0038,200,33.0,544.32
SHP-006272,2026-01-06,Roadstar Logistics,SO-007256,CUST-0233,12544,6272,14512,DRV-0049,100,55.0,1199.79
SHP-007169,2026-01-06,BlueLine Transport,SO-008294,CUST-0119,14337,7169,16587,CTL-0006,300,2.0,1608.4
SHP-007169,2026-01-06,BlueLine Transport,SO-008294,CUST-0119,14338,7169,16588,CTL-0017,300,4.0,246.26
SHP-007741,2026-01-06,ParcelPro,SO-008955,CUST-0076,15481,7741,17909,AFT-0057,300,13.0,618.6
SHP-007741,2026-01-06,ParcelPro,SO-008955,CUST-0076,15482,7741,17910,CTL-0008,300,22.0,710.8
SHP-008312,2026-01-06,Roadstar Logistics,SO-009616,CUST-0033,16623,8312,19231,AFT-0048,300,55.0,2594.19
SHP-008312,2026-01-06,Roadstar Logistics,SO-009616,CUST-0033,16624,8312,19232,AFT-0059,100,2.0,270.09
SHP-000130,2026-01-07,Roadstar Logistics,SO-000148,CUST-0117,259,130,295,AFT-0040,100,9.0,567.45
SHP-000130,2026-01-07,Roadstar Logistics,SO-000148,CUST-0117,260,130,296,AFT-0051,300,13.0,1343.81
SHP-000703,2026-01-07,Midwest Freight,SO-000809,CUST-0074,1405,703,1617,AFT-0031,100,33.0,310.16
SHP-000703,2026-01-07,Midwest Freight,SO-000809,CUST-0074,1406,703,1618,AFT-0042,300,55.0,299.23
SHP-001599,2026-01-07,ParcelPro,SO-001847,CUST-0200,3197,1599,3693,ACT-0019,100,2.0,1249.06
SHP-001599,2026-01-07,ParcelPro,SO-001847,CUST-0200,3198,1599,3694,ACT-0030,200,4.0,443.77
SHP-002170,2026-01-07,Roadstar Logistics,SO-002508,CUST-0157,4339,2170,5015,ACT-0010,200,13.0,2233.37
SHP-002170,2026-01-07,Roadstar Logistics,SO-002508,CUST-0157,4340,2170,5016,ACT-0021,100,22.0,928.12
SHP-002740,2026-01-07,Midwest Freight,SO-003169,CUST-0114,5479,2740,6337,ACT-0001,100,55.0,2375.15
SHP-002740,2026-01-07,Midwest Freight,SO-003169,CUST-0114,5480,2740,6338,ACT-0012,200,2.0,310.47
SHP-003638,2026-01-07,ParcelPro,SO-004207,CUST-0240,7275,3638,8413,DRV-0019,100,4.0,1404.59
SHP-003638,2026-01-07,ParcelPro,SO-004207,CUST-0240,7276,3638,8414,DRV-0030,200,9.0,447.73
SHP-004723,2026-01-07,ParcelPro,SO-005463,CUST-0232,9445,4723,10925,AFT-0055,100,22.0,281.39
SHP-004723,2026-01-07,ParcelPro,SO-005463,CUST-0232,9446,4723,10926,CTL-0006,300,33.0,1608.4
SHP-005292,2026-01-07,Roadstar Logistics,SO-006124,CUST-0189,10583,5292,12247,AFT-0046,100,2.0,664.15
SHP-005292,2026-01-07,Roadstar Logistics,SO-006124,CUST-0189,10584,5292,12248,AFT-0057,300,4.0,618.6
SHP-005865,2026-01-07,Midwest Freight,SO-006785,CUST-0146,11729,5865,13569,AFT-0037,100,13.0,3077.35
SHP-005865,2026-01-07,Midwest Freight,SO-006785,CUST-0146,11730,5865,13570,AFT-0048,300,22.0,2594.19
SHP-006761,2026-01-07,ParcelPro,SO-007823,CUST-0032,13521,6761,15645,ACT-0025,100,33.0,2796.19
SHP-006761,2026-01-07,ParcelPro,SO-007823,CUST-0032,13522,6761,15646,ACT-0036,200,55.0,207.18
SHP-007332,2026-01-07,Roadstar Logistics,SO-008484,CUST-0229,14663,7332,16967,ACT-0016,200,4.0,217.24
SHP-007332,2026-01-07,Roadstar Logistics,SO-008484,CUST-0229,14664,7332,16968,ACT-0027,100,9.0,2777.79
SHP-008420,2026-01-07,Roadstar Logistics,SO-009740,CUST-0221,16839,8420,19479,DRV-0042,200,22.0,409.54
SHP-008420,2026-01-07,Roadstar Logistics,SO-009740,CUST-0221,16840,8420,19480,DRV-0053,100,33.0,2495.92
SHP-000294,2026-01-08,BlueLine Transport,SO-000338,CUST-0227,587,294,675,SYS-0020,300,13.0,3950.66
SHP-000294,2026-01-08,BlueLine Transport,SO-000338,CUST-0227,588,294,676,ACT-0001,100,22.0,2375.15
SHP-001763,2026-01-08,Midwest Freight,SO-002037,CUST-0070,3525,1763,4073,CTL-0039,300,4.0,1883.77
SHP-001763,2026-01-08,Midwest Freight,SO-002037,CUST-0070,3526,1763,4074,DRV-0010,200,9.0,364.42
SHP-002847,2026-01-08,Midwest Freight,SO-003293,CUST-0062,5693,2847,6585,AFT-0035,100,22.0,2292.51
SHP-002847,2026-01-08,Midwest Freight,SO-003293,CUST-0062,5694,2847,6586,AFT-0046,100,33.0,664.15
SHP-003418,2026-01-08,BlueLine Transport,SO-003954,CUST-0019,6835,3418,7907,AFT-0026,100,2.0,194.56
SHP-003418,2026-01-08,BlueLine Transport,SO-003954,CUST-0019,6836,3418,7908,AFT-0037,100,4.0,3077.35
SHP-004887,2026-01-08,Midwest Freight,SO-005653,CUST-0102,9773,4887,11305,ACT-0005,100,33.0,789.17
SHP-004887,2026-01-08,Midwest Freight,SO-005653,CUST-0102,9774,4887,11306,ACT-0016,200,55.0,217.24
SHP-005456,2026-01-08,BlueLine Transport,SO-006314,CUST-0059,10911,5456,12627,SYS-0026,300,4.0,1401.71
SHP-005456,2026-01-08,BlueLine Transport,SO-006314,CUST-0059,10912,5456,12628,ACT-0007,100,9.0,2766.72
SHP-006543,2026-01-08,BlueLine Transport,SO-007570,CUST-0051,13085,6543,15139,DRV-0022,200,22.0,4199.01
SHP-006543,2026-01-08,BlueLine Transport,SO-007570,CUST-0051,13086,6543,15140,DRV-0033,100,33.0,1124.9
SHP-008011,2026-01-08,Midwest Freight,SO-009269,CUST-0134,16021,8011,18537,AFT-0041,100,9.0,1163.02
SHP-008011,2026-01-08,Midwest Freight,SO-009269,CUST-0134,16022,8011,18538,AFT-0052,100,13.0,315.62
SHP-008585,2026-01-08,BlueLine Transport,SO-009930,CUST-0091,17169,8585,19859,AFT-0032,100,33.0,665.09
SHP-008585,2026-01-08,BlueLine Transport,SO-009930,CUST-0091,17170,8585,19860,AFT-0043,100,55.0,701.72
SHP-000459,2026-01-09,Roadstar Logistics,SO-000528,CUST-0097,917,459,1055,CTL-0010,300,22.0,2841.49
SHP-000459,2026-01-09,Roadstar Logistics,SO-000528,CUST-0097,918,459,1056,CTL-0021,300,33.0,849.25
SHP-000974,2026-01-09,ParcelPro,SO-001123,CUST-0132,1947,974,2245,AFT-0015,300,22.0,1124.21
SHP-000974,2026-01-09,ParcelPro,SO-001123,CUST-0132,1948,974,2246,AFT-0026,100,33.0,194.56
SHP-001546,2026-01-09,Roadstar Logistics,SO-001784,CUST-0089,3091,1546,3567,AFT-0006,300,2.0,5754.99
SHP-001546,2026-01-09,Roadstar Logistics,SO-001784,CUST-0089,3092,1546,3568,AFT-0017,100,4.0,1705.89
SHP-003012,2026-01-09,ParcelPro,SO-003483,CUST-0172,6023,3012,6965,SYS-0015,100,33.0,5502.56
SHP-003012,2026-01-09,ParcelPro,SO-003483,CUST-0172,6024,3012,6966,SYS-0026,300,55.0,1401.71
SHP-003584,2026-01-09,Roadstar Logistics,SO-004144,CUST-0129,7167,3584,8287,SYS-0006,300,4.0,436.61
SHP-003584,2026-01-09,Roadstar Logistics,SO-004144,CUST-0129,7168,3584,8288,SYS-0017,100,9.0,2870.14
SHP-004478,2026-01-09,BlueLine Transport,SO-005182,CUST-0015,8955,4478,10363,CTL-0034,300,13.0,1946.56
SHP-004478,2026-01-09,BlueLine Transport,SO-005182,CUST-0015,8956,4478,10364,DRV-0005,100,22.0,1162.73
SHP-005564,2026-01-09,BlueLine Transport,SO-006438,CUST-0007,11127,5564,12875,AFT-0030,300,55.0,342.02
SHP-005564,2026-01-09,BlueLine Transport,SO-006438,CUST-0007,11128,5564,12876,AFT-0041,100,2.0,1163.02
SHP-006136,2026-01-09,ParcelPro,SO-007099,CUST-0204,12271,6136,14197,AFT-0021,300,9.0,395.23
SHP-006136,2026-01-09,ParcelPro,SO-007099,CUST-0204,12272,6136,14198,AFT-0032,100,13.0,665.09
SHP-006709,2026-01-09,Roadstar Logistics,SO-007760,CUST-0161,13417,6709,15519,AFT-0012,300,33.0,1004.49
SHP-006709,2026-01-09,Roadstar Logistics,SO-007760,CUST-0161,13418,6709,15520,AFT-0023,100,55.0,273.18
SHP-007604,2026-01-09,BlueLine Transport,SO-008798,CUST-0047,15207,7604,17595,SYS-0030,300,2.0,3308.83
SHP-007604,2026-01-09,BlueLine Transport,SO-008798,CUST-0047,15208,7604,17596,ACT-0011,100,4.0,416.59
SHP-008175,2026-01-09,ParcelPro,SO-009459,CUST-0004,16349,8175,18917,SYS-0021,100,13.0,1935.92
SHP-008175,2026-01-09,ParcelPro,SO-009459,CUST-0004,16350,8175,18918,ACT-0002,200,22.0,398.44
SHP-000566,2026-01-10,Roadstar Logistics,SO-000652,CUST-0045,1131,566,1303,SYS-0004,300,9.0,271.87
SHP-000566,2026-01-10,Roadstar Logistics,SO-000652,CUST-0045,1132,566,1304,SYS-0015,100,13.0,5502.56
SHP-001138,2026-01-10,Midwest Freight,SO-001313,CUST-0002,2275,1138,2625,DRV-0055,100,33.0,5400.43
SHP-001138,2026-01-10,Midwest Freight,SO-001313,CUST-0002,2276,1138,2626,SYS-0006,300,55.0,436.61
SHP-002035,2026-01-10,ParcelPro,SO-002351,CUST-0128,4069,2035,4701,CTL-0023,300,2.0,1243.13
SHP-002035,2026-01-10,ParcelPro,SO-002351,CUST-0128,4070,2035,4702,CTL-0034,300,4.0,1946.56
SHP-002603,2026-01-10,Roadstar Logistics,SO-003012,CUST-0085,5205,2603,6023,CTL-0014,300,13.0,376.32
SHP-002603,2026-01-10,Roadstar Logistics,SO-003012,CUST-0085,5206,2603,6024,CTL-0025,300,22.0,1240.54
SHP-003690,2026-01-10,Roadstar Logistics,SO-004268,CUST-0077,7379,3690,8535,AFT-0010,100,55.0,221.83
SHP-003690,2026-01-10,Roadstar Logistics,SO-004268,CUST-0077,7380,3690,8536,AFT-0021,300,2.0,395.23
SHP-004261,2026-01-10,Midwest Freight,SO-004929,CUST-0034,8521,4261,9857,AFT-0001,100,9.0,1725.19
SHP-004261,2026-01-10,Midwest Freight,SO-004929,CUST-0034,8522,4261,9858,AFT-0012,300,13.0,1004.49
SHP-005729,2026-01-10,Roadstar Logistics,SO-006628,CUST-0117,11457,5729,13255,SYS-0010,300,2.0,1017.55
SHP-005729,2026-01-10,Roadstar Logistics,SO-006628,CUST-0117,11458,5729,13256,SYS-0021,100,4.0,1935.92
SHP-006300,2026-01-10,Midwest Freight,SO-007289,CUST-0074,12599,6300,14577,SYS-0001,100,13.0,484.28
SHP-006300,2026-01-10,Midwest Freight,SO-007289,CUST-0074,12600,6300,14578,SYS-0012,300,22.0,544.4
SHP-007197,2026-01-10,ParcelPro,SO-008327,CUST-0200,14393,7197,16653,CTL-0029,300,33.0,746.13
SHP-007197,2026-01-10,ParcelPro,SO-008327,CUST-0200,14394,7197,16654,CTL-0040,300,55.0,3693.39
SHP-007385,2026-01-10,Midwest Freight,SO-008545,CUST-0066,14769,7385,17089,CTL-0037,300,55.0,4331.48
SHP-007385,2026-01-10,Midwest Freight,SO-008545,CUST-0066,14770,7385,17090,DRV-0008,200,2.0,260.06
SHP-008284,2026-01-10,ParcelPro,SO-009583,CUST-0192,16567,8284,19165,AFT-0025,100,4.0,475.85
SHP-008284,2026-01-10,ParcelPro,SO-009583,CUST-0192,16568,8284,19166,AFT-0036,300,9.0,950.62
SHP-000159,2026-01-11,Midwest Freight,SO-000181,CUST-0198,317,159,361,CTL-0003,300,2.0,1770.15
SHP-000159,2026-01-11,Midwest Freight,SO-000181,CUST-0198,318,159,362,CTL-0014,300,4.0,376.32
SHP-000732,2026-01-11,BlueLine Transport,SO-000842,CUST-0155,1463,732,1683,AFT-0054,300,13.0,278.7
SHP-000732,2026-01-11,BlueLine Transport,SO-000842,CUST-0155,1464,732,1684,CTL-0005,300,22.0,1064.96
SHP-001816,2026-01-11,BlueLine Transport,SO-002098,CUST-0147,3631,1816,4195,ACT-0050,200,55.0,1066.65
SHP-001816,2026-01-11,BlueLine Transport,SO-002098,CUST-0147,3632,1816,4196,AFT-0001,100,2.0,1725.19
SHP-003284,2026-01-11,Midwest Freight,SO-003797,CUST-0230,6567,3284,7593,DRV-0059,100,22.0,4086.27
SHP-003284,2026-01-11,Midwest Freight,SO-003797,CUST-0230,6568,3284,7594,SYS-0010,300,33.0,1017.55
SHP-003855,2026-01-11,BlueLine Transport,SO-004458,CUST-0187,7709,3855,8915,DRV-0050,200,2.0,3137.29
SHP-003855,2026-01-11,BlueLine Transport,SO-004458,CUST-0187,7710,3855,8916,SYS-0001,100,4.0,484.28
SHP-005320,2026-01-11,Midwest Freight,SO-006157,CUST-0030,10639,5320,12313,CTL-0009,300,33.0,1465.6
SHP-005320,2026-01-11,Midwest Freight,SO-006157,CUST-0030,10640,5320,12314,CTL-0020,300,55.0,687.1
