order_number,customer_id,promised_ship_date,id,sales_order_id,line_number,item_id,site_code,order_quantity,shipped_quantity,unit_price,discount_percent,standard_unit_cost,status
SO-001508,CUST-0197,2026-06-15,3016,1508,20,ACT-0021,100,33.0,0.0,1482.62,0.0,928.12,Open
SO-002764,CUST-0189,2026-06-15,5527,2764,10,DRV-0036,200,2.0,0.0,2182.48,0.0,1497.18,Open
SO-002764,CUST-0189,2026-06-15,5528,2764,20,DRV-0047,100,4.0,0.0,5541.72,0.0,3735.12,Open
SO-003425,CUST-0146,2026-06-15,6849,3425,10,DRV-0027,100,13.0,0.0,1831.9,0.0,1168.75,Open
SO-003425,CUST-0146,2026-06-15,6850,3425,20,DRV-0038,200,22.0,0.0,869.52,0.02,544.32,Open
SO-004463,CUST-0032,2026-06-15,8925,4463,10,AFT-0055,100,33.0,0.0,396.32,0.05,281.39,Open
SO-004463,CUST-0032,2026-06-15,8926,4463,20,CTL-0006,300,55.0,0.0,2304.3,0.0,1608.4,Open
SO-005124,CUST-0229,2026-06-15,10247,5124,10,AFT-0046,100,4.0,0.0,1003.25,0.0,664.15,Open
SO-005124,CUST-0229,2026-06-15,10248,5124,20,AFT-0057,300,9.0,0.0,951.69,0.0,618.6,Open
SO-005785,CUST-0186,2026-06-15,11569,5785,10,AFT-0037,100,22.0,0.0,5011.97,0.0,3077.35,Open
SO-005785,CUST-0186,2026-06-15,11570,5785,20,AFT-0048,300,33.0,0.0,3653.79,0.02,2594.19,Open
SO-007041,CUST-0178,2026-06-15,14081,7041,10,ACT-0033,100,2.0,0.0,1997.22,0.02,1322.16,Open
SO-007041,CUST-0178,2026-06-15,14082,7041,20,ACT-0044,200,4.0,0.0,294.05,0.035,191.13,Open
SO-008079,CUST-0064,2026-06-15,16157,8079,10,DRV-0051,100,9.0,0.0,5052.67,0.0,3162.97,Open
SO-008079,CUST-0064,2026-06-15,16158,8079,20,SYS-0002,300,13.0,0.0,1993.0,0.0,1223.7,Open
SO-008740,CUST-0021,2026-06-15,17479,8740,10,DRV-0042,200,33.0,0.0,597.0,0.0,409.54,Open
SO-008740,CUST-0021,2026-06-15,17480,8740,20,DRV-0053,100,55.0,0.0,3703.15,0.02,2495.92,Open
SO-009401,CUST-0218,2026-06-15,18801,9401,10,DRV-0033,100,4.0,0.0,1763.17,0.02,1124.9,Open
SO-009401,CUST-0218,2026-06-15,18802,9401,20,DRV-0044,200,9.0,0.0,349.9,0.035,219.04,Open
SO-000594,CUST-0019,2026-06-16,1187,594,10,DRV-0016,200,2.0,0.0,546.99,0.0,381.8,Open
SO-000594,CUST-0019,2026-06-16,1188,594,20,DRV-0027,100,4.0,0.0,1703.72,0.0,1168.75,Open
SO-002293,CUST-0102,2026-06-16,4585,2293,10,AFT-0035,100,33.0,0.0,3733.73,0.05,2292.51,Open
SO-002293,CUST-0102,2026-06-16,4586,2293,20,AFT-0046,100,55.0,0.0,935.42,0.0,664.15,Open
SO-002954,CUST-0059,2026-06-16,5907,2954,10,AFT-0026,100,4.0,0.0,288.66,0.0,194.56,Open
SO-002954,CUST-0059,2026-06-16,5908,2954,20,AFT-0037,100,9.0,0.0,4648.56,0.0,3077.35,Open
SO-004653,CUST-0142,2026-06-16,9305,4653,10,ACT-0005,100,55.0,0.0,1130.62,0.05,789.17,Open
SO-004653,CUST-0142,2026-06-16,9306,4653,20,ACT-0016,200,2.0,0.0,316.68,0.0,217.24,Open
SO-005909,CUST-0134,2026-06-16,11817,5909,10,DRV-0031,100,9.0,0.0,2183.35,0.0,1392.98,Open
SO-005909,CUST-0134,2026-06-16,11818,5909,20,DRV-0042,200,13.0,0.0,654.22,0.0,409.54,Open
SO-006570,CUST-0091,2026-06-16,13139,6570,10,DRV-0022,200,33.0,0.0,6015.77,0.0,4199.01,Open
SO-006570,CUST-0091,2026-06-16,13140,6570,20,DRV-0033,100,55.0,0.0,1639.8,0.02,1124.9,Open
SO-008269,CUST-0174,2026-06-16,16537,8269,10,AFT-0041,100,13.0,0.0,1894.17,0.0,1163.02,Open
SO-008269,CUST-0174,2026-06-16,16538,8269,20,AFT-0052,100,22.0,0.0,444.54,0.0,315.62,Open
SO-008930,CUST-0131,2026-06-16,17859,8930,10,AFT-0032,100,55.0,0.0,986.78,0.0,665.09,Open
SO-008930,CUST-0131,2026-06-16,17860,8930,20,AFT-0043,100,2.0,0.0,1060.0,0.02,701.72,Open
SO-000123,CUST-0172,2026-06-17,245,123,10,AFT-0015,300,33.0,0.0,1795.86,0.05,1124.21,Open
SO-000123,CUST-0172,2026-06-17,246,123,20,AFT-0026,100,55.0,0.0,316.87,0.0,194.56,Open
SO-000784,CUST-0129,2026-06-17,1567,784,10,AFT-0006,300,4.0,0.0,8389.2,0.0,5754.99,Open
SO-000784,CUST-0129,2026-06-17,1568,784,20,AFT-0017,100,9.0,0.0,2530.99,0.0,1705.89,Open
SO-001822,CUST-0015,2026-06-17,3643,1822,10,SYS-0024,300,13.0,0.0,8836.06,0.035,5743.44,Open
SO-001822,CUST-0015,2026-06-17,3644,1822,20,ACT-0005,100,22.0,0.0,1236.94,0.05,789.17,Open
SO-002483,CUST-0212,2026-06-17,4965,2483,10,SYS-0015,100,55.0,0.0,7750.08,0.05,5502.56,Open
SO-002483,CUST-0212,2026-06-17,4966,2483,20,SYS-0026,300,2.0,0.0,2008.18,0.0,1401.71,Open
SO-003739,CUST-0204,2026-06-17,7477,3739,10,DRV-0011,100,9.0,0.0,1266.74,0.0,823.38,Open
SO-003739,CUST-0204,2026-06-17,7478,3739,20,DRV-0022,200,13.0,0.0,6581.52,0.0,4199.01,Open
SO-004400,CUST-0161,2026-06-17,8799,4400,10,DRV-0002,200,33.0,0.0,3198.34,0.0,2270.82,Open
SO-004400,CUST-0161,2026-06-17,8800,4400,20,DRV-0013,100,55.0,0.0,765.37,0.02,534.23,Open
SO-005438,CUST-0047,2026-06-17,10875,5438,10,AFT-0030,300,2.0,0.0,507.45,0.05,342.02,Open
SO-005438,CUST-0047,2026-06-17,10876,5438,20,AFT-0041,100,4.0,0.0,1756.83,0.0,1163.02,Open
SO-006099,CUST-0004,2026-06-17,12197,6099,10,AFT-0021,300,13.0,0.0,631.36,0.0,395.23,Open
SO-006099,CUST-0004,2026-06-17,12198,6099,20,AFT-0032,100,22.0,0.0,1083.21,0.0,665.09,Open
SO-006760,CUST-0201,2026-06-17,13519,6760,10,AFT-0012,300,55.0,0.0,1464.27,0.0,1004.49,Open
SO-006760,CUST-0201,2026-06-17,13520,6760,20,AFT-0023,100,2.0,0.0,405.31,0.02,273.18,Open
SO-008016,CUST-0193,2026-06-17,16031,8016,10,ACT-0008,200,9.0,0.0,363.88,0.02,227.79,Open
SO-008016,CUST-0193,2026-06-17,16032,8016,20,ACT-0019,100,13.0,0.0,2034.3,0.035,1249.06,Open
SO-009054,CUST-0079,2026-06-17,18107,9054,10,DRV-0026,200,22.0,0.0,915.16,0.0,638.78,Open
SO-009054,CUST-0079,2026-06-17,18108,9054,20,DRV-0037,100,33.0,0.0,6515.28,0.0,4469.48,Open
SO-009715,CUST-0036,2026-06-17,19429,9715,10,DRV-0017,100,2.0,0.0,1195.45,0.0,777.04,Open
SO-009715,CUST-0036,2026-06-17,19430,9715,20,DRV-0028,200,4.0,0.0,3697.01,0.02,2358.69,Open
SO-000313,CUST-0042,2026-06-18,625,313,10,DRV-0055,100,55.0,0.0,8795.49,0.05,5400.43,Open
SO-000313,CUST-0042,2026-06-18,626,313,20,SYS-0006,300,2.0,0.0,614.94,0.0,436.61,Open
SO-001351,CUST-0168,2026-06-18,2701,1351,10,CTL-0023,300,4.0,0.0,1812.14,0.02,1243.13,Open
SO-001351,CUST-0168,2026-06-18,2702,1351,20,CTL-0034,300,9.0,0.0,2888.07,0.035,1946.56,Open
SO-001569,CUST-0034,2026-06-18,3137,1569,10,CTL-0031,300,9.0,0.0,2952.21,0.0,1954.36,Open
SO-001569,CUST-0034,2026-06-18,3138,1569,20,DRV-0002,200,13.0,0.0,3493.57,0.0,2270.82,Open
SO-002607,CUST-0160,2026-06-18,5213,2607,10,AFT-0019,100,22.0,0.0,1229.55,0.035,769.7,Open
SO-002607,CUST-0160,2026-06-18,5214,2607,20,AFT-0030,300,33.0,0.0,557.04,0.05,342.02,Open
SO-003268,CUST-0117,2026-06-18,6535,3268,10,AFT-0010,100,2.0,0.0,323.37,0.05,221.83,Open
SO-003268,CUST-0117,2026-06-18,6536,3268,20,AFT-0021,300,4.0,0.0,586.39,0.0,395.23,Open
SO-003929,CUST-0074,2026-06-18,7857,3929,10,AFT-0001,100,13.0,0.0,2704.06,0.0,1725.19,Open
SO-003929,CUST-0074,2026-06-18,7858,3929,20,AFT-0012,300,22.0,0.0,1604.62,0.0,1004.49,Open
SO-004967,CUST-0200,2026-06-18,9933,4967,10,SYS-0019,100,33.0,0.0,2532.58,0.035,1798.13,Open
SO-004967,CUST-0200,2026-06-18,9934,4967,20,SYS-0030,300,55.0,0.0,4740.44,0.05,3308.83,Open
SO-005628,CUST-0157,2026-06-18,11255,5628,10,SYS-0010,300,4.0,0.0,1537.08,0.05,1017.55,Open
SO-005628,CUST-0157,2026-06-18,11256,5628,20,SYS-0021,100,9.0,0.0,2978.34,0.0,1935.92,Open
SO-006223,CUST-0192,2026-06-18,12445,6223,10,DRV-0015,100,4.0,0.0,1898.05,0.05,1233.73,Open
SO-006223,CUST-0192,2026-06-18,12446,6223,20,DRV-0026,200,9.0,0.0,1001.22,0.0,638.78,Open
SO-006884,CUST-0149,2026-06-18,13767,6884,10,DRV-0006,200,22.0,0.0,2503.9,0.0,1777.77,Open
SO-006884,CUST-0149,2026-06-18,13768,6884,20,DRV-0017,100,33.0,0.0,1113.24,0.0,777.04,Open
SO-007545,CUST-0106,2026-06-18,15089,7545,10,CTL-0037,300,2.0,0.0,6543.02,0.0,4331.48,Open
SO-007545,CUST-0106,2026-06-18,15090,7545,20,DRV-0008,200,4.0,0.0,400.09,0.02,260.06,Open
SO-008583,CUST-0232,2026-06-18,17165,8583,10,AFT-0025,100,9.0,0.0,760.14,0.05,475.85,Open
SO-008583,CUST-0232,2026-06-18,17166,8583,20,AFT-0036,300,13.0,0.0,1548.24,0.0,950.62,Open
SO-009244,CUST-0189,2026-06-18,18487,9244,10,AFT-0016,100,33.0,0.0,2465.9,0.0,1691.61,Open
SO-009244,CUST-0189,2026-06-18,18488,9244,20,AFT-0027,300,55.0,0.0,486.74,0.0,328.06,Open
SO-009905,CUST-0146,2026-06-18,19809,9905,10,AFT-0007,100,4.0,0.0,463.89,0.0,295.96,Open
SO-009905,CUST-0146,2026-06-18,19810,9905,20,AFT-0018,300,9.0,0.0,932.38,0.02,583.67,Open
SO-000437,CUST-0230,2026-06-19,873,437,10,ACT-0059,100,22.0,0.0,1349.22,0.035,860.8,Open
SO-000437,CUST-0230,2026-06-19,874,437,20,AFT-0010,100,33.0,0.0,354.36,0.05,221.83,Open
SO-001098,CUST-0187,2026-06-19,2195,1098,10,ACT-0050,200,2.0,0.0,1528.15,0.05,1066.65,Open
SO-001098,CUST-0187,2026-06-19,2196,1098,20,AFT-0001,100,4.0,0.0,2514.85,0.0,1725.19,Open
SO-002797,CUST-0030,2026-06-19,5593,2797,10,DRV-0059,100,33.0,0.0,6655.16,0.035,4086.27,Open
SO-002797,CUST-0030,2026-06-19,5594,2797,20,SYS-0010,300,55.0,0.0,1433.17,0.05,1017.55,Open
SO-003458,CUST-0227,2026-06-19,6915,3458,10,DRV-0050,200,4.0,0.0,4654.73,0.05,3137.29,Open
SO-003458,CUST-0227,2026-06-19,6916,3458,20,SYS-0001,100,9.0,0.0,731.54,0.0,484.28,Open
SO-004714,CUST-0219,2026-06-19,9427,4714,10,CTL-0026,300,22.0,0.0,1700.93,0.0,1044.37,Open
SO-004714,CUST-0219,2026-06-19,9428,4714,20,CTL-0037,300,33.0,0.0,6100.68,0.0,4331.48,Open
SO-006413,CUST-0062,2026-06-19,12825,6413,10,AFT-0005,100,9.0,0.0,3659.75,0.05,2334.92,Open
SO-006413,CUST-0062,2026-06-19,12826,6413,20,AFT-0016,100,13.0,0.0,2702.25,0.0,1691.61,Open
SO-007074,CUST-0019,2026-06-19,14147,7074,10,ACT-0056,200,33.0,0.0,886.22,0.0,618.58,Open
SO-007074,CUST-0019,2026-06-19,14148,7074,20,AFT-0007,100,55.0,0.0,431.43,0.0,295.96,Open
SO-000627,CUST-0100,2026-06-20,1253,627,10,DRV-0039,100,33.0,0.0,615.43,0.035,385.26,Open
SO-000627,CUST-0100,2026-06-20,1254,627,20,DRV-0050,200,55.0,0.0,5109.59,0.05,3137.29,Open
SO-001288,CUST-0057,2026-06-20,2575,1288,10,DRV-0030,200,4.0,0.0,652.67,0.05,447.73,Open
SO-001288,CUST-0057,2026-06-20,2576,1288,20,DRV-0041,100,9.0,0.0,402.76,0.0,271.46,Open
SO-002326,CUST-0183,2026-06-20,4651,2326,10,AFT-0058,100,13.0,0.0,382.45,0.02,248.59,Open
SO-002326,CUST-0183,2026-06-20,4652,2326,20,CTL-0009,300,22.0,0.0,2297.18,0.035,1465.6,Open
SO-002544,CUST-0049,2026-06-20,5087,2544,10,CTL-0006,300,22.0,0.0,2569.33,0.0,1608.4,Open
SO-002544,CUST-0049,2026-06-20,5088,2544,20,CTL-0017,300,33.0,0.0,401.07,0.0,246.26,Open
SO-003582,CUST-0175,2026-06-20,7163,3582,10,ACT-0054,200,55.0,0.0,5479.34,0.035,3824.58,Open
SO-003582,CUST-0175,2026-06-20,7164,3582,20,AFT-0005,100,2.0,0.0,3403.67,0.05,2334.92,Open
SO-004243,CUST-0132,2026-06-20,8485,4243,10,ACT-0045,100,9.0,0.0,479.97,0.05,311.98,Open
SO-004243,CUST-0132,2026-06-20,8486,4243,20,ACT-0056,200,13.0,0.0,969.56,0.0,618.58,Open
SO-004904,CUST-0089,2026-06-20,9807,4904,10,ACT-0036,200,33.0,0.0,291.8,0.0,207.18,Open
SO-004904,CUST-0089,2026-06-20,9808,4904,20,ACT-0047,100,55.0,0.0,1097.82,0.0,766.28,Open
SO-005942,CUST-0215,2026-06-20,11883,5942,10,DRV-0054,200,2.0,0.0,3544.61,0.035,2389.07,Open
SO-005942,CUST-0215,2026-06-20,11884,5942,20,SYS-0005,100,4.0,0.0,445.95,0.05,295.22,Open
SO-006603,CUST-0172,2026-06-20,13205,6603,10,DRV-0045,100,13.0,0.0,605.11,0.05,378.8,Open
SO-006603,CUST-0172,2026-06-20,13206,6603,20,DRV-0056,200,22.0,0.0,4874.85,0.0,2993.16,Open
SO-007198,CUST-0207,2026-06-20,14395,7198,10,CTL-0030,300,13.0,0.0,4769.61,0.05,2928.54,Open
SO-007198,CUST-0207,2026-06-20,14396,7198,20,DRV-0001,100,22.0,0.0,1518.3,0.0,1077.99,Open
SO-007859,CUST-0164,2026-06-20,15717,7859,10,CTL-0021,300,55.0,0.0,1260.01,0.0,849.25,Open
SO-007859,CUST-0164,2026-06-20,15718,7859,20,CTL-0032,300,2.0,0.0,2942.51,0.0,1947.94,Open
SO-008520,CUST-0121,2026-06-20,17039,8520,10,CTL-0012,300,9.0,0.0,7160.83,0.0,4482.68,Open
SO-008520,CUST-0121,2026-06-20,17040,8520,20,CTL-0023,300,13.0,0.0,2024.64,0.02,1243.13,Open
SO-009558,CUST-0007,2026-06-20,19115,9558,10,ACT-0060,200,22.0,0.0,312.34,0.05,218.01,Open
SO-009558,CUST-0007,2026-06-20,19116,9558,20,AFT-0011,100,33.0,0.0,670.2,0.0,459.76,Open
SO-000156,CUST-0013,2026-06-21,311,156,10,AFT-0038,100,13.0,0.0,2053.75,0.02,1359.58,Open
SO-000156,CUST-0013,2026-06-21,312,156,20,AFT-0049,100,22.0,0.0,1107.6,0.035,719.94,Open
SO-001412,CUST-0005,2026-06-21,2823,1412,10,ACT-0034,200,55.0,0.0,477.04,0.035,338.7,Open
SO-001412,CUST-0005,2026-06-21,2824,1412,20,ACT-0045,100,2.0,0.0,446.96,0.05,311.98,Open
SO-002073,CUST-0202,2026-06-21,4145,2073,10,ACT-0025,100,9.0,0.0,4223.85,0.05,2796.19,Open
SO-002073,CUST-0202,2026-06-21,4146,2073,20,ACT-0036,200,13.0,0.0,318.74,0.0,207.18,Open
SO-003111,CUST-0088,2026-06-21,6221,3111,10,DRV-0043,100,22.0,0.0,929.2,0.02,581.68,Open
SO-003111,CUST-0088,2026-06-21,6222,3111,20,DRV-0054,200,33.0,0.0,3890.99,0.035,2389.07,Open
SO-003772,CUST-0045,2026-06-21,7543,3772,10,DRV-0034,200,2.0,0.0,618.06,0.035,423.99,Open
SO-003772,CUST-0045,2026-06-21,7544,3772,20,DRV-0045,100,4.0,0.0,562.02,0.05,378.8,Open
SO-004433,CUST-0002,2026-06-21,8865,4433,10,DRV-0025,100,13.0,0.0,3512.34,0.05,2240.87,Open
SO-004433,CUST-0002,2026-06-21,8866,4433,20,DRV-0036,200,22.0,0.0,2391.66,0.0,1497.18,Open
SO-005689,CUST-0234,2026-06-21,11377,5689,10,CTL-0001,300,55.0,0.0,3172.42,0.0,2176.28,Open
SO-005689,CUST-0234,2026-06-21,11378,5689,20,CTL-0012,300,2.0,0.0,6650.86,0.0,4482.68,Open
SO-006727,CUST-0120,2026-06-21,13453,6727,10,ACT-0049,100,4.0,0.0,1277.38,0.035,830.3,Open
SO-006727,CUST-0120,2026-06-21,13454,6727,20,ACT-0060,200,9.0,0.0,341.71,0.05,218.01,Open
SO-007388,CUST-0077,2026-06-21,14775,7388,10,ACT-0040,200,22.0,0.0,281.44,0.05,199.82,Open
SO-007388,CUST-0077,2026-06-21,14776,7388,20,ACT-0051,100,33.0,0.0,6519.05,0.0,4550.3,Open
SO-008049,CUST-0034,2026-06-21,16097,8049,10,ACT-0031,100,2.0,0.0,3811.25,0.0,2523.05,Open
SO-008049,CUST-0034,2026-06-21,16098,8049,20,ACT-0042,200,4.0,0.0,989.97,0.0,643.48,Open
SO-009087,CUST-0160,2026-06-21,18173,9087,10,DRV-0049,100,9.0,0.0,1916.6,0.035,1199.79,Open
SO-009087,CUST-0160,2026-06-21,18174,9087,20,DRV-0060,200,13.0,0.0,608.75,0.05,373.77,Open
SO-000941,CUST-0158,2026-06-22,1881,941,10,DRV-0023,100,22.0,0.0,2283.31,0.02,1456.75,Open
SO-000941,CUST-0158,2026-06-22,1882,941,20,DRV-0034,200,33.0,0.0,677.3,0.035,423.99,Open
SO-001602,CUST-0115,2026-06-22,3203,1602,10,DRV-0014,200,2.0,0.0,1399.5,0.035,976.85,Open
SO-001602,CUST-0115,2026-06-22,3204,1602,20,DRV-0025,100,4.0,0.0,3266.57,0.05,2240.87,Open
SO-003301,CUST-0198,2026-06-22,6601,3301,10,AFT-0033,300,33.0,0.0,1624.89,0.02,997.68,Open
SO-003301,CUST-0198,2026-06-22,6602,3301,20,AFT-0044,100,55.0,0.0,1411.49,0.035,1002.16,Open
SO-004557,CUST-0190,2026-06-22,9113,4557,10,ACT-0029,100,4.0,0.0,1394.65,0.035,923.26,Open
SO-004557,CUST-0190,2026-06-22,9114,4557,20,ACT-0040,200,9.0,0.0,307.42,0.05,199.82,Open
SO-005218,CUST-0147,2026-06-22,10435,5218,10,ACT-0020,200,22.0,0.0,1019.87,0.05,626.2,Open
SO-005218,CUST-0147,2026-06-22,10436,5218,20,ACT-0031,100,33.0,0.0,3553.59,0.0,2523.05,Open
SO-006917,CUST-0230,2026-06-22,13833,6917,10,DRV-0029,100,9.0,0.0,2534.72,0.035,1617.15,Open
SO-006917,CUST-0230,2026-06-22,13834,6917,20,DRV-0040,200,13.0,0.0,349.79,0.05,218.97,Open
SO-007578,CUST-0187,2026-06-22,15155,7578,10,DRV-0020,200,33.0,0.0,1370.77,0.05,956.8,Open
SO-007578,CUST-0187,2026-06-22,15156,7578,20,DRV-0031,100,55.0,0.0,2030.58,0.0,1392.98,Open
SO-008173,CUST-0222,2026-06-22,16345,8173,10,CTL-0005,300,33.0,0.0,1552.42,0.05,1064.96,Open
SO-008173,CUST-0222,2026-06-22,16346,8173,20,CTL-0016,300,55.0,0.0,405.12,0.0,273.05,Open
SO-008834,CUST-0179,2026-06-22,17667,8834,10,AFT-0056,100,4.0,0.0,605.17,0.0,386.1,Open
SO-008834,CUST-0179,2026-06-22,17668,8834,20,CTL-0007,300,9.0,0.0,3525.53,0.0,2206.98,Open
SO-000470,CUST-0071,2026-06-23,939,470,10,AFT-0022,100,9.0,0.0,334.36,0.0,225.36,Open
SO-000470,CUST-0071,2026-06-23,940,470,20,AFT-0033,300,13.0,0.0,1507.07,0.02,997.68,Open
SO-001131,CUST-0028,2026-06-23,2261,1131,10,AFT-0013,100,33.0,0.0,4707.03,0.02,2946.6,Open
SO-001131,CUST-0028,2026-06-23,2262,1131,20,AFT-0024,300,55.0,0.0,951.99,0.035,584.52,Open
SO-002387,CUST-0020,2026-06-23,4773,2387,10,ACT-0009,100,4.0,0.0,540.19,0.035,364.09,Open
SO-002387,CUST-0020,2026-06-23,4774,2387,20,ACT-0020,200,9.0,0.0,945.92,0.05,626.2,Open
SO-003048,CUST-0217,2026-06-23,6095,3048,10,SYS-0030,300,22.0,0.0,5285.67,0.05,3308.83,Open
SO-003048,CUST-0217,2026-06-23,6096,3048,20,ACT-0011,100,33.0,0.0,678.49,0.0,416.59,Open
SO-004086,CUST-0103,2026-06-23,8171,4086,10,DRV-0018,200,55.0,0.0,2104.21,0.02,1468.74,Open
SO-004086,CUST-0103,2026-06-23,8172,4086,20,DRV-0029,100,2.0,0.0,2357.36,0.035,1617.15,Open
SO-004747,CUST-0060,2026-06-23,9493,4747,10,DRV-0009,100,9.0,0.0,468.94,0.035,304.81,Open
SO-004747,CUST-0060,2026-06-23,9494,4747,20,DRV-0020,200,13.0,0.0,1499.69,0.05,956.8,Open
SO-005408,CUST-0017,2026-06-23,10815,5408,10,CTL-0040,300,33.0,0.0,5201.96,0.05,3693.39,Open
SO-005408,CUST-0017,2026-06-23,10816,5408,20,DRV-0011,100,55.0,0.0,1179.63,0.0,823.38,Open
SO-006664,CUST-0009,2026-06-23,13327,6664,10,AFT-0036,300,4.0,0.0,1462.49,0.0,950.62,Open
