id,transaction_date,transaction_type,item_id,site_code,warehouse_code,location_code,lot_number,quantity,unit_cost,reference_type,reference_id,quality_status,journal_id,extended_value
16772,2026-01-01,Production Issue,RM-0100,200,200-RM,200-RM-04,,-6.1618,16.89,Production Order,MO-002881,Available,,-104.07280200000001
16773,2026-01-01,Production Issue,RM-0123,200,200-RM,200-RM-05,,-10.9782,35.71,Production Order,MO-002881,Available,,-392.031522
16774,2026-01-01,Production Issue,RM-0146,200,200-RM,200-RM-01,,-14.7729,29.16,Production Order,MO-002881,Available,,-430.777764
20202,2026-01-01,Production Issue,SA-0036,100,100-RM,100-RM-02,,-73.7493,496.42,Production Order,MO-003470,Available,,-36610.627506000004
20203,2026-01-01,Production Issue,RM-0008,100,100-RM,100-RM-03,,-99.0931,17.71,Production Order,MO-003470,Available,,-1754.9388010000002
20204,2026-01-01,Production Issue,RM-0031,100,100-RM,100-RM-04,,-14.4374,11.16,Production Order,MO-003470,Available,,-161.121384
20205,2026-01-01,Production Issue,RM-0054,100,100-RM,100-RM-05,,-42.8514,29.98,Production Order,MO-003470,Available,,-1284.684972
20206,2026-01-01,Production Issue,RM-0077,100,100-RM,100-RM-01,,-74.9199,23.43,Production Order,MO-003470,Available,,-1755.373257
20207,2026-01-01,Production Issue,RM-0100,100,100-RM,100-RM-02,,-100.7447,16.89,Production Order,MO-003470,Available,,-1701.577983
23632,2026-01-01,Production Issue,RM-0102,200,200-RM,200-RM-02,,-7.2134,18.52,Production Order,MO-004059,Available,,-133.592168
23633,2026-01-01,Production Issue,RM-0125,200,200-RM,200-RM-03,,-15.1538,11.98,Production Order,MO-004059,Available,,-181.54252400000001
23634,2026-01-01,Production Issue,RM-0148,200,200-RM,200-RM-04,,-24.9801,30.8,Production Order,MO-004059,Available,,-769.38708
23635,2026-01-01,Production Issue,PC-0021,200,200-RM,200-RM-05,,-32.48,113.37,Production Order,MO-004059,Available,,-3682.2576
23636,2026-01-01,Production Issue,PC-0044,200,200-RM,200-RM-01,,-7.3244,87.19,Production Order,MO-004059,Available,,-638.614436
27054,2026-01-01,Production Issue,PC-0087,100,100-RM,100-RM-02,,-11.6741,126.46,Production Order,MO-004648,Available,,-1476.306686
27055,2026-01-01,Production Issue,SA-0030,100,100-RM,100-RM-03,,-2.6373,372.72,Production Order,MO-004648,Available,,-982.9744560000001
27056,2026-01-01,Production Issue,RM-0005,100,100-RM,100-RM-04,,-5.6466,15.25,Production Order,MO-004648,Available,,-86.11065
27057,2026-01-01,Production Issue,RM-0028,100,100-RM,100-RM-05,,-9.3159,34.07,Production Order,MO-004648,Available,,-317.39271299999996
27058,2026-01-01,Production Issue,RM-0051,100,100-RM,100-RM-01,,-11.867,27.52,Production Order,MO-004648,Available,,-326.57984000000005
27059,2026-01-01,Production Issue,RM-0074,100,100-RM,100-RM-02,,-2.6785,20.98,Production Order,MO-004648,Available,,-56.19493000000001
30490,2026-01-01,Production Issue,RM-0040,200,200-RM,200-RM-02,,-53.631,18.52,Production Order,MO-005237,Available,,-993.24612
30491,2026-01-01,Production Issue,RM-0063,200,200-RM,200-RM-03,,-77.1725,11.98,Production Order,MO-005237,Available,,-924.52655
30492,2026-01-01,Production Issue,RM-0086,200,200-RM,200-RM-04,,-15.7308,30.8,Production Order,MO-005237,Available,,-484.50864
33919,2026-01-01,Production Issue,RM-0025,100,100-RM,100-RM-02,,-13.9315,31.61,Production Order,MO-005826,Available,,-440.374715
33920,2026-01-01,Production Issue,RM-0048,100,100-RM,100-RM-03,,-20.726,25.07,Production Order,MO-005826,Available,,-519.60082
33921,2026-01-01,Production Issue,RM-0071,100,100-RM,100-RM-04,,-29.2656,18.52,Production Order,MO-005826,Available,,-541.998912
33922,2026-01-01,Production Issue,RM-0094,100,100-RM,100-RM-05,,-5.9614,11.98,Production Order,MO-005826,Available,,-71.417572
37345,2026-01-01,Production Issue,PC-0076,300,300-RM,300-RM-02,,-147.6216,90.46,Production Order,MO-006415,Available,,-13353.849935999999
37346,2026-01-01,Production Issue,PC-0099,300,300-RM,300-RM-03,,-43.3121,64.28,Production Order,MO-006415,Available,,-2784.101788
37347,2026-01-01,Production Issue,RM-0022,300,300-RM,300-RM-04,,-77.7546,29.16,Production Order,MO-006415,Available,,-2267.3241359999997
40783,2026-01-01,Production Issue,PC-0004,100,100-RM,100-RM-02,,-46.5179,57.73,Production Order,MO-007004,Available,,-2685.4783669999997
40784,2026-01-01,Production Issue,PC-0027,100,100-RM,100-RM-03,,-65.0997,133.0,Production Order,MO-007004,Available,,-8658.2601
40785,2026-01-01,Production Issue,PC-0050,100,100-RM,100-RM-04,,-16.884,106.82,Production Order,MO-007004,Available,,-1803.5488799999998
40786,2026-01-01,Production Issue,PC-0073,100,100-RM,100-RM-05,,-33.5966,80.64,Production Order,MO-007004,Available,,-2709.229824
44213,2026-01-01,Production Issue,PC-0013,300,300-RM,300-RM-02,,-9.4003,87.19,Production Order,MO-007593,Available,,-819.6121569999999
44214,2026-01-01,Production Issue,PC-0036,300,300-RM,300-RM-03,,-12.9476,61.0,Production Order,MO-007593,Available,,-789.8036
44215,2026-01-01,Production Issue,PC-0059,300,300-RM,300-RM-04,,-18.1364,136.28,Production Order,MO-007593,Available,,-2471.6285919999996
44216,2026-01-01,Production Issue,PC-0082,300,300-RM,300-RM-05,,-4.794,110.09,Production Order,MO-007593,Available,,-527.7714599999999
44217,2026-01-01,Production Issue,SA-0014,300,300-RM,300-RM-01,,-9.5472,370.35,Production Order,MO-007593,Available,,-3535.8055200000003
47639,2026-01-01,Production Issue,PC-0004,300,300-RM,300-RM-02,,-35.659,57.73,Production Order,MO-008182,Available,,-2058.5940699999996
47640,2026-01-01,Production Issue,PC-0027,300,300-RM,300-RM-03,,-64.139,133.0,Production Order,MO-008182,Available,,-8530.487
47641,2026-01-01,Production Issue,PC-0050,300,300-RM,300-RM-04,,-90.0346,106.82,Production Order,MO-008182,Available,,-9617.495971999999
47642,2026-01-01,Production Issue,PC-0073,300,300-RM,300-RM-05,,-126.2238,80.64,Production Order,MO-008182,Available,,-10178.687232
47643,2026-01-01,Production Issue,PC-0096,300,300-RM,300-RM-01,,-32.6874,54.46,Production Order,MO-008182,Available,,-1780.1558039999998
47644,2026-01-01,Production Issue,RM-0004,300,300-RM,300-RM-02,,-65.1571,14.43,Production Order,MO-008182,Available,,-940.216953
49513,2026-01-01,Transfer Out,AFT-0022,100,100-FG,100-FG-04,,-34.65,225.37,Transfer Order,TO-AFT-008503,Available,,-7809.0705
49514,2026-01-01,Transfer In,AFT-0022,400,400-FG,400-FG-04,,34.65,225.37,Transfer Order,TO-AFT-008503,Available,,7809.0705
51075,2026-01-01,Production Issue,RM-0100,100,100-RM,100-RM-02,,-29.3075,16.89,Production Order,MO-008771,Available,,-495.00367500000004
51076,2026-01-01,Production Issue,RM-0123,100,100-RM,100-RM-03,,-4.1808,35.71,Production Order,MO-008771,Available,,-149.296368
51077,2026-01-01,Production Issue,RM-0146,100,100-RM,100-RM-04,,-12.4238,29.16,Production Order,MO-008771,Available,,-362.278008
51078,2026-01-01,Production Issue,PC-0019,100,100-RM,100-RM-05,,-22.1254,106.82,Production Order,MO-008771,Available,,-2363.435228
51079,2026-01-01,Production Issue,PC-0042,100,100-RM,100-RM-01,,-29.784,80.64,Production Order,MO-008771,Available,,-2401.78176
54502,2026-01-01,Production Issue,RM-0016,100,100-RM,100-RM-02,,-7.9644,24.25,Production Order,MO-009360,Available,,-193.13670000000002
54503,2026-01-01,Production Issue,RM-0039,100,100-RM,100-RM-03,,-10.7056,17.71,Production Order,MO-009360,Available,,-189.596176
54504,2026-01-01,Production Issue,RM-0062,100,100-RM,100-RM-04,,-1.559,11.16,Production Order,MO-009360,Available,,-17.39844
54505,2026-01-01,Production Issue,RM-0085,100,100-RM,100-RM-05,,-4.6292,29.98,Production Order,MO-009360,Available,,-138.783416
54506,2026-01-01,Production Issue,RM-0108,100,100-RM,100-RM-01,,-8.0898,23.43,Production Order,MO-009360,Available,,-189.544014
54507,2026-01-01,Production Issue,RM-0131,100,100-RM,100-RM-02,,-10.8825,16.89,Production Order,MO-009360,Available,,-183.805425
57926,2026-01-01,Production Issue,RM-0007,300,300-RM,300-RM-02,,-29.5316,16.89,Production Order,MO-009949,Available,,-498.78872400000006
57927,2026-01-01,Production Issue,RM-0030,300,300-RM,300-RM-03,,-47.502,35.71,Production Order,MO-009949,Available,,-1696.2964200000001
57928,2026-01-01,Production Issue,RM-0053,300,300-RM,300-RM-04,,-70.7668,29.16,Production Order,MO-009949,Available,,-2063.5598880000002
61358,2026-01-01,Production Issue,RM-0143,200,200-RM,200-RM-02,,-27.4646,26.71,Production Order,MO-010538,Available,,-733.579466
61359,2026-01-01,Production Issue,PC-0016,200,200-RM,200-RM-03,,-6.2018,97.0,Production Order,MO-010538,Available,,-601.5746
61360,2026-01-01,Production Issue,PC-0039,200,200-RM,200-RM-04,,-13.2835,70.82,Production Order,MO-010538,Available,,-940.7374699999999
61361,2026-01-01,Production Issue,PC-0062,200,200-RM,200-RM-05,,-21.9055,44.64,Production Order,MO-010538,Available,,-977.86152
61362,2026-01-01,Production Issue,PC-0085,200,200-RM,200-RM-01,,-27.9149,119.91,Production Order,MO-010538,Available,,-3347.275659
61363,2026-01-01,Production Issue,RM-0008,200,200-RM,200-RM-02,,-6.298,17.71,Production Order,MO-010538,Available,,-111.53758
63236,2026-01-01,Transfer Out,AFT-0044,100,100-FG,100-FG-05,,-7.96,1002.17,Transfer Order,TO-AFT-010859,Available,,-7977.2732
63237,2026-01-01,Transfer In,AFT-0044,400,400-FG,400-FG-05,,7.96,1002.17,Transfer Order,TO-AFT-010859,Available,,7977.2732
64796,2026-01-01,Production Issue,PC-0074,200,200-RM,200-RM-02,,-105.1168,83.91,Production Order,MO-011127,Available,,-8820.350687999999
64797,2026-01-01,Production Issue,PC-0097,200,200-RM,200-RM-03,,-136.416,57.73,Production Order,MO-011127,Available,,-7875.295679999999
64798,2026-01-01,Production Issue,RM-0020,200,200-RM,200-RM-04,,-30.8305,27.52,Production Order,MO-011127,Available,,-848.45536
68214,2026-01-01,Production Issue,PC-0097,100,100-RM,100-RM-02,,-28.079,57.73,Production Order,MO-011716,Available,,-1621.00067
68215,2026-01-01,Production Issue,SA-0060,100,100-RM,100-RM-03,,-41.789,347.63,Production Order,MO-011716,Available,,-14527.11007
68216,2026-01-01,Production Issue,RM-0015,100,100-RM,100-RM-04,,-58.9814,23.43,Production Order,MO-011716,Available,,-1381.934202
68217,2026-01-01,Production Issue,RM-0038,100,100-RM,100-RM-05,,-12.019,16.89,Production Order,MO-011716,Available,,-203.00091
71646,2026-01-01,Production Issue,SA-0035,300,300-RM,300-RM-02,,-3.357,1263.81,Production Order,MO-012305,Available,,-4242.61017
71647,2026-01-01,Production Issue,RM-0013,300,300-RM,300-RM-03,,-7.8213,21.8,Production Order,MO-012305,Available,,-170.50434
71648,2026-01-01,Production Issue,RM-0036,300,300-RM,300-RM-04,,-11.632,15.25,Production Order,MO-012305,Available,,-177.388
71649,2026-01-01,Production Issue,RM-0059,300,300-RM,300-RM-05,,-16.7597,34.07,Production Order,MO-012305,Available,,-571.002979
71650,2026-01-01,Production Issue,RM-0082,300,300-RM,300-RM-01,,-3.4125,27.52,Production Order,MO-012305,Available,,-93.912
75083,2026-01-01,Production Issue,RM-0017,300,300-RM,300-RM-02,,-93.786,25.07,Production Order,MO-012894,Available,,-2351.21502
75084,2026-01-01,Production Issue,RM-0040,300,300-RM,300-RM-03,,-131.1932,18.52,Production Order,MO-012894,Available,,-2429.6980639999997
75085,2026-01-01,Production Issue,RM-0063,300,300-RM,300-RM-04,,-34.0381,11.98,Production Order,MO-012894,Available,,-407.77643800000004
75086,2026-01-01,Production Issue,RM-0086,300,300-RM,300-RM-05,,-61.0848,30.8,Production Order,MO-012894,Available,,-1881.41184
78501,2026-01-01,Production Issue,PC-0058,200,200-RM,200-RM-02,,-18.9475,133.0,Production Order,MO-013483,Available,,-2520.0175000000004
78502,2026-01-01,Production Issue,PC-0081,200,200-RM,200-RM-03,,-26.1075,106.82,Production Order,MO-013483,Available,,-2788.80315
78503,2026-01-01,Production Issue,SA-0010,200,200-RM,200-RM-04,,-36.5539,763.59,Production Order,MO-013483,Available,,-27912.192501
78504,2026-01-01,Production Issue,RM-0007,200,200-RM,200-RM-05,,-9.666,16.89,Production Order,MO-013483,Available,,-163.25874000000002
78505,2026-01-01,Production Issue,RM-0030,200,200-RM,200-RM-01,,-19.2413,35.71,Production Order,MO-013483,Available,,-687.106823
81941,2026-01-01,Production Issue,PC-0058,100,100-RM,100-RM-02,,-3.4733,133.0,Production Order,MO-014072,Available,,-461.9489
81942,2026-01-01,Production Issue,PC-0081,100,100-RM,100-RM-03,,-6.9266,106.82,Production Order,MO-014072,Available,,-739.8994119999999
81943,2026-01-01,Production Issue,SA-0012,100,100-RM,100-RM-04,,-9.7269,416.54,Production Order,MO-014072,Available,,-4051.6429260000004
81944,2026-01-01,Production Issue,RM-0010,100,100-RM,100-RM-05,,-13.6305,19.34,Production Order,MO-014072,Available,,-263.61386999999996
81945,2026-01-01,Production Issue,RM-0033,100,100-RM,100-RM-01,,-3.5312,12.8,Production Order,MO-014072,Available,,-45.199360000000006
81946,2026-01-01,Production Issue,RM-0056,100,100-RM,100-RM-02,,-7.0357,31.61,Production Order,MO-014072,Available,,-222.398477
85369,2026-01-01,Production Issue,PC-0075,300,300-RM,300-RM-02,,-78.4503,87.19,Production Order,MO-014661,Available,,-6840.081657
85370,2026-01-01,Production Issue,PC-0098,300,300-RM,300-RM-03,,-22.9764,61.0,Production Order,MO-014661,Available,,-1401.5604
85371,2026-01-01,Production Issue,RM-0006,300,300-RM,300-RM-04,,-41.31,16.07,Production Order,MO-014661,Available,,-663.8517
88787,2026-01-01,Production Issue,RM-0141,100,100-RM,100-RM-02,,-18.73,25.07,Production Order,MO-015250,Available,,-469.5611
88788,2026-01-01,Production Issue,PC-0014,100,100-RM,100-RM-03,,-25.1862,90.46,Production Order,MO-015250,Available,,-2278.343652
88789,2026-01-01,Production Issue,PC-0037,100,100-RM,100-RM-04,,-3.6662,64.28,Production Order,MO-015250,Available,,-235.663336
88790,2026-01-01,Production Issue,PC-0060,100,100-RM,100-RM-05,,-10.8899,139.55,Production Order,MO-015250,Available,,-1519.6855450000003
88791,2026-01-01,Production Issue,PC-0083,100,100-RM,100-RM-01,,-19.0226,113.37,Production Order,MO-015250,Available,,-2156.5921620000004
88792,2026-01-01,Production Issue,RM-0006,100,100-RM,100-RM-02,,-25.5991,16.07,Production Order,MO-015250,Available,,-411.377537
92225,2026-01-01,Production Issue,RM-0087,200,200-RM,200-RM-02,,-57.8609,31.61,Production Order,MO-015839,Available,,-1828.983049
92226,2026-01-01,Production Issue,RM-0110,200,200-RM,200-RM-03,,-93.1039,25.07,Production Order,MO-015839,Available,,-2334.114773
92227,2026-01-01,Production Issue,RM-0133,200,200-RM,200-RM-04,,-125.0928,18.52,Production Order,MO-015839,Available,,-2316.718656
95652,2026-01-01,Production Issue,RM-0078,300,300-RM,300-RM-02,,-6.9913,24.25,Production Order,MO-016428,Available,,-169.539025
95653,2026-01-01,Production Issue,RM-0101,300,300-RM,300-RM-03,,-23.0194,17.71,Production Order,MO-016428,Available,,-407.67357400000003
95654,2026-01-01,Production Issue,RM-0124,300,300-RM,300-RM-04,,-36.2893,11.16,Production Order,MO-016428,Available,,-404.988588
95655,2026-01-01,Production Issue,RM-0147,300,300-RM,300-RM-05,,-54.0883,29.98,Production Order,MO-016428,Available,,-1621.5672339999999
99082,2026-01-01,Production Issue,RM-0069,100,100-RM,100-RM-02,,-15.1303,16.89,Production Order,MO-017017,Available,,-255.550767
99083,2026-01-01,Production Issue,RM-0092,100,100-RM,100-RM-03,,-1.9457,35.71,Production Order,MO-017017,Available,,-69.480947
99084,2026-01-01,Production Issue,RM-0115,100,100-RM,100-RM-04,,-6.4123,29.16,Production Order,MO-017017,Available,,-186.98266800000002
99085,2026-01-01,Production Issue,RM-0138,100,100-RM,100-RM-05,,-10.3027,22.61,Production Order,MO-017017,Available,,-232.94404699999998
99086,2026-01-01,Production Issue,PC-0011,100,100-RM,100-RM-01,,-15.3685,80.64,Production Order,MO-017017,Available,,-1239.31584
100955,2026-01-01,Transfer Out,AFT-0017,100,100-FG,100-FG-04,,-6.93,1705.89,Transfer Order,TO-AFT-017338,Available,,-11821.8177
100956,2026-01-01,Transfer In,AFT-0017,400,400-FG,400-FG-04,,6.93,1705.89,Transfer Order,TO-AFT-017338,Available,,11821.8177
102518,2026-01-01,Production Issue,RM-0015,200,200-RM,200-RM-02,,-56.5899,23.43,Production Order,MO-017606,Available,,-1325.901357
102519,2026-01-01,Production Issue,RM-0038,200,200-RM,200-RM-03,,-84.252,16.89,Production Order,MO-017606,Available,,-1423.01628
102520,2026-01-01,Production Issue,RM-0061,200,200-RM,200-RM-04,,-118.8634,35.71,Production Order,MO-017606,Available,,-4244.612014
102521,2026-01-01,Production Issue,RM-0084,200,200-RM,200-RM-05,,-24.2303,29.16,Production Order,MO-017606,Available,,-706.555548
105950,2026-01-01,Production Issue,RM-0046,200,200-RM,200-RM-02,,-6.7695,23.43,Production Order,MO-018195,Available,,-158.609385
105951,2026-01-01,Production Issue,RM-0069,200,200-RM,200-RM-03,,-15.7648,16.89,Production Order,MO-018195,Available,,-266.267472
105952,2026-01-01,Production Issue,RM-0092,200,200-RM,200-RM-04,,-23.4546,35.71,Production Order,MO-018195,Available,,-837.563766
105953,2026-01-01,Production Issue,RM-0115,200,200-RM,200-RM-05,,-33.7792,29.16,Production Order,MO-018195,Available,,-985.0014720000001
105954,2026-01-01,Production Issue,RM-0138,200,200-RM,200-RM-01,,-6.8805,22.61,Production Order,MO-018195,Available,,-155.56810499999997
109370,2026-01-01,Production Issue,SA-0020,300,300-RM,300-RM-02,,-12.1565,391.58,Production Order,MO-018784,Available,,-4760.24227
109371,2026-01-01,Production Issue,RM-0002,300,300-RM,300-RM-03,,-2.4725,12.8,Production Order,MO-018784,Available,,-31.648000000000003
109372,2026-01-01,Production Issue,RM-0025,300,300-RM,300-RM-04,,-5.8781,31.61,Production Order,MO-018784,Available,,-185.806741
109373,2026-01-01,Production Issue,RM-0048,300,300-RM,300-RM-05,,-8.7381,25.07,Production Order,MO-018784,Available,,-219.064167
109374,2026-01-01,Production Issue,RM-0071,300,300-RM,300-RM-01,,-12.3494,18.52,Production Order,MO-018784,Available,,-228.71088799999998
109375,2026-01-01,Production Issue,RM-0094,300,300-RM,300-RM-02,,-2.5137,11.98,Production Order,MO-018784,Available,,-30.114126000000002
112806,2026-01-01,Production Issue,RM-0058,300,300-RM,300-RM-02,,-42.9624,33.25,Production Order,MO-019373,Available,,-1428.4998
112807,2026-01-01,Production Issue,RM-0081,300,300-RM,300-RM-03,,-59.2194,26.71,Production Order,MO-019373,Available,,-1581.750174
112808,2026-01-01,Production Issue,RM-0104,300,300-RM,300-RM-04,,-82.879,20.16,Production Order,MO-019373,Available,,-1670.8406400000001
112809,2026-01-01,Production Issue,RM-0127,300,300-RM,300-RM-05,,-21.924,13.61,Production Order,MO-019373,Available,,-298.38563999999997
112810,2026-01-01,Production Issue,RM-0150,300,300-RM,300-RM-01,,-43.6234,32.43,Production Order,MO-019373,Available,,-1414.7068619999998
114681,2026-01-01,Transfer Out,AFT-0039,300,300-FG,300-FG-05,,-27.86,8553.41,Transfer Order,TO-AFT-019694,Available,,-238298.00259999998
114682,2026-01-01,Transfer In,AFT-0039,400,400-FG,400-FG-05,,27.86,8553.41,Transfer Order,TO-AFT-019694,Available,,238298.00259999998
116237,2026-01-01,Production Issue,RM-0139,300,300-RM,300-RM-02,,-8.1719,23.43,Production Order,MO-019962,Available,,-191.46761700000002
116238,2026-01-01,Production Issue,PC-0012,300,300-RM,300-RM-03,,-16.2893,83.91,Production Order,MO-019962,Available,,-1366.835163
116239,2026-01-01,Production Issue,PC-0035,300,300-RM,300-RM-04,,-22.8838,57.73,Production Order,MO-019962,Available,,-1321.081774
116240,2026-01-01,Production Issue,PC-0058,300,300-RM,300-RM-05,,-32.0529,133.0,Production Order,MO-019962,Available,,-4263.0357
116241,2026-01-01,Production Issue,PC-0081,300,300-RM,300-RM-01,,-8.3069,106.82,Production Order,MO-019962,Available,,-887.343058
116242,2026-01-01,Production Issue,RM-0004,300,300-RM,300-RM-02,,-16.5438,14.43,Production Order,MO-019962,Available,,-238.727034
119659,2026-01-01,Production Issue,RM-0004,200,200-RM,200-RM-02,,-153.7725,14.43,Production Order,MO-020551,Available,,-2218.937175
119660,2026-01-01,Production Issue,RM-0027,200,200-RM,200-RM-03,,-45.0173,33.25,Production Order,MO-020551,Available,,-1496.825225
119661,2026-01-01,Production Issue,RM-0050,200,200-RM,200-RM-04,,-80.9676,26.71,Production Order,MO-020551,Available,,-2162.644596
123095,2026-01-01,Production Issue,SA-0036,100,100-RM,100-RM-02,,-48.3936,496.42,Production Order,MO-021140,Available,,-24023.550912
123096,2026-01-01,Production Issue,RM-0018,100,100-RM,100-RM-03,,-61.1241,25.89,Production Order,MO-021140,Available,,-1582.502949
123097,2026-01-01,Production Issue,RM-0041,100,100-RM,100-RM-04,,-17.5594,19.34,Production Order,MO-021140,Available,,-339.598796
123098,2026-01-01,Production Issue,RM-0064,100,100-RM,100-RM-05,,-31.5605,12.8,Production Order,MO-021140,Available,,-403.97440000000006
126525,2026-01-01,Production Issue,PC-0032,100,100-RM,100-RM-02,,-6.0115,47.91,Production Order,MO-021729,Available,,-288.010965
126526,2026-01-01,Production Issue,PC-0055,100,100-RM,100-RM-03,,-10.7249,123.19,Production Order,MO-021729,Available,,-1321.200431
126527,2026-01-01,Production Issue,PC-0078,100,100-RM,100-RM-04,,-14.4155,97.0,Production Order,MO-021729,Available,,-1398.3035
129951,2026-01-01,Production Issue,RM-0137,100,100-RM,100-RM-02,,-14.0963,21.8,Production Order,MO-022318,Available,,-307.29934
129952,2026-01-01,Production Issue,PC-0010,100,100-RM,100-RM-03,,-46.3929,77.37,Production Order,MO-022318,Available,,-3589.418673
129953,2026-01-01,Production Issue,PC-0033,100,100-RM,100-RM-04,,-73.164,51.19,Production Order,MO-022318,Available,,-3745.26516
129954,2026-01-01,Production Issue,PC-0056,100,100-RM,100-RM-05,,-109.0024,126.46,Production Order,MO-022318,Available,,-13784.443503999999
133387,2026-01-01,Production Issue,RM-0149,200,200-RM,200-RM-02,,-30.4988,31.61,Production Order,MO-022907,Available,,-964.067068
133388,2026-01-01,Production Issue,PC-0022,200,200-RM,200-RM-03,,-3.9235,116.64,Production Order,MO-022907,Available,,-457.63704
133389,2026-01-01,Production Issue,PC-0045,200,200-RM,200-RM-04,,-12.9248,90.46,Production Order,MO-022907,Available,,-1169.1774079999998
133390,2026-01-01,Production Issue,PC-0068,200,200-RM,200-RM-05,,-20.7742,64.28,Production Order,MO-022907,Available,,-1335.3655760000001
133391,2026-01-01,Production Issue,PC-0091,200,200-RM,200-RM-01,,-30.9754,139.55,Production Order,MO-022907,Available,,-4322.61707
136812,2026-01-01,Production Issue,RM-0140,100,100-RM,100-RM-02,,-8.278,24.25,Production Order,MO-023496,Available,,-200.7415
136813,2026-01-01,Production Issue,PC-0013,100,100-RM,100-RM-03,,-11.148,87.19,Production Order,MO-023496,Available,,-971.99412
136814,2026-01-01,Production Issue,PC-0036,100,100-RM,100-RM-04,,-1.4616,61.0,Production Order,MO-023496,Available,,-89.1576
136815,2026-01-01,Production Issue,PC-0059,100,100-RM,100-RM-05,,-4.8189,136.28,Production Order,MO-023496,Available,,-656.719692
136816,2026-01-01,Production Issue,PC-0082,100,100-RM,100-RM-01,,-7.5882,110.09,Production Order,MO-023496,Available,,-835.384938
136817,2026-01-01,Production Issue,SA-0015,100,100-RM,100-RM-02,,-11.3249,513.73,Production Order,MO-023496,Available,,-5817.940877
140238,2026-01-01,Production Issue,RM-0056,200,200-RM,200-RM-02,,-15.3563,31.61,Production Order,MO-024085,Available,,-485.41264299999995
140239,2026-01-01,Production Issue,RM-0079,200,200-RM,200-RM-03,,-35.7458,25.07,Production Order,MO-024085,Available,,-896.1472060000001
140240,2026-01-01,Production Issue,RM-0102,200,200-RM,200-RM-04,,-53.202,18.52,Production Order,MO-024085,Available,,-985.30104
140241,2026-01-01,Production Issue,RM-0125,200,200-RM,200-RM-05,,-76.5878,11.98,Production Order,MO-024085,Available,,-917.5218440000001
140242,2026-01-01,Production Issue,RM-0148,200,200-RM,200-RM-01,,-15.606,30.8,Production Order,MO-024085,Available,,-480.6648
143668,2026-01-01,Production Issue,RM-0002,100,100-RM,100-RM-02,,-28.5902,12.8,Production Order,MO-024674,Available,,-365.95456
143669,2026-01-01,Production Issue,RM-0025,100,100-RM,100-RM-03,,-5.8172,31.61,Production Order,MO-024674,Available,,-183.881692
143670,2026-01-01,Production Issue,RM-0048,100,100-RM,100-RM-04,,-13.8235,25.07,Production Order,MO-024674,Available,,-346.555145
143671,2026-01-01,Production Issue,RM-0071,100,100-RM,100-RM-05,,-20.5575,18.52,Production Order,MO-024674,Available,,-380.7249
