id,name,category,country,payment_terms_days,preferred,active
VEND-0095,Northstar Packaging,Packaging,CN,60,1,1
VEND-0096,Northstar Drive Systems,Motors & Drives,JP,30,0,1
VEND-0097,Oak River Energy Services,Utilities,CA,45,0,1
VEND-0098,Oak River Industrial Supply,MRO,US,60,0,1
VEND-0099,Oak River Controls,Electronics,US,30,0,1
VEND-0100,Oak River Metals,Metals,MX,45,1,1
VEND-0101,Oak River Logistics,Freight,DE,60,0,1
VEND-0102,Oak River Surface Technologies,Outside Processing,US,30,0,1
VEND-0103,Orchard Motion Components,Bearings & Mechanical,US,45,0,1
VEND-0104,Orchard Advisory,Professional Services,CN,60,0,1
VEND-0105,Orchard Packaging,Packaging,JP,30,1,1
VEND-0106,Orchard Drive Systems,Motors & Drives,CA,45,0,1
VEND-0107,Orchard Energy Services,Utilities,US,60,0,1
VEND-0108,Orchard Industrial Supply,MRO,US,30,0,1
VEND-0109,Pinnacle Controls,Electronics,MX,45,0,1
VEND-0110,Pinnacle Metals,Metals,DE,60,1,1
VEND-0111,Pinnacle Logistics,Freight,US,30,0,1
VEND-0112,Pinnacle Surface Technologies,Outside Processing,US,45,0,1
VEND-0113,Pinnacle Motion Components,Bearings & Mechanical,CN,60,0,1
VEND-0114,Pinnacle Advisory,Professional Services,JP,30,0,1
VEND-0115,Prairie Packaging,Packaging,CA,45,1,1
VEND-0116,Prairie Drive Systems,Motors & Drives,US,60,0,1
VEND-0117,Prairie Energy Services,Utilities,US,30,0,1
VEND-0118,Prairie Industrial Supply,MRO,MX,45,0,1
VEND-0119,Prairie Controls,Electronics,DE,60,0,1
VEND-0120,Prairie Metals,Metals,US,30,1,1
VEND-0121,Redstone Logistics,Freight,US,45,0,1
VEND-0122,Redstone Surface Technologies,Outside Processing,CN,60,0,1
VEND-0123,Redstone Motion Components,Bearings & Mechanical,JP,30,0,1
VEND-0124,Redstone Advisory,Professional Services,CA,45,0,1
VEND-0125,Redstone Packaging,Packaging,US,60,1,1
VEND-0126,Redstone Drive Systems,Motors & Drives,US,30,0,1
VEND-0127,Ridgeway Energy Services,Utilities,MX,45,0,1
VEND-0128,Ridgeway Industrial Supply,MRO,DE,60,0,1
VEND-0129,Ridgeway Controls,Electronics,US,30,0,1
VEND-0130,Ridgeway Metals,Metals,US,45,1,1
VEND-0131,Ridgeway Logistics,Freight,CN,60,0,1
VEND-0132,Ridgeway Surface Technologies,Outside Processing,JP,30,0,1
VEND-0133,Riverbend Motion Components,Bearings & Mechanical,CA,45,0,1
VEND-0134,Riverbend Advisory,Professional Services,US,60,0,1
VEND-0135,Riverbend Packaging,Packaging,US,30,1,1
VEND-0136,Riverbend Drive Systems,Motors & Drives,MX,45,0,1
VEND-0137,Riverbend Energy Services,Utilities,DE,60,0,1
VEND-0138,Riverbend Industrial Supply,MRO,US,30,0,1
VEND-0139,Seaboard Controls,Electronics,US,45,0,1
VEND-0140,Seaboard Metals,Metals,CN,60,1,1
VEND-0141,Seaboard Logistics,Freight,JP,30,0,1
VEND-0142,Seaboard Surface Technologies,Outside Processing,CA,45,0,1
VEND-0143,Seaboard Motion Components,Bearings & Mechanical,US,60,0,1
VEND-0144,Seaboard Advisory,Professional Services,US,30,0,1
VEND-0145,Stonebridge Packaging,Packaging,MX,45,1,1
VEND-0146,Stonebridge Drive Systems,Motors & Drives,DE,60,0,1
VEND-0147,Stonebridge Energy Services,Utilities,US,30,0,1
VEND-0148,Stonebridge Industrial Supply,MRO,US,45,0,1
VEND-0149,Stonebridge Controls,Electronics,CN,60,0,1
VEND-0150,Stonebridge Metals,Metals,JP,30,1,1
VEND-0151,Summit Logistics,Freight,CA,45,0,1
VEND-0152,Summit Surface Technologies,Outside Processing,US,60,0,1
VEND-0153,Summit Motion Components,Bearings & Mechanical,US,30,0,1
VEND-0154,Summit Advisory,Professional Services,MX,45,0,1
VEND-0155,Summit Packaging,Packaging,DE,60,1,1
VEND-0156,Summit Drive Systems,Motors & Drives,US,30,0,1
VEND-0157,Tri-County Energy Services,Utilities,US,45,0,1
VEND-0158,Tri-County Industrial Supply,MRO,CN,60,0,1
VEND-0159,Tri-County Controls,Electronics,JP,30,0,1
VEND-0160,Tri-County Metals,Metals,CA,45,1,1
VEND-0161,Tri-County Logistics,Freight,US,60,0,1
VEND-0162,Tri-County Surface Technologies,Outside Processing,US,30,0,1
VEND-0163,Valley Motion Components,Bearings & Mechanical,MX,45,0,1
VEND-0164,Valley Advisory,Professional Services,DE,60,0,1
VEND-0165,Valley Packaging,Packaging,US,30,1,1
VEND-0166,Valley Drive Systems,Motors & Drives,US,45,0,1
VEND-0167,Valley Energy Services,Utilities,CN,60,0,1
VEND-0168,Valley Industrial Supply,MRO,JP,30,0,1
VEND-0169,Westfield Controls,Electronics,CA,45,0,1
VEND-0170,Westfield Metals,Metals,US,60,1,1
VEND-0171,Westfield Logistics,Freight,US,30,0,1
VEND-0172,Westfield Surface Technologies,Outside Processing,MX,45,0,1
VEND-0173,Westfield Motion Components,Bearings & Mechanical,DE,60,0,0
VEND-0174,Westfield Advisory,Professional Services,US,30,0,0
VEND-0175,Woodcrest Packaging,Packaging,US,45,1,0
VEND-0176,Woodcrest Drive Systems,Motors & Drives,CN,60,0,0
VEND-0177,Woodcrest Energy Services,Utilities,JP,30,0,0
VEND-0178,Woodcrest Industrial Supply,MRO,CA,45,0,0
VEND-0179,Woodcrest Controls,Electronics,US,60,0,0
VEND-0180,Woodcrest Metals,Metals,US,30,1,0
