id,receipt_number,po_id,receipt_date,site_code,status,item_id,quantity,unit_price,standard_unit_cost,quality_status
2517,RCV-0002517,2767,2026-01-08,200,Received,RM-0005,550.3567,15.97,15.25,Accepted
2662,RCV-0002662,2926,2026-01-08,200,Received,RM-0117,289.5036,29.2,30.8,Accepted
5146,RCV-0005146,5660,2026-01-08,200,Received,PC-0026,360.3781,139.33,129.73,Accepted
5436,RCV-0005436,5978,2026-01-08,100,Received,PC-0015,99.9227,96.45,93.73,Accepted
7165,RCV-0007165,7882,2026-01-08,300,Received,RM-0041,301.1988,19.9,19.34,Accepted
7310,RCV-0007310,8041,2026-01-08,200,Received,PC-0011,52.7821,75.0,80.64,Accepted
7455,RCV-0007455,8200,2026-01-08,200,Received,RM-0033,702.6288,12.6,12.8,Accepted
9937,RCV-0009937,10934,2026-01-08,300,Received,RM-0080,511.7561,24.78,25.89,Accepted
10081,RCV-0010081,11093,2026-01-08,200,Received,PC-0061,157.1638,144.39,142.82,Accepted
10225,RCV-0010225,11252,2026-01-08,300,Received,RM-0071,181.4363,19.72,18.52,Hold
12097,RCV-0012097,13315,2026-01-08,300,Received,RM-0068,836.372,15.52,16.07,Accepted
13139,RCV-0013139,14463,2026-01-08,300,Received,PC-0095,246.2421,53.6,51.19,Accepted
138,RCV-0000138,149,2026-01-09,300,Received,RM-0103,377.8817,20.25,19.34,Accepted
283,RCV-0000283,308,2026-01-09,200,Received,PC-0084,214.6393,110.57,116.64,Accepted
2013,RCV-0002013,2212,2026-01-09,100,Received,RM-0100,902.3927,16.01,16.89,Accepted
2158,RCV-0002158,2371,2026-01-09,100,Received,PC-0081,243.6058,107.03,106.82,Accepted
4786,RCV-0004786,5264,2026-01-09,200,Received,RM-0147,145.1399,30.85,29.98,Accepted
4931,RCV-0004931,5423,2026-01-09,100,Received,RM-0022,169.3226,27.12,29.16,Accepted
5075,RCV-0005075,5582,2026-01-09,300,Received,RM-0136,193.9872,20.64,20.98,Accepted
6806,RCV-0006806,7486,2026-01-09,100,Received,RM-0019,214.193,26.28,26.71,Accepted
6950,RCV-0006950,7645,2026-01-09,200,Received,RM-0133,255.3326,19.22,18.52,Accepted
7849,RCV-0007849,8634,2026-01-09,200,Received,PC-0037,144.9076,68.46,64.28,Accepted
7993,RCV-0007993,8793,2026-01-09,100,Received,RM-0053,189.6178,28.17,29.16,Accepted
9578,RCV-0009578,10538,2026-01-09,100,Received,RM-0058,532.8909,35.41,33.25,Accepted
9722,RCV-0009722,10697,2026-01-09,200,Received,PC-0033,268.3707,49.45,51.19,Accepted
11591,RCV-0011591,12760,2026-01-09,200,Received,PC-0028,265.7926,139.01,136.28,Accepted
12489,RCV-0012489,13749,2026-01-09,100,Received,PC-0080,296.5087,108.42,103.55,Accepted
12634,RCV-0012634,13908,2026-01-09,100,Received,RM-0089,219.0248,31.52,33.25,Accepted
12779,RCV-0012779,14067,2026-01-09,100,Received,PC-0070,552.9897,70.96,70.82,Accepted
1652,RCV-0001652,1816,2026-01-10,300,Received,RM-0074,53.3172,22.15,20.98,Accepted
2697,RCV-0002697,2964,2026-01-10,100,Received,RM-0002,606.3585,12.6,12.8,Accepted
2843,RCV-0002843,3123,2026-01-10,300,Received,RM-0112,55.7771,27.72,26.71,Accepted
4426,RCV-0004426,4868,2026-01-10,100,Received,RM-0120,25.1177,32.72,33.25,Accepted
4571,RCV-0004571,5027,2026-01-10,200,Received,PC-0098,346.135,63.32,61.0,Accepted
4715,RCV-0004715,5186,2026-01-10,100,Received,RM-0109,41.7238,22.77,24.25,Accepted
7344,RCV-0007344,8079,2026-01-10,300,Received,RM-0038,330.4573,16.32,16.89,Accepted
7490,RCV-0007490,8238,2026-01-10,300,Received,PC-0007,74.3448,68.9,67.55,Accepted
7635,RCV-0007635,8397,2026-01-10,200,Received,RM-0030,284.3134,38.35,35.71,Accepted
9218,RCV-0009218,10142,2026-01-10,300,Received,RM-0035,429.1196,14.72,14.43,Accepted
9362,RCV-0009362,10301,2026-01-10,100,Received,PC-0003,147.1507,58.49,54.46,Accepted
9507,RCV-0009507,10460,2026-01-10,100,Received,RM-0027,219.4294,32.42,33.25,Accepted
12131,RCV-0012131,13353,2026-01-10,200,Received,PC-0053,136.8505,116.87,116.64,Accepted
12275,RCV-0012275,13512,2026-01-10,300,Received,RM-0065,75.1748,14.37,13.61,Accepted
12418,RCV-0012418,13671,2026-01-10,100,Received,PC-0042,549.2345,77.17,80.64,Accepted
2193,RCV-0002193,2409,2026-01-11,300,Received,RM-0095,330.1353,13.29,12.8,Accepted
2337,RCV-0002337,2568,2026-01-11,200,Received,PC-0077,293.5903,88.01,93.73,Accepted
2481,RCV-0002481,2727,2026-01-11,200,Received,RM-0086,262.8433,30.58,30.8,Accepted
4066,RCV-0004066,4472,2026-01-11,100,Received,RM-0092,196.0525,33.53,35.71,Accepted
4211,RCV-0004211,4631,2026-01-11,100,Received,PC-0074,137.0968,83.32,83.91,Accepted
4355,RCV-0004355,4790,2026-01-11,300,Received,RM-0082,212.8347,28.81,27.52,Accepted
6985,RCV-0006985,7683,2026-01-11,100,Received,RM-0016,740.7855,26.04,24.25,Accepted
7130,RCV-0007130,7842,2026-01-11,100,Received,RM-0129,143.2003,14.87,15.25,Accepted
7274,RCV-0007274,8001,2026-01-11,100,Received,RM-0007,446.3601,17.38,16.89,Accepted
8858,RCV-0008858,9746,2026-01-11,300,Received,RM-0012,646.8771,20.46,20.98,Accepted
9003,RCV-0009003,9905,2026-01-11,100,Received,RM-0125,80.5641,12.33,11.98,Accepted
10044,RCV-0010044,11053,2026-01-11,100,Received,RM-0046,357.7648,22.42,23.43,Accepted
11771,RCV-0011771,12957,2026-01-11,100,Received,PC-0024,474.1117,117.89,123.19,Accepted
11915,RCV-0011915,13116,2026-01-11,100,Received,RM-0043,24.0045,21.21,20.98,Accepted
12060,RCV-0012060,13275,2026-01-11,200,Received,PC-0013,478.373,92.86,87.19,Accepted
101,RCV-0000101,109,2026-01-12,200,Received,PC-0054,484.8344,119.07,119.91,Accepted
1833,RCV-0001833,2013,2026-01-12,200,Received,RM-0071,184.069,18.39,18.52,Accepted
1977,RCV-0001977,2172,2026-01-12,300,Received,PC-0050,263.4445,111.84,106.82,Accepted
2122,RCV-0002122,2331,2026-01-12,200,Received,RM-0063,429.8685,11.36,11.98,Accepted
3707,RCV-0003707,4076,2026-01-12,200,Received,RM-0068,73.1965,16.83,16.07,Accepted
3851,RCV-0003851,4235,2026-01-12,200,Received,PC-0045,94.8412,85.76,90.46,Accepted
4749,RCV-0004749,5224,2026-01-12,200,Received,PC-0095,306.8127,49.91,51.19,Accepted
4893,RCV-0004893,5383,2026-01-12,100,Received,RM-0105,350.1442,21.59,20.98,Accepted
6625,RCV-0006625,7287,2026-01-12,200,Received,PC-0091,227.9717,143.6,139.55,Accepted
6770,RCV-0006770,7446,2026-01-12,300,Received,RM-0101,355.8511,16.47,17.71,Accepted
6913,RCV-0006913,7605,2026-01-12,200,Received,PC-0082,231.7966,108.33,110.09,Accepted
8498,RCV-0008498,9350,2026-01-12,300,Received,PC-0087,258.0633,117.61,126.46,Accepted
9396,RCV-0009396,10339,2026-01-12,200,Received,RM-0032,508.733,11.46,11.98,Accepted
9541,RCV-0009541,10498,2026-01-12,100,Received,RM-0149,232.9982,31.96,31.61,Accepted
9687,RCV-0009687,10657,2026-01-12,200,Received,RM-0023,240.2729,31.93,29.98,Accepted
11412,RCV-0011412,12561,2026-01-12,200,Received,RM-0145,172.196,30.18,28.34,Accepted
11554,RCV-0011554,12720,2026-01-12,200,Received,RM-0020,469.8342,26.58,27.52,Accepted
11699,RCV-0011699,12879,2026-01-12,100,Received,RM-0135,220.2519,20.56,20.16,Accepted
1472,RCV-0001472,1617,2026-01-13,100,Received,RM-0049,672.9061,24.54,25.89,Accepted
1615,RCV-0001615,1776,2026-01-13,300,Received,PC-0020,522.4204,110.31,110.09,Accepted
1760,RCV-0001760,1935,2026-01-13,300,Received,RM-0040,803.8461,19.56,18.52,Accepted
4391,RCV-0004391,4828,2026-01-13,200,Received,PC-0069,306.7698,62.82,67.55,Accepted
4536,RCV-0004536,4987,2026-01-13,300,Received,RM-0079,102.8785,24.67,25.07,Accepted
6266,RCV-0006266,6891,2026-01-13,300,Received,PC-0065,174.2603,53.59,54.46,Accepted
6409,RCV-0006409,7050,2026-01-13,200,Received,RM-0076,122.5279,23.47,22.61,Accepted
6554,RCV-0006554,7209,2026-01-13,100,Received,PC-0056,586.9088,118.75,126.46,Accepted
9038,RCV-0009038,9943,2026-01-13,100,Received,RM-0009,185.0056,19.72,18.52,Accepted
9182,RCV-0009182,10102,2026-01-13,300,Received,RM-0121,51.384,32.91,34.07,Accepted
9325,RCV-0009325,10261,2026-01-13,300,Received,PC-0099,279.4329,65.57,64.28,Accepted
11054,RCV-0011054,12165,2026-01-13,100,Received,RM-0118,463.1864,32.24,31.61,Accepted
11198,RCV-0011198,12324,2026-01-13,300,Received,PC-0096,336.6097,58.49,54.46,Accepted
1112,RCV-0001112,1221,2026-01-14,300,Received,RM-0026,766.5467,34.25,32.43,Accepted
3887,RCV-0003887,4273,2026-01-14,200,Received,RM-0065,139.3481,13.39,13.61,Accepted
4030,RCV-0004030,4432,2026-01-14,200,Received,PC-0041,509.6889,80.31,77.37,Accepted
4175,RCV-0004175,4591,2026-01-14,100,Received,RM-0057,406.2007,30.45,32.43,Accepted
5906,RCV-0005906,6495,2026-01-14,200,Received,PC-0038,101.8795,63.43,67.55,Accepted
6948,RCV-0006948,7643,2026-01-14,200,Received,RM-0097,566.008,14.72,14.43,Accepted
8678,RCV-0008678,9547,2026-01-14,300,Received,PC-0084,585.1024,118.97,116.64,Accepted
8967,RCV-0008967,9865,2026-01-14,300,Received,PC-0075,264.6118,85.01,87.19,Accepted
11589,RCV-0011589,12758,2026-01-14,200,Received,RM-0141,263.8155,25.12,25.07,Accepted
11734,RCV-0011734,12917,2026-01-14,200,Received,RM-0017,205.5824,26.47,25.07,Accepted
13464,RCV-0013464,14821,2026-01-14,100,Received,RM-0137,81.3583,23.02,21.8,Accepted
13609,RCV-0013609,14980,2026-01-14,200,Received,RM-0014,49.7321,21.64,22.61,Accepted
751,RCV-0000751,825,2026-01-15,100,Received,RM-0003,529.8865,13.76,13.61,Accepted
1650,RCV-0001650,1814,2026-01-15,300,Received,RM-0045,349.6021,23.47,22.61,Accepted
1796,RCV-0001796,1973,2026-01-15,200,Received,PC-0016,289.1289,91.08,97.0,Accepted
3526,RCV-0003526,3877,2026-01-15,300,Received,RM-0042,348.5618,18.93,20.16,Accepted
3671,RCV-0003671,4036,2026-01-15,100,Received,PC-0013,259.7017,86.58,87.19,Accepted
3815,RCV-0003815,4195,2026-01-15,200,Received,RM-0034,133.6038,14.25,13.61,Accepted
6300,RCV-0006300,6929,2026-01-15,300,Received,RM-0081,300.8737,27.24,26.71,Accepted
6443,RCV-0006443,7088,2026-01-15,200,Received,PC-0062,229.1128,47.94,44.64,Accepted
6589,RCV-0006589,7247,2026-01-15,100,Received,RM-0073,415.5437,19.66,20.16,Accepted
8319,RCV-0008319,9151,2026-01-15,300,Received,PC-0058,326.2061,129.68,133.0,Accepted
8462,RCV-0008462,9310,2026-01-15,300,Received,RM-0069,59.7553,17.38,16.89,Accepted
8606,RCV-0008606,9469,2026-01-15,100,Received,PC-0048,300.8991,93.26,100.28,Accepted
11088,RCV-0011088,12203,2026-01-15,200,Received,RM-0002,54.033,13.52,12.8,Accepted
11233,RCV-0011233,12362,2026-01-15,100,Received,RM-0113,379.4556,26.34,27.52,Accepted
11377,RCV-0011377,12521,2026-01-15,100,Received,PC-0093,172.4629,45.13,44.64,Accepted
13104,RCV-0013104,14425,2026-01-15,300,Received,RM-0109,451.0975,24.52,24.25,Accepted
13247,RCV-0013247,14584,2026-01-15,300,Received,PC-0089,323.9556,141.65,133.0,Accepted
1147,RCV-0001147,1259,2026-01-16,200,Received,RM-0148,271.7584,28.92,30.8,Accepted
1292,RCV-0001292,1418,2026-01-16,100,Received,RM-0023,429.5773,29.77,29.98,Accepted
1437,RCV-0001437,1577,2026-01-16,100,Received,RM-0138,326.8695,23.67,22.61,Accepted
3165,RCV-0003165,3481,2026-01-16,100,Received,RM-0020,223.6631,28.81,27.52,Accepted
3308,RCV-0003308,3640,2026-01-16,300,Received,RM-0134,394.883,18.33,19.34,Accepted
3455,RCV-0003455,3799,2026-01-16,100,Received,RM-0011,429.8981,20.2,20.16,Accepted
5941,RCV-0005941,6533,2026-01-16,200,Received,RM-0059,77.6424,33.22,34.07,Accepted
6086,RCV-0006086,6692,2026-01-16,100,Received,PC-0035,297.3253,59.4,57.73,Accepted
6230,RCV-0006230,6851,2026-01-16,300,Received,RM-0050,578.3134,24.84,26.71,Accepted
7958,RCV-0007958,8755,2026-01-16,100,Received,PC-0030,365.7906,132.82,142.82,Accepted
8103,RCV-0008103,8914,2026-01-16,100,Received,RM-0047,305.0683,23.86,24.25,Accepted
9145,RCV-0009145,10062,2026-01-16,300,Received,PC-0071,219.2335,78.91,74.09,Accepted
10729,RCV-0010729,11807,2026-01-16,300,Received,PC-0077,112.1604,94.76,93.73,Accepted
10872,RCV-0010872,11966,2026-01-16,300,Received,RM-0086,666.0621,32.8,30.8,Accepted
11017,RCV-0011017,12125,2026-01-16,100,Received,PC-0067,499.9286,58.93,61.0,Hold
12744,RCV-0012744,14029,2026-01-16,200,Received,RM-0083,453.5331,27.38,28.34,Accepted
786,RCV-0000786,863,2026-01-17,200,Received,RM-0121,132.1318,35.67,34.07,Accepted
931,RCV-0000931,1022,2026-01-17,200,Received,PC-0099,256.142,60.94,64.28,Accepted
1076,RCV-0001076,1181,2026-01-17,200,Received,RM-0110,547.8335,25.12,25.07,Accepted
2807,RCV-0002807,3085,2026-01-17,200,Received,PC-0096,96.7014,54.57,54.46,Accepted
3849,RCV-0003849,4233,2026-01-17,100,Received,PC-0009,273.7997,68.9,74.09,Accepted
3994,RCV-0003994,4392,2026-01-17,200,Received,RM-0031,334.511,10.98,11.16,Accepted
5580,RCV-0005580,6137,2026-01-17,300,Received,RM-0036,536.1225,14.18,15.25,Accepted
5723,RCV-0005723,6296,2026-01-17,300,Received,PC-0004,57.6866,56.81,57.73,Accepted
5869,RCV-0005869,6455,2026-01-17,100,Received,RM-0028,751.3556,35.36,34.07,Accepted
8496,RCV-0008496,9348,2026-01-17,300,Received,PC-0054,56.5143,127.7,119.91,Accepted
8642,RCV-0008642,9507,2026-01-17,300,Received,RM-0066,190.7082,13.94,14.43,Accepted
8786,RCV-0008786,9666,2026-01-17,100,Received,PC-0043,42.0406,85.59,83.91,Accepted
10368,RCV-0010368,11411,2026-01-17,100,Received,PC-0051,151.8314,106.35,110.09,Accepted
10513,RCV-0010513,11570,2026-01-17,300,Received,RM-0063,437.2219,12.22,11.98,Accepted
10657,RCV-0010657,11729,2026-01-17,300,Received,PC-0039,136.412,76.06,70.82,Accepted
13283,RCV-0013283,14622,2026-01-17,100,Received,RM-0106,99.4164,20.67,21.8,Accepted
13428,RCV-0013428,14781,2026-01-17,100,Received,PC-0086,118.8444,123.44,123.19,Accepted
13573,RCV-0013573,14940,2026-01-17,100,Received,RM-0095,281.2527,13.52,12.8,Accepted
426,RCV-0000426,467,2026-01-18,100,Received,RM-0093,142.199,11.18,11.16,Accepted
571,RCV-0000571,626,2026-01-18,200,Received,PC-0075,66.4683,92.07,87.19,Accepted
714,RCV-0000714,785,2026-01-18,100,Received,RM-0084,302.4596,27.91,29.16,Accepted
3344,RCV-0003344,3678,2026-01-18,100,Received,RM-0017,391.619,24.67,25.07,Accepted
3491,RCV-0003491,3837,2026-01-18,200,Received,RM-0130,203.625,16.68,16.07,Accepted
3635,RCV-0003635,3996,2026-01-18,100,Received,RM-0008,674.9584,16.63,17.71,Accepted
5221,RCV-0005221,5741,2026-01-18,100,Received,RM-0014,134.3876,23.47,22.61,Accepted
5364,RCV-0005364,5900,2026-01-18,200,Received,RM-0126,137.1021,12.02,12.8,Accepted
5508,RCV-0005508,6059,2026-01-18,300,Received,RM-0004,894.6533,14.33,14.43,Accepted
