item_id,site_code,planner_code,buyer_code,lead_time_days,safety_stock,reorder_point,min_order_qty,order_multiple,standard_material_cost,standard_labor_cost,standard_variable_overhead,standard_fixed_overhead,standard_outside_processing,standard_cost_effective_date
ACT-0027,100,PLN-100-04,,33,38.0,66.0,10.0,20.0,2620.63,62.15,23.99,36.47,34.54,2026-01-01
ACT-0028,200,PLN-200-05,,36,112.5,90.0,25.0,50.0,165.2,25.73,9.01,13.65,0.0,2026-01-01
ACT-0029,100,PLN-100-06,,39,260.0,205.0,50.0,100.0,828.53,40.11,15.01,22.79,16.82,2026-01-01
ACT-0030,200,PLN-200-07,,42,1.2,2.3,1.0,1.0,288.2,82.26,29.14,44.17,0.0,2026-01-01
ACT-0031,100,PLN-100-08,,45,7.75,12.75,2.0,5.0,2409.28,52.67,19.03,28.86,13.22,2026-01-01
ACT-0032,200,PLN-200-01,,48,19.0,28.0,5.0,10.0,178.15,28.46,10.36,15.71,0.0,2026-01-01
ACT-0033,100,PLN-100-02,,51,45.0,61.0,10.0,20.0,1266.04,22.12,8.08,12.26,13.67,2026-01-01
ACT-0034,200,PLN-200-03,,54,130.0,165.0,25.0,50.0,305.47,17.47,6.26,9.5,0.0,2026-01-01
ACT-0035,100,PLN-100-04,,57,120.0,180.0,50.0,100.0,1875.06,29.76,11.51,17.49,30.04,2026-01-01
ACT-0036,200,PLN-200-05,,60,1.55,2.05,1.0,1.0,156.41,27.0,9.46,14.33,0.0,2026-01-01
ACT-0037,100,PLN-100-06,,8,9.5,11.5,2.0,5.0,3721.42,28.51,10.66,16.19,14.57,2026-01-01
ACT-0038,200,PLN-200-07,,11,22.5,25.5,5.0,10.0,352.63,37.44,13.08,19.82,0.0,2026-01-01
ACT-0039,100,PLN-100-08,,14,52.0,56.0,10.0,20.0,643.15,52.07,19.0,28.83,16.82,2026-01-01
ACT-0040,200,PLN-200-01,,17,60.0,152.5,25.0,50.0,152.27,24.38,9.2,13.97,0.0,2026-01-01
ACT-0041,100,PLN-100-02,,20,155.0,330.0,50.0,100.0,354.23,37.08,13.88,21.07,17.27,2026-01-01
ACT-0042,200,PLN-200-03,,23,1.9,1.8,1.0,1.0,337.35,160.31,57.94,87.87,0.0,2026-01-01
ACT-0043,100,PLN-100-04,,26,11.25,10.25,2.0,5.0,362.85,54.11,20.41,31.0,31.39,2026-01-01
ACT-0044,200,PLN-200-05,,29,26.0,23.0,5.0,10.0,126.25,34.47,12.09,18.32,0.0,2026-01-01
ACT-0045,100,PLN-100-06,,32,24.0,51.0,10.0,20.0,236.48,29.52,11.04,16.77,18.17,2026-01-01
ACT-0046,200,PLN-200-07,,35,77.5,140.0,25.0,50.0,502.65,22.31,7.34,11.09,0.0,2026-01-01
ACT-0047,100,PLN-100-08,,38,190.0,305.0,50.0,100.0,708.17,22.66,8.29,12.58,14.57,2026-01-01
ACT-0048,200,PLN-200-01,,41,2.25,3.3,1.0,1.0,248.59,69.26,26.03,39.53,0.0,2026-01-01
ACT-0049,100,PLN-100-02,,44,13.0,9.0,2.0,5.0,744.51,36.43,13.63,20.7,15.02,2026-01-01
ACT-0050,200,PLN-200-03,,47,12.0,20.5,5.0,10.0,1007.09,31.25,11.25,17.06,0.0,2026-01-01
ACT-0051,100,PLN-100-04,,50,31.0,46.0,10.0,20.0,4423.77,47.53,18.36,27.9,32.74,2026-01-01
ACT-0052,200,PLN-200-05,,53,95.0,127.5,25.0,50.0,609.07,19.95,6.97,10.56,0.0,2026-01-01
ACT-0053,100,PLN-100-06,,56,225.0,280.0,50.0,100.0,377.2,33.25,12.44,18.89,15.92,2026-01-01
ACT-0054,200,PLN-200-07,,59,2.6,3.05,1.0,1.0,3591.61,124.21,43.25,65.51,0.0,2026-01-01
ACT-0055,100,PLN-100-08,,7,6.0,16.5,2.0,5.0,1971.43,75.65,27.65,41.95,18.17,2026-01-01
ACT-0056,200,PLN-200-01,,10,15.5,18.0,5.0,10.0,544.03,38.26,14.41,21.88,0.0,2026-01-01
ACT-0057,100,PLN-100-02,,13,38.0,41.0,10.0,20.0,2527.96,37.84,14.72,22.38,18.62,2026-01-01
ACT-0058,200,PLN-200-03,,16,112.5,115.0,25.0,50.0,297.93,31.95,12.19,18.53,0.0,2026-01-01
ACT-0059,100,PLN-100-04,,19,260.0,255.0,50.0,100.0,772.92,30.12,11.71,17.8,28.24,2026-01-01
ACT-0060,200,PLN-200-05,,22,1.2,2.8,1.0,1.0,130.52,46.45,16.32,24.72,0.0,2026-01-01
AFT-0001,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,1538.98,76.89,29.67,45.1,34.54,2026-01-01
AFT-0001,400,PLN-400-02,BUY-02,10,7.75,10.25,2.0,5.0,1538.98,76.89,29.67,45.1,34.54,2026-01-01
AFT-0002,100,PLN-100-03,BUY-03,13,19.0,23.0,5.0,10.0,1578.62,30.07,10.54,15.97,0.0,2026-01-01
AFT-0002,400,PLN-400-03,BUY-03,13,19.0,23.0,5.0,10.0,1578.62,30.07,10.54,15.97,0.0,2026-01-01
AFT-0003,300,PLN-300-04,BUY-04,16,45.0,51.0,10.0,20.0,4410.91,44.43,16.63,25.25,16.82,2026-01-01
AFT-0003,400,PLN-400-04,BUY-04,16,45.0,51.0,10.0,20.0,4410.91,44.43,16.63,25.25,16.82,2026-01-01
AFT-0004,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,2059.91,43.94,15.82,23.99,0.0,2026-01-01
AFT-0004,400,PLN-400-05,BUY-05,19,130.0,140.0,25.0,50.0,2059.91,43.94,15.82,23.99,0.0,2026-01-01
AFT-0005,100,PLN-100-06,BUY-06,22,120.0,305.0,50.0,100.0,2245.22,40.11,14.46,21.92,13.22,2026-01-01
AFT-0005,400,PLN-400-06,BUY-06,22,120.0,305.0,50.0,100.0,2245.22,40.11,14.46,21.92,13.22,2026-01-01
AFT-0006,300,PLN-300-07,BUY-07,25,1.55,3.3,1.0,1.0,5643.55,57.73,21.33,32.38,0.0,2026-01-01
AFT-0006,400,PLN-400-07,BUY-07,25,1.55,3.3,1.0,1.0,5643.55,57.73,21.33,32.38,0.0,2026-01-01
AFT-0007,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,224.58,29.97,11.02,16.73,13.67,2026-01-01
AFT-0007,400,PLN-400-08,BUY-08,28,9.5,9.0,2.0,5.0,224.58,29.97,11.02,16.73,13.67,2026-01-01
AFT-0008,100,PLN-100-01,BUY-09,31,22.5,20.5,5.0,10.0,197.08,23.75,8.53,12.94,0.0,2026-01-01
AFT-0008,400,PLN-400-01,BUY-09,31,22.5,20.5,5.0,10.0,197.08,23.75,8.53,12.94,0.0,2026-01-01
AFT-0009,300,PLN-300-02,BUY-10,34,52.0,46.0,10.0,20.0,524.7,34.45,13.32,20.25,30.04,2026-01-01
AFT-0009,400,PLN-400-02,BUY-10,34,52.0,46.0,10.0,20.0,524.7,34.45,13.32,20.25,30.04,2026-01-01
AFT-0010,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,197.6,12.93,4.5,6.81,0.0,2026-01-01
AFT-0010,400,PLN-400-03,BUY-11,37,60.0,127.5,25.0,50.0,197.6,12.93,4.5,6.81,0.0,2026-01-01
AFT-0011,100,PLN-100-04,BUY-12,40,155.0,280.0,50.0,100.0,402.28,22.11,8.26,12.54,14.57,2026-01-01
AFT-0011,400,PLN-400-04,BUY-12,40,155.0,280.0,50.0,100.0,402.28,22.11,8.26,12.54,14.57,2026-01-01
AFT-0012,300,PLN-300-05,BUY-01,43,1.9,3.05,1.0,1.0,871.18,71.04,24.76,37.51,0.0,2026-01-01
AFT-0012,400,PLN-400-05,BUY-01,43,1.9,3.05,1.0,1.0,871.18,71.04,24.76,37.51,0.0,2026-01-01
AFT-0013,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,2812.74,61.02,22.26,33.77,16.82,2026-01-01
AFT-0013,400,PLN-400-06,BUY-02,46,11.25,16.5,2.0,5.0,2812.74,61.02,22.26,33.77,16.82,2026-01-01
AFT-0014,100,PLN-100-07,BUY-03,49,26.0,18.0,5.0,10.0,882.24,27.57,10.4,15.79,0.0,2026-01-01
AFT-0014,400,PLN-400-07,BUY-03,49,26.0,18.0,5.0,10.0,882.24,27.57,10.4,15.79,0.0,2026-01-01
AFT-0015,300,PLN-300-08,BUY-04,52,24.0,41.0,10.0,20.0,1029.87,39.67,14.85,22.55,17.27,2026-01-01
AFT-0015,400,PLN-400-08,BUY-04,52,24.0,41.0,10.0,20.0,1029.87,39.67,14.85,22.55,17.27,2026-01-01
AFT-0016,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,1591.74,52.35,18.88,28.64,0.0,2026-01-01
AFT-0016,400,PLN-400-01,BUY-05,55,77.5,115.0,25.0,50.0,1591.74,52.35,18.88,28.64,0.0,2026-01-01
AFT-0017,100,PLN-100-02,BUY-06,58,190.0,255.0,50.0,100.0,1579.34,48.86,18.38,27.92,31.39,2026-01-01
AFT-0017,400,PLN-400-02,BUY-06,58,190.0,255.0,50.0,100.0,1579.34,48.86,18.38,27.92,31.39,2026-01-01
AFT-0018,300,PLN-300-03,BUY-07,61,2.25,2.8,1.0,1.0,494.25,47.48,16.68,25.27,0.0,2026-01-01
AFT-0018,400,PLN-400-03,BUY-07,61,2.25,2.8,1.0,1.0,494.25,47.48,16.68,25.27,0.0,2026-01-01
AFT-0019,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,685.66,33.91,12.69,19.27,18.17,2026-01-01
AFT-0019,400,PLN-400-04,BUY-08,9,13.0,15.25,2.0,5.0,685.66,33.91,12.69,19.27,18.17,2026-01-01
AFT-0020,100,PLN-100-05,BUY-09,12,12.0,33.0,5.0,10.0,735.7,26.22,8.7,13.16,0.0,2026-01-01
AFT-0020,400,PLN-400-05,BUY-09,12,12.0,33.0,5.0,10.0,735.7,26.22,8.7,13.16,0.0,2026-01-01
AFT-0021,300,PLN-300-06,BUY-10,15,31.0,36.0,10.0,20.0,331.15,25.77,9.43,14.3,14.57,2026-01-01
AFT-0021,400,PLN-400-06,BUY-10,15,31.0,36.0,10.0,20.0,331.15,25.77,9.43,14.3,14.57,2026-01-01
AFT-0022,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,204.07,10.88,4.14,6.28,0.0,2026-01-01
AFT-0022,400,PLN-400-07,BUY-11,18,95.0,102.5,25.0,50.0,204.07,10.88,4.14,6.28,0.0,2026-01-01
AFT-0023,100,PLN-100-08,BUY-12,21,225.0,230.0,50.0,100.0,221.13,19.08,7.13,10.82,15.02,2026-01-01
AFT-0023,400,PLN-400-08,BUY-12,21,225.0,230.0,50.0,100.0,221.13,19.08,7.13,10.82,15.02,2026-01-01
AFT-0024,300,PLN-300-01,BUY-01,24,2.6,2.55,1.0,1.0,320.05,138.51,50.05,75.91,0.0,2026-01-01
AFT-0024,400,PLN-400-01,BUY-01,24,2.6,2.55,1.0,1.0,320.05,138.51,50.05,75.91,0.0,2026-01-01
AFT-0025,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,341.24,51.63,19.94,30.31,32.74,2026-01-01
AFT-0025,400,PLN-400-02,BUY-02,27,6.0,14.0,2.0,5.0,341.24,51.63,19.94,30.31,32.74,2026-01-01
AFT-0026,100,PLN-100-03,BUY-03,30,15.5,30.5,5.0,10.0,153.83,21.67,7.58,11.48,0.0,2026-01-01
AFT-0026,400,PLN-400-03,BUY-03,30,15.5,30.5,5.0,10.0,153.83,21.67,7.58,11.48,0.0,2026-01-01
AFT-0027,300,PLN-300-04,BUY-04,33,38.0,66.0,10.0,20.0,244.31,34.92,13.07,19.84,15.92,2026-01-01
AFT-0027,400,PLN-400-04,BUY-04,33,38.0,66.0,10.0,20.0,244.31,34.92,13.07,19.84,15.92,2026-01-01
AFT-0028,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,263.03,46.19,16.12,24.42,0.0,2026-01-01
AFT-0028,400,PLN-400-05,BUY-05,36,112.5,90.0,25.0,50.0,263.03,46.19,16.12,24.42,0.0,2026-01-01
AFT-0029,100,PLN-100-06,BUY-06,39,260.0,205.0,50.0,100.0,317.38,53.49,19.58,29.71,18.17,2026-01-01
AFT-0029,400,PLN-400-06,BUY-06,39,260.0,205.0,50.0,100.0,317.38,53.49,19.58,29.71,18.17,2026-01-01
AFT-0030,300,PLN-300-07,BUY-07,42,1.2,2.3,1.0,1.0,165.2,90.86,34.13,51.83,0.0,2026-01-01
AFT-0030,400,PLN-400-07,BUY-07,42,1.2,2.3,1.0,1.0,165.2,90.86,34.13,51.83,0.0,2026-01-01
AFT-0031,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,183.43,54.9,21.12,32.1,18.62,2026-01-01
AFT-0031,400,PLN-400-08,BUY-08,45,7.75,12.75,2.0,5.0,183.43,54.9,21.12,32.1,18.62,2026-01-01
AFT-0032,100,PLN-100-01,BUY-09,48,19.0,28.0,5.0,10.0,598.96,33.76,12.85,19.52,0.0,2026-01-01
AFT-0032,400,PLN-400-01,BUY-09,48,19.0,28.0,5.0,10.0,598.96,33.76,12.85,19.52,0.0,2026-01-01
AFT-0033,300,PLN-300-02,BUY-10,51,45.0,61.0,10.0,20.0,906.13,31.98,12.43,18.89,28.24,2026-01-01
AFT-0033,400,PLN-400-02,BUY-10,51,45.0,61.0,10.0,20.0,906.13,31.98,12.43,18.89,28.24,2026-01-01
AFT-0034,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,487.82,7.15,2.46,3.72,0.0,2026-01-01
AFT-0034,400,PLN-400-03,BUY-11,54,130.0,165.0,25.0,50.0,487.82,7.15,2.46,3.72,0.0,2026-01-01
AFT-0035,100,PLN-100-04,BUY-12,57,120.0,180.0,50.0,100.0,2249.26,15.25,5.69,8.64,13.67,2026-01-01
AFT-0035,400,PLN-400-04,BUY-12,57,120.0,180.0,50.0,100.0,2249.26,15.25,5.69,8.64,13.67,2026-01-01
AFT-0036,300,PLN-300-05,BUY-01,60,1.55,2.05,1.0,1.0,757.2,103.11,35.92,54.4,0.0,2026-01-01
AFT-0036,400,PLN-400-05,BUY-01,60,1.55,2.05,1.0,1.0,757.2,103.11,35.92,54.4,0.0,2026-01-01
AFT-0037,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,2945.19,60.6,22.11,33.54,15.92,2026-01-01
AFT-0037,400,PLN-400-06,BUY-02,8,9.5,11.5,2.0,5.0,2945.19,60.6,22.11,33.54,15.92,2026-01-01
AFT-0038,100,PLN-100-07,BUY-03,11,22.5,25.5,5.0,10.0,1311.28,24.76,9.34,14.19,0.0,2026-01-01
AFT-0038,400,PLN-400-07,BUY-03,11,22.5,25.5,5.0,10.0,1311.28,24.76,9.34,14.19,0.0,2026-01-01
AFT-0039,300,PLN-300-08,BUY-04,14,52.0,56.0,10.0,20.0,8478.44,30.17,11.29,17.14,16.37,2026-01-01
AFT-0039,400,PLN-400-08,BUY-04,14,52.0,56.0,10.0,20.0,8478.44,30.17,11.29,17.14,16.37,2026-01-01
AFT-0040,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,486.37,42.52,15.32,23.24,0.0,2026-01-01
AFT-0040,400,PLN-400-01,BUY-05,17,60.0,152.5,25.0,50.0,486.37,42.52,15.32,23.24,0.0,2026-01-01
AFT-0041,100,PLN-100-02,BUY-06,20,155.0,330.0,50.0,100.0,1004.7,62.29,24.05,36.55,35.44,2026-01-01
AFT-0041,400,PLN-400-02,BUY-06,20,155.0,330.0,50.0,100.0,1004.7,62.29,24.05,36.55,35.44,2026-01-01
AFT-0042,300,PLN-300-03,BUY-07,23,1.9,1.8,1.0,1.0,173.11,66.93,23.54,35.66,0.0,2026-01-01
AFT-0042,400,PLN-400-03,BUY-07,23,1.9,1.8,1.0,1.0,173.11,66.93,23.54,35.66,0.0,2026-01-01
AFT-0043,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,573.64,57.03,21.36,32.43,17.27,2026-01-01
AFT-0043,400,PLN-400-04,BUY-08,26,11.25,10.25,2.0,5.0,573.64,57.03,21.36,32.43,17.27,2026-01-01
AFT-0044,100,PLN-100-05,BUY-09,29,26.0,23.0,5.0,10.0,919.53,44.33,15.24,23.07,0.0,2026-01-01
AFT-0044,400,PLN-400-05,BUY-09,29,26.0,23.0,5.0,10.0,919.53,44.33,15.24,23.07,0.0,2026-01-01
AFT-0045,300,PLN-300-06,BUY-10,32,24.0,51.0,10.0,20.0,1185.93,39.36,13.86,21.0,13.67,2026-01-01
AFT-0045,400,PLN-400-06,BUY-10,32,24.0,51.0,10.0,20.0,1185.93,39.36,13.86,21.0,13.67,2026-01-01
AFT-0046,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,634.68,15.57,5.52,8.37,0.0,2026-01-01
AFT-0046,400,PLN-400-07,BUY-11,35,77.5,140.0,25.0,50.0,634.68,15.57,5.52,8.37,0.0,2026-01-01
AFT-0047,100,PLN-100-08,BUY-12,38,190.0,305.0,50.0,100.0,1840.21,11.42,4.25,6.46,14.12,2026-01-01
AFT-0047,400,PLN-400-08,BUY-12,38,190.0,305.0,50.0,100.0,1840.21,11.42,4.25,6.46,14.12,2026-01-01
AFT-0048,300,PLN-300-01,BUY-01,41,2.25,3.3,1.0,1.0,2453.0,73.98,26.71,40.5,0.0,2026-01-01
AFT-0048,400,PLN-400-01,BUY-01,41,2.25,3.3,1.0,1.0,2453.0,73.98,26.71,40.5,0.0,2026-01-01
AFT-0049,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,588.01,51.18,19.77,30.05,30.94,2026-01-01
AFT-0049,400,PLN-400-02,BUY-02,44,13.0,9.0,2.0,5.0,588.01,51.18,19.77,30.05,30.94,2026-01-01
AFT-0050,100,PLN-100-03,BUY-03,47,12.0,20.5,5.0,10.0,2435.6,19.01,6.64,10.06,0.0,2026-01-01
AFT-0050,400,PLN-400-03,BUY-03,47,12.0,20.5,5.0,10.0,2435.6,19.01,6.64,10.06,0.0,2026-01-01
AFT-0051,300,PLN-300-04,BUY-04,50,31.0,46.0,10.0,20.0,1271.6,29.45,11.02,16.73,15.02,2026-01-01
AFT-0051,400,PLN-400-04,BUY-04,50,31.0,46.0,10.0,20.0,1271.6,29.45,11.02,16.73,15.02,2026-01-01
AFT-0052,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,243.19,38.56,13.47,20.4,0.0,2026-01-01
AFT-0052,400,PLN-400-05,BUY-05,53,95.0,127.5,25.0,50.0,243.19,38.56,13.47,20.4,0.0,2026-01-01
AFT-0053,100,PLN-100-06,BUY-06,56,225.0,280.0,50.0,100.0,364.99,53.55,19.54,29.64,17.27,2026-01-01
AFT-0053,400,PLN-400-06,BUY-06,56,225.0,280.0,50.0,100.0,364.99,53.55,19.54,29.64,17.27,2026-01-01
AFT-0054,300,PLN-300-07,BUY-07,59,2.6,3.05,1.0,1.0,179.58,50.9,19.15,29.08,0.0,2026-01-01
AFT-0054,400,PLN-400-07,BUY-07,59,2.6,3.05,1.0,1.0,179.58,50.9,19.15,29.08,0.0,2026-01-01
AFT-0055,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,168.82,48.82,18.28,27.75,17.72,2026-01-01
AFT-0055,400,PLN-400-08,BUY-08,7,6.0,16.5,2.0,5.0,168.82,48.82,18.28,27.75,17.72,2026-01-01
AFT-0056,100,PLN-100-01,BUY-09,10,15.5,18.0,5.0,10.0,291.32,49.9,17.84,27.05,0.0,2026-01-01
AFT-0056,400,PLN-400-01,BUY-09,10,15.5,18.0,5.0,10.0,291.32,49.9,17.84,27.05,0.0,2026-01-01
AFT-0057,300,PLN-300-02,BUY-10,13,38.0,41.0,10.0,20.0,494.11,46.96,17.96,27.29,32.29,2026-01-01
AFT-0057,400,PLN-400-02,BUY-10,13,38.0,41.0,10.0,20.0,494.11,46.96,17.96,27.29,32.29,2026-01-01
AFT-0058,100,PLN-100-01,,18,10.0,20.0,1.0,5.0,201.22,25.01,8.89,13.47,0.0,2026-01-01
AFT-0058,400,PLN-400-03,BUY-11,16,112.5,115.0,25.0,50.0,201.22,25.01,8.89,13.47,0.0,2026-01-01
AFT-0059,100,PLN-100-04,BUY-12,19,260.0,255.0,50.0,100.0,208.37,21.46,8.58,13.06,18.62,2026-01-01
AFT-0059,400,PLN-400-04,BUY-12,19,260.0,255.0,50.0,100.0,208.37,21.46,8.58,13.06,18.62,2026-01-01
AFT-0060,300,PLN-300-05,BUY-01,22,1.2,2.8,1.0,1.0,305.47,40.65,14.2,21.51,0.0,2026-01-01
AFT-0060,400,PLN-400-05,BUY-01,22,1.2,2.8,1.0,1.0,305.47,40.65,14.2,21.51,0.0,2026-01-01
CTL-0001,300,PLN-300-02,,10,7.75,10.25,2.0,5.0,2107.8,28.23,10.56,16.03,13.67,2026-01-01
CTL-0002,300,PLN-300-03,,13,19.0,23.0,5.0,10.0,1037.4,33.06,11.56,17.51,0.0,2026-01-01
CTL-0003,300,PLN-300-04,,16,45.0,51.0,10.0,20.0,1669.64,44.08,16.09,24.41,15.92,2026-01-01
CTL-0004,300,PLN-300-05,,19,130.0,140.0,25.0,50.0,1352.58,18.28,6.91,10.5,0.0,2026-01-01
CTL-0005,300,PLN-300-06,,22,120.0,305.0,50.0,100.0,991.46,29.42,11.0,16.71,16.37,2026-01-01
CTL-0006,300,PLN-300-07,,25,1.55,3.3,1.0,1.0,1425.56,95.78,34.6,52.47,0.0,2026-01-01
CTL-0007,300,PLN-300-08,,28,9.5,9.0,2.0,5.0,2015.94,78.88,30.44,46.27,35.44,2026-01-01
CTL-0008,300,PLN-300-01,,31,22.5,20.5,5.0,10.0,650.94,31.81,11.15,16.9,0.0,2026-01-01
CTL-0009,300,PLN-300-02,,34,52.0,46.0,10.0,20.0,1356.14,47.45,17.77,26.98,17.27,2026-01-01
CTL-0010,300,PLN-300-03,,37,60.0,127.5,25.0,50.0,2772.28,37.17,12.75,19.3,0.0,2026-01-01
CTL-0011,300,PLN-300-04,,40,155.0,280.0,50.0,100.0,2771.12,33.05,11.56,17.52,13.67,2026-01-01
CTL-0012,300,PLN-300-05,,43,1.9,3.05,1.0,1.0,4405.54,40.09,14.72,22.33,0.0,2026-01-01
CTL-0013,300,PLN-300-06,,46,11.25,16.5,2.0,5.0,216.67,20.02,7.48,11.35,14.12,2026-01-01
CTL-0014,300,PLN-300-07,,49,26.0,18.0,5.0,10.0,325.43,26.72,9.61,14.57,0.0,2026-01-01
CTL-0015,300,PLN-300-08,,52,24.0,41.0,10.0,20.0,397.19,39.11,15.11,22.97,30.94,2026-01-01
CTL-0016,300,PLN-300-01,,55,77.5,115.0,25.0,50.0,244.3,15.32,5.34,8.09,0.0,2026-01-01
CTL-0017,300,PLN-300-02,,58,190.0,255.0,50.0,100.0,179.99,26.4,9.87,14.99,15.02,2026-01-01
CTL-0018,300,PLN-300-03,,61,2.25,2.8,1.0,1.0,569.15,61.75,21.54,32.62,0.0,2026-01-01
CTL-0019,300,PLN-300-04,,9,13.0,15.25,2.0,5.0,870.92,62.91,22.95,34.81,17.27,2026-01-01
CTL-0020,300,PLN-300-05,,12,12.0,33.0,5.0,10.0,629.77,29.41,11.09,16.84,0.0,2026-01-01
CTL-0021,300,PLN-300-06,,15,31.0,36.0,10.0,20.0,748.58,42.7,15.98,24.27,17.72,2026-01-01
CTL-0022,300,PLN-300-07,,18,95.0,102.5,25.0,50.0,1985.2,44.74,15.97,24.21,0.0,2026-01-01
CTL-0023,300,PLN-300-08,,21,225.0,230.0,50.0,100.0,1126.5,42.97,16.42,24.95,32.29,2026-01-01
CTL-0024,300,PLN-300-01,,24,2.6,2.55,1.0,1.0,615.24,88.4,31.23,47.33,0.0,2026-01-01
CTL-0025,300,PLN-300-02,,27,6.0,14.0,2.0,5.0,1172.18,24.88,9.86,15.0,18.62,2026-01-01
CTL-0026,300,PLN-300-03,,30,15.5,30.5,5.0,10.0,1008.2,19.21,6.74,10.22,0.0,2026-01-01
CTL-0027,300,PLN-300-04,,33,38.0,66.0,10.0,20.0,979.18,30.19,11.04,16.74,15.02,2026-01-01
CTL-0028,300,PLN-300-05,,36,112.5,90.0,25.0,50.0,2333.15,13.4,5.08,7.72,0.0,2026-01-01
CTL-0029,300,PLN-300-06,,39,260.0,205.0,50.0,100.0,686.85,22.57,8.43,12.81,15.47,2026-01-01
