id,invoice_number,vendor_id,po_id,invoice_date,due_date,status,amount,open_amount,match_status,journal_id
1190,VI-0001190,VEND-0046,1305,2026-05-27,2026-07-11,Open,25560.76,25560.76,Matched,19719
1584,VI-0001584,VEND-0052,1741,2026-05-27,2026-07-11,Open,10905.46,10905.46,Matched,20495
1982,VI-0001982,VEND-0031,2177,2026-05-27,2026-07-11,Open,9533.03,9533.03,Matched,21277
3135,VI-0003135,VEND-0087,3447,2026-06-11,2026-07-11,Open,4068.18,4068.18,Matched,23545
5982,VI-0005982,VEND-0139,6579,2026-05-27,2026-07-11,Open,1018.26,1018.26,Matched,29149
6775,VI-0006775,VEND-0007,7451,2026-05-27,2026-07-11,Open,43180.82,43180.82,Matched,30710
8719,VI-0008719,VEND-0117,9593,2026-06-11,2026-07-11,Open,14370.86,14370.86,Matched,34534
8971,VI-0008971,VEND-0151,9870,2026-05-27,2026-07-11,Open,18181.31,18181.31,Matched,35031
13110,VI-0013110,VEND-0165,14431,2026-06-11,2026-07-11,Open,35243.16,35243.16,Matched,43176
13506,VI-0013506,VEND-0099,14867,2026-06-11,2026-07-11,Open,6526.81,6526.81,Matched,43956
827,VI-0000827,VEND-0058,909,2026-05-28,2026-07-12,Open,4950.26,4950.26,Matched,19005
3568,VI-0003568,VEND-0111,3923,2026-06-12,2026-07-12,Open,13570.85,13570.85,Matched,24399
6018,VI-0006018,VEND-0013,6619,2026-05-28,2026-07-12,Open,45963.63,45963.63,Matched,29220
11739,VI-0011739,VEND-0091,12922,2026-05-28,2026-07-12,Open,9161.7,9161.7,Matched,40481
13146,VI-0013146,VEND-0108,14471,2026-06-12,2026-07-12,Open,3370.78,3370.78,Matched,43247
468,VI-0000468,VEND-0067,513,2026-05-29,2026-07-13,Open,4622.57,4622.57,Matched,18298
863,VI-0000863,VEND-0007,949,2026-05-29,2026-07-13,Open,6827.68,6827.68,Matched,19076
5010,VI-0005010,VEND-0171,5510,2026-06-13,2026-07-13,Open,16835.16,16835.16,Matched,27236
6055,VI-0006055,VEND-0136,6659,2026-05-29,2026-07-13,Open,4609.87,4609.87,Matched,29293
7857,VI-0007857,VEND-0100,8642,2026-05-29,2026-07-13,Open,4092.27,4092.27,Matched,32836
8791,VI-0008791,VEND-0133,9671,2026-05-29,2026-07-13,Open,3348.83,3348.83,Matched,34675
10447,VI-0010447,VEND-0145,11497,2026-05-29,2026-07-13,Open,1588.28,1588.28,Matched,37938
10986,VI-0010986,VEND-0031,12090,2026-05-29,2026-07-13,Open,780.11,780.11,Matched,39000
13181,VI-0013181,VEND-0040,14509,2026-05-29,2026-07-13,Open,7227.65,7227.65,Matched,43316
1045,VI-0001045,VEND-0148,1146,2026-05-30,2026-07-14,Open,13936.41,13936.41,Matched,19435
1442,VI-0001442,VEND-0115,1582,2026-05-30,2026-07-14,Open,19021.45,19021.45,Matched,20216
3640,VI-0003640,VEND-0154,4001,2026-05-30,2026-07-14,Open,6259.98,6259.98,Matched,24541
5585,VI-0005585,VEND-0084,6143,2026-06-14,2026-07-14,Open,2285.47,2285.47,Matched,28369
7784,VI-0007784,VEND-0027,8562,2026-06-14,2026-07-14,Open,7985.74,7985.74,Matched,32692
8036,VI-0008036,VEND-0061,8839,2026-05-30,2026-07-14,Open,6999.47,6999.47,Matched,33188
10374,VI-0010374,VEND-0033,11417,2026-06-14,2026-07-14,Open,6183.03,6183.03,Matched,37794
12821,VI-0012821,VEND-0115,14113,2026-05-30,2026-07-14,Open,17394.03,17394.03,Matched,42607
684,VI-0000684,VEND-0031,750,2026-05-31,2026-07-15,Open,5648.01,5648.01,Matched,18724
7424,VI-0007424,VEND-0102,8166,2026-06-15,2026-07-15,Open,27077.83,27077.83,Matched,31984
10661,VI-0010661,VEND-0094,11734,2026-05-31,2026-07-15,Open,687.72,687.72,Matched,38359
12460,VI-0012460,VEND-0124,13717,2026-05-31,2026-07-15,Open,24260.97,24260.97,Matched,41897
72,VI-0000072,VEND-0120,77,2026-06-16,2026-07-16,Open,26900.05,26900.05,Matched,17519
2919,VI-0002919,VEND-0109,3209,2026-06-01,2026-07-16,Open,400.57,400.57,Matched,23119
9657,VI-0009657,VEND-0066,10625,2026-06-16,2026-07-16,Open,19636.24,19636.24,Matched,36381
10842,VI-0010842,VEND-0055,11931,2026-06-01,2026-07-16,Open,12785.99,12785.99,Quality Hold,38714
12388,VI-0012388,VEND-0006,13637,2026-06-16,2026-07-16,Open,923.26,923.26,Matched,41755
360,VI-0000360,VEND-0073,394,2026-06-02,2026-07-17,Open,7704.56,7704.56,Matched,18086
648,VI-0000648,VEND-0051,710,2026-06-17,2026-07-17,Open,13568.6,13568.6,Matched,18653
899,VI-0000899,VEND-0055,987,2026-06-02,2026-07-17,Open,54866.93,54866.93,Matched,19146
4109,VI-0004109,VEND-0108,4519,2026-06-17,2026-07-17,Open,3684.94,3684.94,Matched,25465
4506,VI-0004506,VEND-0156,4955,2026-06-17,2026-07-17,Open,14744.82,14744.82,Matched,26247
6704,VI-0006704,VEND-0081,7374,2026-06-17,2026-07-17,Open,60214.18,60214.18,Matched,30570
6956,VI-0006956,VEND-0091,7651,2026-06-02,2026-07-17,Open,46281.48,46281.48,Matched,31066
9837,VI-0009837,VEND-0156,10822,2026-06-17,2026-07-17,Open,16018.69,16018.69,Matched,36735
10231,VI-0010231,VEND-0159,11258,2026-06-17,2026-07-17,Open,45162.58,45162.58,Matched,37512
10482,VI-0010482,VEND-0016,11535,2026-06-02,2026-07-17,Open,14242.21,14242.21,Matched,38006
12424,VI-0012424,VEND-0135,13677,2026-06-17,2026-07-17,Open,5644.21,5644.21,Quality Hold,41826
12677,VI-0012677,VEND-0169,13954,2026-06-02,2026-07-17,Open,8732.18,8732.18,Matched,42324
7279,VI-0007279,VEND-0156,8007,2026-06-18,2026-07-18,Open,3928.61,3928.61,Matched,31699
10122,VI-0010122,VEND-0178,11139,2026-06-03,2026-07-18,Open,1709.64,1709.64,Matched,37298
11668,VI-0011668,VEND-0126,12845,2026-06-18,2026-07-18,Open,8543.58,8543.58,Matched,40341
12316,VI-0012316,VEND-0037,13558,2026-06-03,2026-07-18,Open,5803.57,5803.57,Matched,41614
12712,VI-0012712,VEND-0016,13994,2026-06-03,2026-07-18,Open,4627.49,4627.49,Matched,42393
179,VI-0000179,VEND-0016,195,2026-06-04,2026-07-19,Open,9294.84,9294.84,Matched,17730
2128,VI-0002128,VEND-0003,2337,2026-06-19,2026-07-19,Open,39503.97,39503.97,Matched,21563
4577,VI-0004577,VEND-0052,5033,2026-06-04,2026-07-19,Open,5895.43,5895.43,Matched,26387
6523,VI-0006523,VEND-0036,7175,2026-06-19,2026-07-19,Open,6939.44,6939.44,Matched,30215
6919,VI-0006919,VEND-0024,7611,2026-06-19,2026-07-19,Open,3537.81,3537.81,Matched,30993
11310,VI-0011310,VEND-0111,12449,2026-06-19,2026-07-19,Open,15059.28,15059.28,Matched,39636
11560,VI-0011560,VEND-0004,12726,2026-06-04,2026-07-19,Open,1950.36,1950.36,Matched,40127
1370,VI-0001370,VEND-0126,1505,2026-06-20,2026-07-20,Open,67628.64,67628.64,Matched,20074
1621,VI-0001621,VEND-0094,1782,2026-06-05,2026-07-20,Open,751.77,751.77,Matched,20566
2667,VI-0002667,VEND-0035,2931,2026-05-21,2026-07-20,Open,43082.04,43082.04,Matched,22623
4468,VI-0004468,VEND-0032,4914,2026-05-21,2026-07-20,Open,942.96,942.96,Matched,26174
4613,VI-0004613,VEND-0079,5073,2026-06-05,2026-07-20,Open,11616.22,11616.22,Matched,26458
4864,VI-0004864,VEND-0071,5350,2026-05-21,2026-07-20,Open,5439.04,5439.04,Matched,26952
5798,VI-0005798,VEND-0146,6379,2026-05-21,2026-07-20,Open,3003.92,3003.92,Matched,28788
6165,VI-0006165,VEND-0171,6779,2026-06-20,2026-07-20,Open,14380.63,14380.63,Matched,29509
7998,VI-0007998,VEND-0110,8798,2026-05-21,2026-07-20,Open,2923.3,2923.3,Matched,33115
9153,VI-0009153,VEND-0051,10070,2026-06-20,2026-07-20,Open,6889.28,6889.28,Matched,35387
9296,VI-0009296,VEND-0135,10227,2026-06-20,2026-07-20,Open,7019.5,7019.5,Matched,35671
9404,VI-0009404,VEND-0157,10347,2026-06-05,2026-07-20,Open,9302.84,9302.84,Matched,35883
10194,VI-0010194,VEND-0053,11217,2026-05-21,2026-07-20,Open,4488.05,4488.05,Matched,37441
10589,VI-0010589,VEND-0122,11653,2026-05-21,2026-07-20,Open,11142.4,11142.4,Matched,38219
11203,VI-0011203,VEND-0091,12330,2026-06-05,2026-07-20,Open,17947.91,17947.91,Matched,39423
11596,VI-0011596,VEND-0172,12766,2026-06-05,2026-07-20,Open,19682.83,19682.83,Matched,40198
1657,VI-0001657,VEND-0031,1822,2026-06-06,2026-07-21,Open,74791.5,74791.5,Matched,20637
1910,VI-0001910,VEND-0002,2099,2026-05-22,2026-07-21,Open,8394.63,8394.63,Matched,21136
2055,VI-0002055,VEND-0145,2258,2026-06-06,2026-07-21,Open,10871.63,10871.63,Matched,21420
2595,VI-0002595,VEND-0097,2851,2026-06-06,2026-07-21,Open,6958.81,6958.81,Matched,22481
4253,VI-0004253,VEND-0154,4677,2026-06-06,2026-07-21,Open,50587.44,50587.44,Matched,25749
7640,VI-0007640,VEND-0119,8402,2026-05-22,2026-07-21,Open,2093.71,2093.71,Matched,32410
9836,VI-0009836,VEND-0128,10821,2026-05-22,2026-07-21,Open,24539.45,24539.45,Matched,36734
11524,VI-0011524,VEND-0087,12686,2026-06-21,2026-07-21,Open,9879.34,9879.34,Matched,40057
11777,VI-0011777,VEND-0133,12963,2026-06-06,2026-07-21,Open,13709.39,13709.39,Matched,40554
901,VI-0000901,VEND-0091,990,2026-06-07,2026-07-22,Open,32361.36,32361.36,Matched,19149
1585,VI-0001585,VEND-0093,1742,2026-06-22,2026-07-22,Open,8576.08,8576.08,Matched,20496
4432,VI-0004432,VEND-0115,4874,2026-06-07,2026-07-22,Open,42547.27,42547.27,Matched,26103
6881,VI-0006881,VEND-0131,7570,2026-05-23,2026-07-22,Open,3847.5,3847.5,Matched,30920
8972,VI-0008972,VEND-0126,9871,2026-06-22,2026-07-22,Open,1950.87,1950.87,Matched,35032
11167,VI-0011167,VEND-0111,12290,2026-06-22,2026-07-22,Open,18434.17,18434.17,Matched,39353
13361,VI-0013361,VEND-0033,14709,2026-06-22,2026-07-22,Open,16871.42,16871.42,Matched,43671
1478,VI-0001478,VEND-0112,1623,2026-06-08,2026-07-23,Open,1617.2,1617.2,Matched,20286
3677,VI-0003677,VEND-0016,4042,2026-06-08,2026-07-23,Open,5063.0,5063.0,Matched,24614
3821,VI-0003821,VEND-0045,4201,2026-06-23,2026-07-23,Open,3371.53,3371.53,Matched,24899
4072,VI-0004072,VEND-0124,4478,2026-06-08,2026-07-23,Open,5909.76,5909.76,Matched,25393
6272,VI-0006272,VEND-0022,6897,2026-06-08,2026-07-23,Open,17008.99,17008.99,Matched,29720
6522,VI-0006522,VEND-0134,7174,2026-05-24,2026-07-23,Open,10238.73,10238.73,Matched,30214
6667,VI-0006667,VEND-0028,7333,2026-06-08,2026-07-23,Open,3734.62,3734.62,Matched,30498
11740,VI-0011740,VEND-0132,12923,2026-06-23,2026-07-23,Open,3097.56,3097.56,Matched,40482
12639,VI-0012639,VEND-0005,13913,2026-05-24,2026-07-23,Open,36943.76,36943.76,Matched,42250
864,VI-0000864,VEND-0111,950,2026-06-24,2026-07-24,Open,1906.82,1906.82,Matched,19077
3713,VI-0003713,VEND-0094,4082,2026-06-09,2026-07-24,Open,37747.12,37747.12,Matched,24685
4360,VI-0004360,VEND-0056,4795,2026-05-25,2026-07-24,Open,30059.99,30059.99,Matched,25961
6308,VI-0006308,VEND-0076,6937,2026-06-09,2026-07-24,Open,30626.54,30626.54,Matched,29791
6449,VI-0006449,VEND-0163,7094,2026-06-09,2026-07-24,Open,6644.99,6644.99,Matched,30070
6559,VI-0006559,VEND-0083,7214,2026-05-25,2026-07-24,Open,8455.97,8455.97,Matched,30286
6846,VI-0006846,VEND-0151,7530,2026-06-09,2026-07-24,Open,24233.06,24233.06,Matched,30851
8253,VI-0008253,VEND-0081,9079,2026-06-24,2026-07-24,Open,5779.45,5779.45,Matched,33616
9152,VI-0009152,VEND-0089,10069,2026-05-25,2026-07-24,Open,2399.74,2399.74,Matched,35386
9295,VI-0009295,VEND-0068,10226,2026-05-25,2026-07-24,Open,21790.89,21790.89,Matched,35670
10699,VI-0010699,VEND-0076,11775,2026-06-09,2026-07-24,Open,35415.25,35415.25,Matched,38433
11096,VI-0011096,VEND-0019,12211,2026-06-09,2026-07-24,Open,8782.8,8782.8,Matched,39214
13434,VI-0013434,VEND-0076,14787,2026-06-09,2026-07-24,Open,11087.29,11087.29,Matched,43814
13542,VI-0013542,VEND-0176,14907,2026-05-25,2026-07-24,Open,15671.75,15671.75,Matched,44027
1046,VI-0001046,VEND-0150,1147,2026-06-25,2026-07-25,Open,8028.62,8028.62,Matched,19436
1154,VI-0001154,VEND-0070,1267,2026-06-10,2026-07-25,Open,2911.77,2911.77,Matched,19648
1443,VI-0001443,VEND-0156,1583,2026-06-25,2026-07-25,Open,13356.02,13356.02,Matched,20217
1549,VI-0001549,VEND-0122,1701,2026-05-26,2026-07-25,Open,10441.79,10441.79,Matched,20426
3496,VI-0003496,VEND-0052,3843,2026-06-10,2026-07-25,Open,123886.48,123886.48,Matched,24257
5550,VI-0005550,VEND-0166,6105,2026-06-10,2026-07-25,Open,16414.28,16414.28,Matched,28300
5838,VI-0005838,VEND-0024,6421,2026-06-25,2026-07-25,Open,30762.27,30762.27,Matched,28865
6738,VI-0006738,VEND-0044,7411,2026-05-26,2026-07-25,Open,1913.17,1913.17,Matched,30637
7134,VI-0007134,VEND-0011,7847,2026-05-26,2026-07-25,Open,39947.98,39947.98,Matched,31414
8288,VI-0008288,VEND-0034,9117,2026-06-10,2026-07-25,Open,8696.11,8696.11,Matched,33685
9330,VI-0009330,VEND-0050,10266,2026-05-26,2026-07-25,Open,4056.62,4056.62,Matched,35738
11023,VI-0011023,VEND-0048,12131,2026-06-25,2026-07-25,Open,2698.07,2698.07,Matched,39071
11523,VI-0011523,VEND-0026,12685,2026-05-26,2026-07-25,Open,23311.27,23311.27,Matched,40056
3928,VI-0003928,VEND-0037,4319,2026-06-11,2026-07-26,Open,14182.77,14182.77,Matched,25110
6127,VI-0006127,VEND-0007,6738,2026-06-11,2026-07-26,Open,12680.58,12680.58,Matched,29435
8324,VI-0008324,VEND-0124,9157,2026-06-11,2026-07-26,Open,24772.99,24772.99,Matched,33756
8574,VI-0008574,VEND-0017,9434,2026-05-27,2026-07-26,Open,11064.72,11064.72,Matched,34251
10662,VI-0010662,VEND-0096,11735,2026-06-26,2026-07-26,Open,7972.14,7972.14,Matched,38360
10770,VI-0010770,VEND-0026,11853,2026-05-27,2026-07-26,Open,32641.15,32641.15,Matched,38573
12713,VI-0012713,VEND-0136,13995,2026-06-11,2026-07-26,Open,9808.81,9808.81,Matched,42394
12857,VI-0012857,VEND-0099,14154,2026-06-26,2026-07-26,Open,8853.72,8853.72,Matched,42677
720,VI-0000720,VEND-0174,791,2026-06-27,2026-07-27,Open,17671.45,17671.45,Matched,18794
1225,VI-0001225,VEND-0026,1345,2026-05-28,2026-07-27,Open,5319.42,5319.42,Matched,19788
1620,VI-0001620,VEND-0092,1781,2026-05-28,2026-07-27,Open,7891.65,7891.65,Matched,20565
