id,item_id,site_code,version,effective_from,effective_to,status,approved_by,approved_at
292,AFT-0002,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
293,AFT-0003,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
294,AFT-0004,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
295,AFT-0005,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
296,AFT-0006,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
297,AFT-0007,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
298,AFT-0008,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
299,AFT-0009,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
300,AFT-0010,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
301,AFT-0011,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
302,AFT-0012,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
303,AFT-0013,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
304,AFT-0014,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
305,AFT-0015,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
306,AFT-0016,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
307,AFT-0017,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
308,AFT-0018,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
309,AFT-0019,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
310,AFT-0020,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
311,AFT-0021,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
312,AFT-0022,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
313,AFT-0023,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
314,AFT-0024,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
315,AFT-0025,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
316,AFT-0026,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
317,AFT-0027,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
318,AFT-0028,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
319,AFT-0029,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
320,AFT-0030,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
321,AFT-0031,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
322,AFT-0032,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
323,AFT-0033,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
324,AFT-0034,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
325,AFT-0035,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
326,AFT-0036,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
327,AFT-0037,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
328,AFT-0038,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
329,AFT-0039,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
330,AFT-0040,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
331,AFT-0041,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
332,AFT-0042,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
333,AFT-0043,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
334,AFT-0044,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
335,AFT-0045,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
336,AFT-0046,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
337,AFT-0047,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
338,AFT-0048,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
339,AFT-0049,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
340,AFT-0050,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
341,AFT-0051,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
342,AFT-0052,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
343,AFT-0053,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
344,AFT-0054,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
345,AFT-0055,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
346,AFT-0056,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
347,AFT-0057,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
348,AFT-0058,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
349,AFT-0059,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
350,AFT-0060,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
221,CTL-0001,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
222,CTL-0002,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
223,CTL-0003,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
224,CTL-0004,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
225,CTL-0005,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
226,CTL-0006,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
227,CTL-0007,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
228,CTL-0008,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
229,CTL-0009,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
230,CTL-0010,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
231,CTL-0011,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
232,CTL-0012,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
233,CTL-0013,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
234,CTL-0014,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
235,CTL-0015,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
236,CTL-0016,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
237,CTL-0017,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
238,CTL-0018,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
239,CTL-0019,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
240,CTL-0020,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
241,CTL-0021,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
242,CTL-0022,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
243,CTL-0023,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
244,CTL-0024,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
245,CTL-0025,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
246,CTL-0026,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
247,CTL-0027,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
248,CTL-0028,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
249,CTL-0029,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
250,CTL-0030,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
251,CTL-0031,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
252,CTL-0032,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
253,CTL-0033,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
254,CTL-0034,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
255,CTL-0035,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
256,CTL-0036,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
257,CTL-0037,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
258,CTL-0038,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
259,CTL-0039,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
260,CTL-0040,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
101,DRV-0001,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
102,DRV-0002,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
103,DRV-0003,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
104,DRV-0004,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
105,DRV-0005,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
106,DRV-0006,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
107,DRV-0007,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
108,DRV-0008,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
109,DRV-0009,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
110,DRV-0010,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
111,DRV-0011,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
112,DRV-0012,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
113,DRV-0013,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
114,DRV-0014,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
115,DRV-0015,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
116,DRV-0016,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
117,DRV-0017,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
118,DRV-0018,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
119,DRV-0019,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
120,DRV-0020,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
121,DRV-0021,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
122,DRV-0022,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
123,DRV-0023,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
124,DRV-0024,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
125,DRV-0025,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
126,DRV-0026,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
127,DRV-0027,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
128,DRV-0028,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
129,DRV-0029,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
130,DRV-0030,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
131,DRV-0031,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
132,DRV-0032,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
133,DRV-0033,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
134,DRV-0034,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
135,DRV-0035,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
136,DRV-0036,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
137,DRV-0037,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
138,DRV-0038,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
139,DRV-0039,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
140,DRV-0040,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
141,DRV-0041,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
142,DRV-0042,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
143,DRV-0043,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
144,DRV-0044,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
145,DRV-0045,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
146,DRV-0046,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
147,DRV-0047,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
148,DRV-0048,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
149,DRV-0049,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
150,DRV-0050,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
151,DRV-0051,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
152,DRV-0052,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
153,DRV-0053,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
154,DRV-0054,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
155,DRV-0055,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
156,DRV-0056,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
157,DRV-0057,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
158,DRV-0058,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
159,DRV-0059,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
160,DRV-0060,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
1,SA-0001,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
2,SA-0002,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
3,SA-0003,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
4,SA-0004,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
5,SA-0005,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
6,SA-0006,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
7,SA-0007,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
8,SA-0008,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
9,SA-0009,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
10,SA-0010,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
11,SA-0011,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
12,SA-0012,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
13,SA-0013,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
14,SA-0014,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
15,SA-0015,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
16,SA-0016,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
17,SA-0017,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
18,SA-0018,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
19,SA-0019,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
20,SA-0020,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
21,SA-0021,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
22,SA-0022,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
23,SA-0023,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
24,SA-0024,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
25,SA-0025,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
26,SA-0026,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
27,SA-0027,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
28,SA-0028,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
29,SA-0029,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
30,SA-0030,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
31,SA-0031,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
32,SA-0032,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
33,SA-0033,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
34,SA-0034,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
35,SA-0035,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
36,SA-0036,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
37,SA-0037,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
38,SA-0038,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
39,SA-0039,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
40,SA-0040,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
41,SA-0041,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
42,SA-0042,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
43,SA-0043,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
44,SA-0044,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
45,SA-0045,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
46,SA-0046,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
47,SA-0047,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
48,SA-0048,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
49,SA-0049,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
50,SA-0050,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
51,SA-0051,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
52,SA-0052,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
53,SA-0053,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
54,SA-0054,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
55,SA-0055,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
56,SA-0056,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
57,SA-0057,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
58,SA-0058,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
59,SA-0059,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
60,SA-0060,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
61,SA-0061,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
62,SA-0062,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
63,SA-0063,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
64,SA-0064,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
65,SA-0065,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
66,SA-0066,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
67,SA-0067,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
68,SA-0068,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
69,SA-0069,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
70,SA-0070,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
71,SA-0071,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
72,SA-0072,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
73,SA-0073,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
74,SA-0074,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
75,SA-0075,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
76,SA-0076,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
77,SA-0077,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
78,SA-0078,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
79,SA-0079,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
80,SA-0080,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
81,SA-0081,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
82,SA-0082,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
83,SA-0083,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
84,SA-0084,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
85,SA-0085,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
86,SA-0086,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
87,SA-0087,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
88,SA-0088,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
89,SA-0089,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
90,SA-0090,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
91,SA-0091,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
92,SA-0092,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
93,SA-0093,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
94,SA-0094,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
95,SA-0095,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
96,SA-0096,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
97,SA-0097,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
98,SA-0098,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
99,SA-0099,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
100,SA-0100,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
261,SYS-0001,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
262,SYS-0002,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
263,SYS-0003,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
264,SYS-0004,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
265,SYS-0005,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
266,SYS-0006,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
267,SYS-0007,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
268,SYS-0008,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
269,SYS-0009,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
270,SYS-0010,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
271,SYS-0011,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
272,SYS-0012,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
273,SYS-0013,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
274,SYS-0014,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
275,SYS-0015,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
276,SYS-0016,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
277,SYS-0017,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
278,SYS-0018,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
279,SYS-0019,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
280,SYS-0020,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
281,SYS-0021,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
282,SYS-0022,300,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
