id,routing_id,operation_number,work_center_code,setup_hours,run_hours_per_unit,queue_hours,outside_processing,yield_percent
55,13,10,WC-200-08,0.63,0.065,3.0,1,0.982
56,13,20,WC-200-02,0.63,0.09,5.0,0,0.979
57,13,30,WC-200-04,0.63,0.115,1.0,0,0.985
58,13,40,WC-200-06,0.63,0.14,3.0,0,0.982
59,14,10,WC-300-01,0.15,0.09,3.0,0,0.982
60,14,20,WC-300-03,0.15,0.115,5.0,0,0.979
61,14,30,WC-300-05,0.15,0.14,1.0,0,0.985
62,14,40,WC-300-07,0.15,0.165,3.0,0,0.982
63,14,50,WC-300-01,0.15,0.19,5.0,0,0.979
64,15,10,WC-100-02,0.23,0.115,3.0,0,0.982
65,15,20,WC-100-04,0.23,0.14,5.0,0,0.979
66,15,30,WC-100-06,0.23,0.165,1.0,0,0.985
67,15,40,WC-100-08,0.23,0.19,3.0,1,0.982
68,15,50,WC-100-02,0.23,0.215,5.0,0,0.979
69,15,60,WC-100-04,0.23,0.24,1.0,0,0.985
70,16,10,WC-200-03,0.31,0.14,3.0,0,0.982
71,16,20,WC-200-05,0.31,0.165,5.0,0,0.979
72,16,30,WC-200-07,0.31,0.19,1.0,0,0.985
73,17,10,WC-300-04,0.39,0.165,3.0,0,0.982
74,17,20,WC-300-06,0.39,0.19,5.0,0,0.979
75,17,30,WC-300-08,0.39,0.215,1.0,1,0.985
76,17,40,WC-300-02,0.39,0.24,3.0,0,0.982
77,18,10,WC-100-05,0.47,0.19,3.0,0,0.982
78,18,20,WC-100-07,0.47,0.215,5.0,0,0.979
79,18,30,WC-100-01,0.47,0.24,1.0,0,0.985
80,18,40,WC-100-03,0.47,0.265,3.0,0,0.982
81,18,50,WC-100-05,0.47,0.29,5.0,0,0.979
82,19,10,WC-200-06,0.55,0.215,3.0,0,0.982
83,19,20,WC-200-08,0.55,0.24,5.0,1,0.979
84,19,30,WC-200-02,0.55,0.265,1.0,0,0.985
85,19,40,WC-200-04,0.55,0.29,3.0,0,0.982
86,19,50,WC-200-06,0.55,0.315,5.0,0,0.979
87,19,60,WC-200-08,0.55,0.34,1.0,1,0.985
88,20,10,WC-300-07,0.63,0.24,3.0,0,0.982
89,20,20,WC-300-01,0.63,0.265,5.0,0,0.979
90,20,30,WC-300-03,0.63,0.29,1.0,0,0.985
91,21,10,WC-100-08,0.15,0.265,3.0,1,0.982
92,21,20,WC-100-02,0.15,0.29,5.0,0,0.979
93,21,30,WC-100-04,0.15,0.315,1.0,0,0.985
94,21,40,WC-100-06,0.15,0.34,3.0,0,0.982
95,22,10,WC-200-01,0.23,0.29,3.0,0,0.982
96,22,20,WC-200-03,0.23,0.315,5.0,0,0.979
97,22,30,WC-200-05,0.23,0.34,1.0,0,0.985
98,22,40,WC-200-07,0.23,0.04,3.0,0,0.982
99,22,50,WC-200-01,0.23,0.065,5.0,0,0.979
100,23,10,WC-300-02,0.31,0.315,3.0,0,0.982
101,23,20,WC-300-04,0.31,0.34,5.0,0,0.979
102,23,30,WC-300-06,0.31,0.04,1.0,0,0.985
103,23,40,WC-300-08,0.31,0.065,3.0,1,0.982
104,23,50,WC-300-02,0.31,0.09,5.0,0,0.979
105,23,60,WC-300-04,0.31,0.115,1.0,0,0.985
106,24,10,WC-100-03,0.39,0.34,3.0,0,0.982
107,24,20,WC-100-05,0.39,0.04,5.0,0,0.979
108,24,30,WC-100-07,0.39,0.065,1.0,0,0.985
109,25,10,WC-200-04,0.47,0.04,3.0,0,0.982
110,25,20,WC-200-06,0.47,0.065,5.0,0,0.979
111,25,30,WC-200-08,0.47,0.09,1.0,1,0.985
112,25,40,WC-200-02,0.47,0.115,3.0,0,0.982
113,26,10,WC-300-05,0.55,0.065,3.0,0,0.982
114,26,20,WC-300-07,0.55,0.09,5.0,0,0.979
115,26,30,WC-300-01,0.55,0.115,1.0,0,0.985
116,26,40,WC-300-03,0.55,0.14,3.0,0,0.982
117,26,50,WC-300-05,0.55,0.165,5.0,0,0.979
118,27,10,WC-100-06,0.63,0.09,3.0,0,0.982
119,27,20,WC-100-08,0.63,0.115,5.0,1,0.979
120,27,30,WC-100-02,0.63,0.14,1.0,0,0.985
121,27,40,WC-100-04,0.63,0.165,3.0,0,0.982
122,27,50,WC-100-06,0.63,0.19,5.0,0,0.979
123,27,60,WC-100-08,0.63,0.215,1.0,1,0.985
124,28,10,WC-200-07,0.15,0.115,3.0,0,0.982
125,28,20,WC-200-01,0.15,0.14,5.0,0,0.979
126,28,30,WC-200-03,0.15,0.165,1.0,0,0.985
127,29,10,WC-300-08,0.23,0.14,3.0,1,0.982
128,29,20,WC-300-02,0.23,0.165,5.0,0,0.979
129,29,30,WC-300-04,0.23,0.19,1.0,0,0.985
130,29,40,WC-300-06,0.23,0.215,3.0,0,0.982
131,30,10,WC-100-01,0.31,0.165,3.0,0,0.982
132,30,20,WC-100-03,0.31,0.19,5.0,0,0.979
133,30,30,WC-100-05,0.31,0.215,1.0,0,0.985
134,30,40,WC-100-07,0.31,0.24,3.0,0,0.982
135,30,50,WC-100-01,0.31,0.265,5.0,0,0.979
136,31,10,WC-200-02,0.39,0.19,3.0,0,0.982
137,31,20,WC-200-04,0.39,0.215,5.0,0,0.979
138,31,30,WC-200-06,0.39,0.24,1.0,0,0.985
139,31,40,WC-200-08,0.39,0.265,3.0,1,0.982
140,31,50,WC-200-02,0.39,0.29,5.0,0,0.979
141,31,60,WC-200-04,0.39,0.315,1.0,0,0.985
142,32,10,WC-300-03,0.47,0.215,3.0,0,0.982
143,32,20,WC-300-05,0.47,0.24,5.0,0,0.979
144,32,30,WC-300-07,0.47,0.265,1.0,0,0.985
145,33,10,WC-100-04,0.55,0.24,3.0,0,0.982
146,33,20,WC-100-06,0.55,0.265,5.0,0,0.979
147,33,30,WC-100-08,0.55,0.29,1.0,1,0.985
148,33,40,WC-100-02,0.55,0.315,3.0,0,0.982
149,34,10,WC-200-05,0.63,0.265,3.0,0,0.982
150,34,20,WC-200-07,0.63,0.29,5.0,0,0.979
151,34,30,WC-200-01,0.63,0.315,1.0,0,0.985
152,34,40,WC-200-03,0.63,0.34,3.0,0,0.982
153,34,50,WC-200-05,0.63,0.04,5.0,0,0.979
154,35,10,WC-300-06,0.15,0.29,3.0,0,0.982
155,35,20,WC-300-08,0.15,0.315,5.0,1,0.979
156,35,30,WC-300-02,0.15,0.34,1.0,0,0.985
157,35,40,WC-300-04,0.15,0.04,3.0,0,0.982
158,35,50,WC-300-06,0.15,0.065,5.0,0,0.979
159,35,60,WC-300-08,0.15,0.09,1.0,1,0.985
160,36,10,WC-100-07,0.23,0.315,3.0,0,0.982
161,36,20,WC-100-01,0.23,0.34,5.0,0,0.979
162,36,30,WC-100-03,0.23,0.04,1.0,0,0.985
163,37,10,WC-200-08,0.31,0.34,3.0,1,0.982
164,37,20,WC-200-02,0.31,0.04,5.0,0,0.979
165,37,30,WC-200-04,0.31,0.065,1.0,0,0.985
166,37,40,WC-200-06,0.31,0.09,3.0,0,0.982
167,38,10,WC-300-01,0.39,0.04,3.0,0,0.982
168,38,20,WC-300-03,0.39,0.065,5.0,0,0.979
169,38,30,WC-300-05,0.39,0.09,1.0,0,0.985
170,38,40,WC-300-07,0.39,0.115,3.0,0,0.982
171,38,50,WC-300-01,0.39,0.14,5.0,0,0.979
172,39,10,WC-100-02,0.47,0.065,3.0,0,0.982
173,39,20,WC-100-04,0.47,0.09,5.0,0,0.979
174,39,30,WC-100-06,0.47,0.115,1.0,0,0.985
175,39,40,WC-100-08,0.47,0.14,3.0,1,0.982
176,39,50,WC-100-02,0.47,0.165,5.0,0,0.979
177,39,60,WC-100-04,0.47,0.19,1.0,0,0.985
178,40,10,WC-200-03,0.55,0.09,3.0,0,0.982
179,40,20,WC-200-05,0.55,0.115,5.0,0,0.979
180,40,30,WC-200-07,0.55,0.14,1.0,0,0.985
181,41,10,WC-300-04,0.63,0.115,3.0,0,0.982
182,41,20,WC-300-06,0.63,0.14,5.0,0,0.979
183,41,30,WC-300-08,0.63,0.165,1.0,1,0.985
184,41,40,WC-300-02,0.63,0.19,3.0,0,0.982
185,42,10,WC-100-05,0.15,0.14,3.0,0,0.982
186,42,20,WC-100-07,0.15,0.165,5.0,0,0.979
187,42,30,WC-100-01,0.15,0.19,1.0,0,0.985
188,42,40,WC-100-03,0.15,0.215,3.0,0,0.982
189,42,50,WC-100-05,0.15,0.24,5.0,0,0.979
190,43,10,WC-200-06,0.23,0.165,3.0,0,0.982
191,43,20,WC-200-08,0.23,0.19,5.0,1,0.979
192,43,30,WC-200-02,0.23,0.215,1.0,0,0.985
193,43,40,WC-200-04,0.23,0.24,3.0,0,0.982
194,43,50,WC-200-06,0.23,0.265,5.0,0,0.979
195,43,60,WC-200-08,0.23,0.29,1.0,1,0.985
196,44,10,WC-300-07,0.31,0.19,3.0,0,0.982
197,44,20,WC-300-01,0.31,0.215,5.0,0,0.979
198,44,30,WC-300-03,0.31,0.24,1.0,0,0.985
199,45,10,WC-100-08,0.39,0.215,3.0,1,0.982
200,45,20,WC-100-02,0.39,0.24,5.0,0,0.979
201,45,30,WC-100-04,0.39,0.265,1.0,0,0.985
202,45,40,WC-100-06,0.39,0.29,3.0,0,0.982
203,46,10,WC-200-01,0.47,0.24,3.0,0,0.982
204,46,20,WC-200-03,0.47,0.265,5.0,0,0.979
205,46,30,WC-200-05,0.47,0.29,1.0,0,0.985
206,46,40,WC-200-07,0.47,0.315,3.0,0,0.982
207,46,50,WC-200-01,0.47,0.34,5.0,0,0.979
208,47,10,WC-300-02,0.55,0.265,3.0,0,0.982
209,47,20,WC-300-04,0.55,0.29,5.0,0,0.979
210,47,30,WC-300-06,0.55,0.315,1.0,0,0.985
211,47,40,WC-300-08,0.55,0.34,3.0,1,0.982
212,47,50,WC-300-02,0.55,0.04,5.0,0,0.979
213,47,60,WC-300-04,0.55,0.065,1.0,0,0.985
214,48,10,WC-100-03,0.63,0.29,3.0,0,0.982
215,48,20,WC-100-05,0.63,0.315,5.0,0,0.979
216,48,30,WC-100-07,0.63,0.34,1.0,0,0.985
217,49,10,WC-200-04,0.15,0.315,3.0,0,0.982
218,49,20,WC-200-06,0.15,0.34,5.0,0,0.979
219,49,30,WC-200-08,0.15,0.04,1.0,1,0.985
220,49,40,WC-200-02,0.15,0.065,3.0,0,0.982
221,50,10,WC-300-05,0.23,0.34,3.0,0,0.982
222,50,20,WC-300-07,0.23,0.04,5.0,0,0.979
223,50,30,WC-300-01,0.23,0.065,1.0,0,0.985
224,50,40,WC-300-03,0.23,0.09,3.0,0,0.982
225,50,50,WC-300-05,0.23,0.115,5.0,0,0.979
226,51,10,WC-100-06,0.31,0.04,3.0,0,0.982
227,51,20,WC-100-08,0.31,0.065,5.0,1,0.979
228,51,30,WC-100-02,0.31,0.09,1.0,0,0.985
229,51,40,WC-100-04,0.31,0.115,3.0,0,0.982
230,51,50,WC-100-06,0.31,0.14,5.0,0,0.979
231,51,60,WC-100-08,0.31,0.165,1.0,1,0.985
232,52,10,WC-200-07,0.39,0.065,3.0,0,0.982
233,52,20,WC-200-01,0.39,0.09,5.0,0,0.979
234,52,30,WC-200-03,0.39,0.115,1.0,0,0.985
235,53,10,WC-300-08,0.47,0.09,3.0,1,0.982
236,53,20,WC-300-02,0.47,0.115,5.0,0,0.979
237,53,30,WC-300-04,0.47,0.14,1.0,0,0.985
238,53,40,WC-300-06,0.47,0.165,3.0,0,0.982
239,54,10,WC-100-01,0.55,0.115,3.0,0,0.982
240,54,20,WC-100-03,0.55,0.14,5.0,0,0.979
241,54,30,WC-100-05,0.55,0.165,1.0,0,0.985
242,54,40,WC-100-07,0.55,0.19,3.0,0,0.982
243,54,50,WC-100-01,0.55,0.215,5.0,0,0.979
244,55,10,WC-200-02,0.63,0.14,3.0,0,0.982
245,55,20,WC-200-04,0.63,0.165,5.0,0,0.979
246,55,30,WC-200-06,0.63,0.19,1.0,0,0.985
247,55,40,WC-200-08,0.63,0.215,3.0,1,0.982
248,55,50,WC-200-02,0.63,0.24,5.0,0,0.979
249,55,60,WC-200-04,0.63,0.265,1.0,0,0.985
250,56,10,WC-300-03,0.15,0.165,3.0,0,0.982
251,56,20,WC-300-05,0.15,0.19,5.0,0,0.979
252,56,30,WC-300-07,0.15,0.215,1.0,0,0.985
253,57,10,WC-100-04,0.23,0.19,3.0,0,0.982
254,57,20,WC-100-06,0.23,0.215,5.0,0,0.979
255,57,30,WC-100-08,0.23,0.24,1.0,1,0.985
256,57,40,WC-100-02,0.23,0.265,3.0,0,0.982
257,58,10,WC-200-05,0.31,0.215,3.0,0,0.982
258,58,20,WC-200-07,0.31,0.24,5.0,0,0.979
259,58,30,WC-200-01,0.31,0.265,1.0,0,0.985
260,58,40,WC-200-03,0.31,0.29,3.0,0,0.982
261,58,50,WC-200-05,0.31,0.315,5.0,0,0.979
262,59,10,WC-300-06,0.39,0.24,3.0,0,0.982
263,59,20,WC-300-08,0.39,0.265,5.0,1,0.979
264,59,30,WC-300-02,0.39,0.29,1.0,0,0.985
265,59,40,WC-300-04,0.39,0.315,3.0,0,0.982
266,59,50,WC-300-06,0.39,0.34,5.0,0,0.979
267,59,60,WC-300-08,0.39,0.04,1.0,1,0.985
268,60,10,WC-100-07,0.47,0.265,3.0,0,0.982
269,60,20,WC-100-01,0.47,0.29,5.0,0,0.979
270,60,30,WC-100-03,0.47,0.315,1.0,0,0.985
271,61,10,WC-200-08,0.55,0.29,3.0,1,0.982
272,61,20,WC-200-02,0.55,0.315,5.0,0,0.979
273,61,30,WC-200-04,0.55,0.34,1.0,0,0.985
274,61,40,WC-200-06,0.55,0.04,3.0,0,0.982
275,62,10,WC-300-01,0.63,0.315,3.0,0,0.982
276,62,20,WC-300-03,0.63,0.34,5.0,0,0.979
277,62,30,WC-300-05,0.63,0.04,1.0,0,0.985
278,62,40,WC-300-07,0.63,0.065,3.0,0,0.982
279,62,50,WC-300-01,0.63,0.09,5.0,0,0.979
280,63,10,WC-100-02,0.15,0.34,3.0,0,0.982
281,63,20,WC-100-04,0.15,0.04,5.0,0,0.979
282,63,30,WC-100-06,0.15,0.065,1.0,0,0.985
283,63,40,WC-100-08,0.15,0.09,3.0,1,0.982
284,63,50,WC-100-02,0.15,0.115,5.0,0,0.979
285,63,60,WC-100-04,0.15,0.14,1.0,0,0.985
286,64,10,WC-200-03,0.23,0.04,3.0,0,0.982
287,64,20,WC-200-05,0.23,0.065,5.0,0,0.979
288,64,30,WC-200-07,0.23,0.09,1.0,0,0.985
289,65,10,WC-300-04,0.31,0.065,3.0,0,0.982
290,65,20,WC-300-06,0.31,0.09,5.0,0,0.979
291,65,30,WC-300-08,0.31,0.115,1.0,1,0.985
292,65,40,WC-300-02,0.31,0.14,3.0,0,0.982
293,66,10,WC-100-05,0.39,0.09,3.0,0,0.982
294,66,20,WC-100-07,0.39,0.115,5.0,0,0.979
295,66,30,WC-100-01,0.39,0.14,1.0,0,0.985
296,66,40,WC-100-03,0.39,0.165,3.0,0,0.982
297,66,50,WC-100-05,0.39,0.19,5.0,0,0.979
298,67,10,WC-200-06,0.47,0.115,3.0,0,0.982
299,67,20,WC-200-08,0.47,0.14,5.0,1,0.979
300,67,30,WC-200-02,0.47,0.165,1.0,0,0.985
301,67,40,WC-200-04,0.47,0.19,3.0,0,0.982
302,67,50,WC-200-06,0.47,0.215,5.0,0,0.979
303,67,60,WC-200-08,0.47,0.24,1.0,1,0.985
304,68,10,WC-300-07,0.55,0.14,3.0,0,0.982
305,68,20,WC-300-01,0.55,0.165,5.0,0,0.979
306,68,30,WC-300-03,0.55,0.19,1.0,0,0.985
307,69,10,WC-100-08,0.63,0.165,3.0,1,0.982
308,69,20,WC-100-02,0.63,0.19,5.0,0,0.979
309,69,30,WC-100-04,0.63,0.215,1.0,0,0.985
310,69,40,WC-100-06,0.63,0.24,3.0,0,0.982
311,70,10,WC-200-01,0.15,0.19,3.0,0,0.982
312,70,20,WC-200-03,0.15,0.215,5.0,0,0.979
313,70,30,WC-200-05,0.15,0.24,1.0,0,0.985
314,70,40,WC-200-07,0.15,0.265,3.0,0,0.982
315,70,50,WC-200-01,0.15,0.29,5.0,0,0.979
316,71,10,WC-300-02,0.23,0.215,3.0,0,0.982
317,71,20,WC-300-04,0.23,0.24,5.0,0,0.979
318,71,30,WC-300-06,0.23,0.265,1.0,0,0.985
319,71,40,WC-300-08,0.23,0.29,3.0,1,0.982
320,71,50,WC-300-02,0.23,0.315,5.0,0,0.979
321,71,60,WC-300-04,0.23,0.34,1.0,0,0.985
322,72,10,WC-100-03,0.31,0.24,3.0,0,0.982
323,72,20,WC-100-05,0.31,0.265,5.0,0,0.979
324,72,30,WC-100-07,0.31,0.29,1.0,0,0.985
325,73,10,WC-200-04,0.39,0.265,3.0,0,0.982
326,73,20,WC-200-06,0.39,0.29,5.0,0,0.979
327,73,30,WC-200-08,0.39,0.315,1.0,1,0.985
328,73,40,WC-200-02,0.39,0.34,3.0,0,0.982
329,74,10,WC-300-05,0.47,0.29,3.0,0,0.982
330,74,20,WC-300-07,0.47,0.315,5.0,0,0.979
331,74,30,WC-300-01,0.47,0.34,1.0,0,0.985
332,74,40,WC-300-03,0.47,0.04,3.0,0,0.982
333,74,50,WC-300-05,0.47,0.065,5.0,0,0.979
334,75,10,WC-100-06,0.55,0.315,3.0,0,0.982
335,75,20,WC-100-08,0.55,0.34,5.0,1,0.979
336,75,30,WC-100-02,0.55,0.04,1.0,0,0.985
337,75,40,WC-100-04,0.55,0.065,3.0,0,0.982
338,75,50,WC-100-06,0.55,0.09,5.0,0,0.979
339,75,60,WC-100-08,0.55,0.115,1.0,1,0.985
340,76,10,WC-200-07,0.63,0.34,3.0,0,0.982
341,76,20,WC-200-01,0.63,0.04,5.0,0,0.979
342,76,30,WC-200-03,0.63,0.065,1.0,0,0.985
343,77,10,WC-300-08,0.15,0.04,3.0,1,0.982
344,77,20,WC-300-02,0.15,0.065,5.0,0,0.979
345,77,30,WC-300-04,0.15,0.09,1.0,0,0.985
346,77,40,WC-300-06,0.15,0.115,3.0,0,0.982
347,78,10,WC-100-01,0.23,0.065,3.0,0,0.982
348,78,20,WC-100-03,0.23,0.09,5.0,0,0.979
349,78,30,WC-100-05,0.23,0.115,1.0,0,0.985
350,78,40,WC-100-07,0.23,0.14,3.0,0,0.982
351,78,50,WC-100-01,0.23,0.165,5.0,0,0.979
352,79,10,WC-200-02,0.31,0.09,3.0,0,0.982
353,79,20,WC-200-04,0.31,0.115,5.0,0,0.979
354,79,30,WC-200-06,0.31,0.14,1.0,0,0.985
355,79,40,WC-200-08,0.31,0.165,3.0,1,0.982
356,79,50,WC-200-02,0.31,0.19,5.0,0,0.979
357,79,60,WC-200-04,0.31,0.215,1.0,0,0.985
358,80,10,WC-300-03,0.39,0.115,3.0,0,0.982
359,80,20,WC-300-05,0.39,0.14,5.0,0,0.979
360,80,30,WC-300-07,0.39,0.165,1.0,0,0.985
361,81,10,WC-100-04,0.47,0.14,3.0,0,0.982
362,81,20,WC-100-06,0.47,0.165,5.0,0,0.979
363,81,30,WC-100-08,0.47,0.19,1.0,1,0.985
364,81,40,WC-100-02,0.47,0.215,3.0,0,0.982
365,82,10,WC-200-05,0.55,0.165,3.0,0,0.982
366,82,20,WC-200-07,0.55,0.19,5.0,0,0.979
367,82,30,WC-200-01,0.55,0.215,1.0,0,0.985
368,82,40,WC-200-03,0.55,0.24,3.0,0,0.982
369,82,50,WC-200-05,0.55,0.265,5.0,0,0.979
370,83,10,WC-300-06,0.63,0.19,3.0,0,0.982
371,83,20,WC-300-08,0.63,0.215,5.0,1,0.979
372,83,30,WC-300-02,0.63,0.24,1.0,0,0.985
373,83,40,WC-300-04,0.63,0.265,3.0,0,0.982
374,83,50,WC-300-06,0.63,0.29,5.0,0,0.979
375,83,60,WC-300-08,0.63,0.315,1.0,1,0.985
376,84,10,WC-100-07,0.15,0.215,3.0,0,0.982
377,84,20,WC-100-01,0.15,0.24,5.0,0,0.979
378,84,30,WC-100-03,0.15,0.265,1.0,0,0.985
379,85,10,WC-200-08,0.23,0.24,3.0,1,0.982
380,85,20,WC-200-02,0.23,0.265,5.0,0,0.979
381,85,30,WC-200-04,0.23,0.29,1.0,0,0.985
382,85,40,WC-200-06,0.23,0.315,3.0,0,0.982
383,86,10,WC-300-01,0.31,0.265,3.0,0,0.982
384,86,20,WC-300-03,0.31,0.29,5.0,0,0.979
385,86,30,WC-300-05,0.31,0.315,1.0,0,0.985
386,86,40,WC-300-07,0.31,0.34,3.0,0,0.982
387,86,50,WC-300-01,0.31,0.04,5.0,0,0.979
388,87,10,WC-100-02,0.39,0.29,3.0,0,0.982
389,87,20,WC-100-04,0.39,0.315,5.0,0,0.979
390,87,30,WC-100-06,0.39,0.34,1.0,0,0.985
391,87,40,WC-100-08,0.39,0.04,3.0,1,0.982
392,87,50,WC-100-02,0.39,0.065,5.0,0,0.979
393,87,60,WC-100-04,0.39,0.09,1.0,0,0.985
394,88,10,WC-200-03,0.47,0.315,3.0,0,0.982
395,88,20,WC-200-05,0.47,0.34,5.0,0,0.979
396,88,30,WC-200-07,0.47,0.04,1.0,0,0.985
397,89,10,WC-300-04,0.55,0.34,3.0,0,0.982
398,89,20,WC-300-06,0.55,0.04,5.0,0,0.979
399,89,30,WC-300-08,0.55,0.065,1.0,1,0.985
400,89,40,WC-300-02,0.55,0.09,3.0,0,0.982
401,90,10,WC-100-05,0.63,0.04,3.0,0,0.982
402,90,20,WC-100-07,0.63,0.065,5.0,0,0.979
403,90,30,WC-100-01,0.63,0.09,1.0,0,0.985
404,90,40,WC-100-03,0.63,0.115,3.0,0,0.982
405,90,50,WC-100-05,0.63,0.14,5.0,0,0.979
406,91,10,WC-200-06,0.15,0.065,3.0,0,0.982
407,91,20,WC-200-08,0.15,0.09,5.0,1,0.979
408,91,30,WC-200-02,0.15,0.115,1.0,0,0.985
409,91,40,WC-200-04,0.15,0.14,3.0,0,0.982
410,91,50,WC-200-06,0.15,0.165,5.0,0,0.979
411,91,60,WC-200-08,0.15,0.19,1.0,1,0.985
412,92,10,WC-300-07,0.23,0.09,3.0,0,0.982
413,92,20,WC-300-01,0.23,0.115,5.0,0,0.979
414,92,30,WC-300-03,0.23,0.14,1.0,0,0.985
415,93,10,WC-100-08,0.31,0.115,3.0,1,0.982
416,93,20,WC-100-02,0.31,0.14,5.0,0,0.979
417,93,30,WC-100-04,0.31,0.165,1.0,0,0.985
418,93,40,WC-100-06,0.31,0.19,3.0,0,0.982
419,94,10,WC-200-01,0.39,0.14,3.0,0,0.982
420,94,20,WC-200-03,0.39,0.165,5.0,0,0.979
421,94,30,WC-200-05,0.39,0.19,1.0,0,0.985
422,94,40,WC-200-07,0.39,0.215,3.0,0,0.982
423,94,50,WC-200-01,0.39,0.24,5.0,0,0.979
424,95,10,WC-300-02,0.47,0.165,3.0,0,0.982
425,95,20,WC-300-04,0.47,0.19,5.0,0,0.979
426,95,30,WC-300-06,0.47,0.215,1.0,0,0.985
427,95,40,WC-300-08,0.47,0.24,3.0,1,0.982
428,95,50,WC-300-02,0.47,0.265,5.0,0,0.979
429,95,60,WC-300-04,0.47,0.29,1.0,0,0.985
430,96,10,WC-100-03,0.55,0.19,3.0,0,0.982
431,96,20,WC-100-05,0.55,0.215,5.0,0,0.979
432,96,30,WC-100-07,0.55,0.24,1.0,0,0.985
433,97,10,WC-200-04,0.63,0.215,3.0,0,0.982
434,97,20,WC-200-06,0.63,0.24,5.0,0,0.979
435,97,30,WC-200-08,0.63,0.265,1.0,1,0.985
436,97,40,WC-200-02,0.63,0.29,3.0,0,0.982
437,98,10,WC-300-05,0.15,0.24,3.0,0,0.982
438,98,20,WC-300-07,0.15,0.265,5.0,0,0.979
439,98,30,WC-300-01,0.15,0.29,1.0,0,0.985
440,98,40,WC-300-03,0.15,0.315,3.0,0,0.982
441,98,50,WC-300-05,0.15,0.34,5.0,0,0.979
442,99,10,WC-100-06,0.23,0.265,3.0,0,0.982
443,99,20,WC-100-08,0.23,0.29,5.0,1,0.979
444,99,30,WC-100-02,0.23,0.315,1.0,0,0.985
445,99,40,WC-100-04,0.23,0.34,3.0,0,0.982
446,99,50,WC-100-06,0.23,0.04,5.0,0,0.979
447,99,60,WC-100-08,0.23,0.065,1.0,1,0.985
448,100,10,WC-200-07,0.31,0.29,3.0,0,0.982
