id,po_number,vendor_id,site_code,order_date,expected_date,buyer_employee_id,status,currency,line_number,item_id,order_quantity,received_quantity,unit_price
1702,PO-001702,VEND-0176,300,2026-04-22,2026-06-20,EMP-0582,Open,USD,10,PC-0055,150.0845,0.0,116.78
2973,PO-002973,VEND-0060,300,2026-06-10,2026-06-20,EMP-0593,Open,USD,10,RM-0143,261.2629,0.0,28.45
3011,PO-003011,VEND-0133,100,2026-05-03,2026-06-20,EMP-0571,Open,USD,10,RM-0024,440.25,0.0,29.2
4320,PO-004320,VEND-0001,200,2026-05-14,2026-06-20,EMP-0560,Open,USD,10,RM-0087,534.6016,0.0,29.97
5629,PO-005629,VEND-0003,100,2026-05-25,2026-06-20,EMP-0609,Open,USD,10,PC-0014,531.0486,0.0,85.76
6938,PO-006938,VEND-0091,200,2026-06-05,2026-06-20,EMP-0598,Open,USD,10,PC-0090,347.7457,0.0,129.19
6976,PO-006976,VEND-0119,300,2026-04-28,2026-06-20,EMP-0576,Open,USD,10,RM-0106,349.4156,0.0,21.45
8285,PO-008285,VEND-0066,200,2026-05-09,2026-06-20,EMP-0565,Open,USD,10,PC-0036,230.3747,0.0,60.02
9594,PO-009594,VEND-0105,100,2026-05-20,2026-06-20,EMP-0614,Open,USD,10,RM-0008,674.9584,0.0,17.43
10903,PO-010903,VEND-0011,300,2026-05-31,2026-06-20,EMP-0603,Open,USD,10,RM-0070,245.0986,0.0,17.43
10941,PO-010941,VEND-0009,100,2026-04-23,2026-06-20,EMP-0581,Open,USD,10,PC-0056,586.9088,0.0,128.99
12212,PO-012212,VEND-0073,100,2026-06-11,2026-06-20,EMP-0592,Open,USD,10,RM-0144,292.5042,0.0,27.08
12250,PO-012250,VEND-0131,200,2026-05-04,2026-06-20,EMP-0570,Open,USD,10,RM-0024,103.0032,0.0,31.42
13559,PO-013559,VEND-0052,300,2026-05-15,2026-06-20,EMP-0619,Open,USD,10,RM-0087,347.4182,0.0,32.24
14868,PO-014868,VEND-0003,200,2026-05-26,2026-06-20,EMP-0608,Open,USD,10,PC-0014,76.0803,0.0,92.27
1268,PO-001268,VEND-0072,300,2026-06-11,2026-06-21,EMP-0568,Open,USD,10,RM-0047,158.4958,0.0,24.74
1306,PO-001306,VEND-0159,200,2026-05-04,2026-06-21,EMP-0606,Open,USD,10,PC-0026,360.3781,0.0,136.99
2615,PO-002615,VEND-0156,200,2026-05-15,2026-06-21,EMP-0595,Open,USD,10,PC-0100,473.498,0.0,71.33
3924,PO-003924,VEND-0113,200,2026-05-26,2026-06-21,EMP-0584,Open,USD,10,RM-0064,555.6502,0.0,13.52
5233,PO-005233,VEND-0136,300,2026-06-06,2026-06-21,EMP-0573,Open,USD,10,RM-0135,111.0353,0.0,21.29
5271,PO-005271,VEND-0055,100,2026-04-29,2026-06-21,EMP-0611,Open,USD,10,RM-0018,767.1449,0.0,24.31
6580,PO-006580,VEND-0041,300,2026-05-10,2026-06-21,EMP-0600,Open,USD,10,RM-0080,511.7561,0.0,24.31
7889,PO-007889,VEND-0066,300,2026-05-21,2026-06-21,EMP-0589,Open,USD,10,PC-0005,146.8096,0.0,57.28
9198,PO-009198,VEND-0180,300,2026-06-01,2026-06-21,EMP-0578,Open,USD,10,PC-0083,197.4841,0.0,106.45
9236,PO-009236,VEND-0028,100,2026-04-24,2026-06-21,EMP-0616,Open,USD,10,RM-0099,426.5039,0.0,15.67
10507,PO-010507,VEND-0085,100,2026-06-12,2026-06-21,EMP-0567,Open,USD,10,RM-0048,370.5698,0.0,23.54
10545,PO-010545,VEND-0106,100,2026-05-05,2026-06-21,EMP-0605,Open,USD,10,PC-0027,498.9002,0.0,129.68
11854,PO-011854,VEND-0014,100,2026-05-16,2026-06-21,EMP-0594,Open,USD,10,RM-0001,185.5389,0.0,11.68
13163,PO-013163,VEND-0113,300,2026-05-27,2026-06-21,EMP-0583,Open,USD,10,RM-0064,438.5344,0.0,12.48
14472,PO-014472,VEND-0149,100,2026-06-07,2026-06-21,EMP-0572,Open,USD,10,RM-0136,402.0942,0.0,20.46
14510,PO-014510,VEND-0171,200,2026-04-30,2026-06-21,EMP-0610,Open,USD,10,RM-0018,485.7123,0.0,26.17
910,PO-000910,VEND-0131,200,2026-05-16,2026-06-22,EMP-0570,Open,USD,10,RM-0147,145.1399,0.0,30.31
2219,PO-002219,VEND-0089,200,2026-05-27,2026-06-22,EMP-0619,Open,USD,10,PC-0076,199.3999,0.0,91.46
3528,PO-003528,VEND-0174,300,2026-06-07,2026-06-22,EMP-0608,Open,USD,10,RM-0041,301.1988,0.0,19.55
3566,PO-003566,VEND-0042,200,2026-04-30,2026-06-22,EMP-0586,Open,USD,10,PC-0017,277.3005,0.0,104.99
4875,PO-004875,VEND-0016,100,2026-05-11,2026-06-22,EMP-0575,Open,USD,10,PC-0094,98.8219,0.0,50.16
6184,PO-006184,VEND-0035,100,2026-05-22,2026-06-22,EMP-0564,Open,USD,10,RM-0058,532.8909,0.0,34.81
7493,PO-007493,VEND-0032,200,2026-06-02,2026-06-22,EMP-0613,Open,USD,10,RM-0127,262.5178,0.0,14.25
7531,PO-007531,VEND-0144,100,2026-04-25,2026-06-22,EMP-0591,Open,USD,10,RM-0011,429.8981,0.0,18.75
8802,PO-008802,VEND-0022,100,2026-06-13,2026-06-22,EMP-0602,Open,USD,10,PC-0057,196.2393,0.0,135.83
8840,PO-008840,VEND-0081,100,2026-05-06,2026-06-22,EMP-0580,Open,USD,10,RM-0074,644.8966,0.0,19.51
10149,PO-010149,VEND-0112,300,2026-05-17,2026-06-22,EMP-0569,Open,USD,10,RM-0147,466.3011,0.0,27.88
11458,PO-011458,VEND-0089,300,2026-05-28,2026-06-22,EMP-0618,Open,USD,10,PC-0076,448.9405,0.0,84.13
12767,PO-012767,VEND-0007,100,2026-06-08,2026-06-22,EMP-0607,Open,USD,10,RM-0042,320.6988,0.0,18.75
12805,PO-012805,VEND-0146,200,2026-05-01,2026-06-22,EMP-0585,Open,USD,10,PC-0018,564.3004,0.0,100.03
14114,PO-014114,VEND-0143,300,2026-05-12,2026-06-22,EMP-0574,Open,USD,10,PC-0094,615.3777,0.0,46.28
514,PO-000514,VEND-0121,100,2026-05-28,2026-06-23,EMP-0594,Open,USD,10,RM-0120,25.1177,0.0,32.12
1823,PO-001823,VEND-0098,100,2026-06-08,2026-06-23,EMP-0583,Open,USD,10,PC-0049,332.3815,0.0,100.03
1861,PO-001861,VEND-0152,200,2026-05-01,2026-06-23,EMP-0561,Open,USD,10,RM-0067,522.3713,0.0,15.28
3170,PO-003170,VEND-0171,300,2026-05-12,2026-06-23,EMP-0610,Open,USD,10,RM-0139,58.3449,0.0,23.48
4479,PO-004479,VEND-0165,100,2026-05-23,2026-06-23,EMP-0599,Open,USD,10,PC-0068,514.7993,0.0,64.41
5788,PO-005788,VEND-0096,300,2026-06-03,2026-06-23,EMP-0588,Open,USD,10,RM-0035,429.1196,0.0,14.46
5826,PO-005826,VEND-0131,100,2026-04-26,2026-06-23,EMP-0566,Open,USD,10,PC-0010,225.1026,0.0,80.31
7097,PO-007097,VEND-0041,200,2026-06-14,2026-06-23,EMP-0577,Open,USD,10,RM-0100,95.2976,0.0,16.92
7135,PO-007135,VEND-0056,300,2026-05-07,2026-06-23,EMP-0615,Open,USD,10,PC-0086,669.2136,0.0,127.87
8444,PO-008444,VEND-0124,300,2026-05-18,2026-06-23,EMP-0604,Open,USD,10,RM-0051,246.6274,0.0,28.57
9753,PO-009753,VEND-0121,200,2026-05-29,2026-06-23,EMP-0593,Open,USD,10,RM-0120,423.96,0.0,34.51
11062,PO-011062,VEND-0098,200,2026-06-09,2026-06-23,EMP-0582,Open,USD,10,PC-0049,541.7876,0.0,107.48
11100,PO-011100,VEND-0121,300,2026-05-02,2026-06-23,EMP-0560,Open,USD,10,RM-0067,184.3143,0.0,16.38
12409,PO-012409,VEND-0021,100,2026-05-13,2026-06-23,EMP-0609,Open,USD,10,RM-0140,221.7525,0.0,26.04
13718,PO-013718,VEND-0165,200,2026-05-24,2026-06-23,EMP-0598,Open,USD,10,PC-0068,161.3313,0.0,69.04
118,PO-000118,VEND-0117,100,2026-06-09,2026-06-24,EMP-0618,Open,USD,10,RM-0092,196.0525,0.0,38.35
156,PO-000156,VEND-0128,200,2026-05-02,2026-06-24,EMP-0596,Open,USD,10,PC-0079,151.3294,0.0,95.97
1465,PO-001465,VEND-0146,300,2026-05-13,2026-06-24,EMP-0585,Open,USD,10,RM-0044,278.0138,0.0,20.86
2774,PO-002774,VEND-0004,300,2026-05-24,2026-06-24,EMP-0574,Open,USD,10,RM-0111,73.8494,0.0,24.78
4083,PO-004083,VEND-0161,200,2026-06-04,2026-06-24,EMP-0563,Open,USD,10,PC-0040,73.5426,0.0,70.9
4121,PO-004121,VEND-0074,200,2026-04-27,2026-06-24,EMP-0601,Open,USD,10,RM-0061,305.5312,0.0,35.46
5392,PO-005392,VEND-0157,300,2026-06-15,2026-06-24,EMP-0612,Open,USD,10,RM-0012,646.8771,0.0,20.08
5430,PO-005430,VEND-0031,100,2026-05-08,2026-06-24,EMP-0590,Open,USD,10,RM-0132,256.1861,0.0,17.59
6739,PO-006739,VEND-0074,200,2026-05-19,2026-06-24,EMP-0579,Open,USD,10,PC-0061,157.1638,0.0,141.82
8048,PO-008048,VEND-0018,100,2026-05-30,2026-06-24,EMP-0568,Open,USD,10,RM-0029,466.9056,0.0,34.65
9357,PO-009357,VEND-0117,200,2026-06-10,2026-06-24,EMP-0617,Open,USD,10,RM-0092,656.435,0.0,35.46
9395,PO-009395,VEND-0096,100,2026-05-03,2026-06-24,EMP-0595,Open,USD,10,PC-0080,296.5087,0.0,106.55
10704,PO-010704,VEND-0046,100,2026-05-14,2026-06-24,EMP-0584,Open,USD,10,RM-0045,287.9167,0.0,23.27
12013,PO-012013,VEND-0017,100,2026-05-25,2026-06-24,EMP-0573,Open,USD,10,RM-0112,347.3408,0.0,27.48
13322,PO-013322,VEND-0161,300,2026-06-05,2026-06-24,EMP-0562,Open,USD,10,PC-0040,145.2442,0.0,76.24
13360,PO-013360,VEND-0161,300,2026-04-28,2026-06-24,EMP-0600,Open,USD,10,RM-0061,282.8889,0.0,38.03
14631,PO-014631,VEND-0170,200,2026-06-16,2026-06-24,EMP-0611,Open,USD,10,RM-0013,442.8832,0.0,22.43
14669,PO-014669,VEND-0097,300,2026-05-09,2026-06-24,EMP-0589,Open,USD,10,RM-0132,378.6079,0.0,18.86
1069,PO-001069,VEND-0107,100,2026-05-25,2026-06-25,EMP-0609,Open,USD,10,RM-0022,169.3226,0.0,31.06
2378,PO-002378,VEND-0026,100,2026-06-05,2026-06-25,EMP-0598,Open,USD,10,RM-0085,614.0236,0.0,31.93
2416,PO-002416,VEND-0037,200,2026-04-28,2026-06-25,EMP-0576,Open,USD,10,PC-0072,207.5174,0.0,73.35
3687,PO-003687,VEND-0144,200,2026-06-16,2026-06-25,EMP-0587,Open,USD,10,PC-0011,52.7821,0.0,85.88
3725,PO-003725,VEND-0006,300,2026-05-09,2026-06-25,EMP-0565,Open,USD,10,RM-0038,330.4573,0.0,16.01
5034,PO-005034,VEND-0093,100,2026-05-20,2026-06-25,EMP-0614,Open,USD,10,RM-0104,217.6136,0.0,19.11
6343,PO-006343,VEND-0070,200,2026-05-31,2026-06-25,EMP-0603,Open,USD,10,PC-0033,268.3707,0.0,48.53
7652,PO-007652,VEND-0066,300,2026-06-11,2026-06-25,EMP-0592,Open,USD,10,RM-0005,174.2446,0.0,14.46
7690,PO-007690,VEND-0071,100,2026-05-04,2026-06-25,EMP-0570,Open,USD,10,RM-0124,260.3893,0.0,10.98
8999,PO-008999,VEND-0150,200,2026-05-15,2026-06-25,EMP-0619,Open,USD,10,PC-0053,136.8505,0.0,114.77
10308,PO-010308,VEND-0107,200,2026-05-26,2026-06-25,EMP-0608,Open,USD,10,RM-0022,438.3227,0.0,28.69
11617,PO-011617,VEND-0026,200,2026-06-06,2026-06-25,EMP-0597,Open,USD,10,RM-0085,275.1974,0.0,29.5
11655,PO-011655,VEND-0136,100,2026-04-29,2026-06-25,EMP-0575,Open,USD,10,PC-0073,588.7639,0.0,82.25
12926,PO-012926,VEND-0157,100,2026-06-17,2026-06-25,EMP-0586,Open,USD,10,PC-0012,56.8215,0.0,82.57
12964,PO-012964,VEND-0148,100,2026-05-10,2026-06-25,EMP-0564,Open,USD,10,RM-0039,792.2917,0.0,18.06
14273,PO-014273,VEND-0093,200,2026-05-21,2026-06-25,EMP-0613,Open,USD,10,RM-0104,214.4259,0.0,20.56
673,PO-000673,VEND-0015,200,2026-06-06,2026-06-26,EMP-0573,Open,USD,10,PC-0098,346.135,0.0,62.22
711,PO-000711,VEND-0056,200,2026-04-29,2026-06-26,EMP-0611,Open,USD,10,RM-0115,827.2848,0.0,30.79
1982,PO-001982,VEND-0087,200,2026-06-17,2026-06-26,EMP-0562,Open,USD,10,RM-0062,205.4528,0.0,11.38
2020,PO-002020,VEND-0161,100,2026-05-10,2026-06-26,EMP-0600,Open,USD,10,PC-0044,228.3211,0.0,92.07
3329,PO-003329,VEND-0029,100,2026-05-21,2026-06-26,EMP-0589,Open,USD,10,RM-0016,740.7855,0.0,25.61
4638,PO-004638,VEND-0115,300,2026-06-01,2026-06-26,EMP-0578,Open,USD,10,RM-0078,1002.5881,0.0,25.61
5947,PO-005947,VEND-0040,100,2026-06-12,2026-06-26,EMP-0567,Open,USD,10,PC-0003,147.1507,0.0,57.51
5985,PO-005985,VEND-0046,200,2026-05-05,2026-06-26,EMP-0605,Open,USD,10,RM-0032,508.733,0.0,11.25
7294,PO-007294,VEND-0169,100,2026-05-16,2026-06-26,EMP-0594,Open,USD,10,RM-0096,102.3697,0.0,12.78
8603,PO-008603,VEND-0133,100,2026-05-27,2026-06-26,EMP-0583,Open,USD,10,PC-0024,474.1117,0.0,115.68
9912,PO-009912,VEND-0015,300,2026-06-07,2026-06-26,EMP-0572,Open,USD,10,PC-0098,98.6868,0.0,57.28
9950,PO-009950,VEND-0111,100,2026-04-30,2026-06-26,EMP-0610,Open,USD,10,RM-0116,167.3566,0.0,29.23
11221,PO-011221,VEND-0087,300,2026-06-18,2026-06-26,EMP-0561,Open,USD,10,RM-0062,50.1245,0.0,10.48
11259,PO-011259,VEND-0033,200,2026-05-11,2026-06-26,EMP-0599,Open,USD,10,PC-0044,278.5976,0.0,85.01
12568,PO-012568,VEND-0029,200,2026-05-22,2026-06-26,EMP-0588,Open,USD,10,RM-0016,245.6723,0.0,23.64
13877,PO-013877,VEND-0128,100,2026-06-02,2026-06-26,EMP-0577,Open,USD,10,RM-0079,349.7617,0.0,24.44
277,PO-000277,VEND-0063,100,2026-06-18,2026-06-27,EMP-0597,Open,USD,10,PC-0074,137.0968,0.0,81.81
315,PO-000315,VEND-0136,300,2026-05-11,2026-06-27,EMP-0575,Open,USD,10,RM-0088,414.9308,0.0,32.79
1624,PO-001624,VEND-0016,100,2026-05-22,2026-06-27,EMP-0564,Open,USD,10,PC-0015,99.9227,0.0,94.76
2933,PO-002933,VEND-0104,200,2026-06-02,2026-06-27,EMP-0613,Open,USD,10,PC-0091,227.9717,0.0,141.09
4242,PO-004242,VEND-0009,100,2026-06-13,2026-06-27,EMP-0602,Open,USD,10,RM-0056,380.508,0.0,31.96
4280,PO-004280,VEND-0021,200,2026-05-06,2026-06-27,EMP-0580,Open,USD,10,PC-0037,144.9076,0.0,67.3
5589,PO-005589,VEND-0118,100,2026-05-17,2026-06-27,EMP-0569,Open,USD,10,RM-0009,185.0056,0.0,19.39
6898,PO-006898,VEND-0024,300,2026-05-28,2026-06-27,EMP-0618,Open,USD,10,RM-0071,181.4363,0.0,19.39
8207,PO-008207,VEND-0086,200,2026-06-08,2026-06-27,EMP-0607,Open,USD,10,RM-0145,172.196,0.0,29.67
8245,PO-008245,VEND-0086,300,2026-05-01,2026-06-27,EMP-0585,Open,USD,10,RM-0025,98.3603,0.0,29.4
9516,PO-009516,VEND-0063,200,2026-06-19,2026-06-27,EMP-0596,Open,USD,10,PC-0074,183.1524,0.0,87.85
9554,PO-009554,VEND-0078,100,2026-05-12,2026-06-27,EMP-0574,Open,USD,10,RM-0089,219.0248,0.0,30.92
10863,PO-010863,VEND-0016,300,2026-05-23,2026-06-27,EMP-0563,Open,USD,10,PC-0015,292.8547,0.0,87.17
12172,PO-012172,VEND-0104,300,2026-06-03,2026-06-27,EMP-0612,Open,USD,10,PC-0091,193.7829,0.0,129.78
13481,PO-013481,VEND-0009,200,2026-06-14,2026-06-27,EMP-0601,Open,USD,10,RM-0056,761.2805,0.0,29.4
13519,PO-013519,VEND-0122,300,2026-05-07,2026-06-27,EMP-0579,Open,USD,10,PC-0037,172.9918,0.0,62.09
14828,PO-014828,VEND-0118,200,2026-05-18,2026-06-27,EMP-0568,Open,USD,10,RM-0009,158.3371,0.0,17.89
1228,PO-001228,VEND-0149,300,2026-06-03,2026-06-28,EMP-0588,Open,USD,10,RM-0136,193.9872,0.0,20.27
2537,PO-002537,VEND-0126,300,2026-06-14,2026-06-28,EMP-0577,Open,USD,10,PC-0065,174.2603,0.0,52.61
2575,PO-002575,VEND-0176,300,2026-05-07,2026-06-28,EMP-0615,Open,USD,10,RM-0081,300.8737,0.0,26.76
3884,PO-003884,VEND-0092,300,2026-05-18,2026-06-28,EMP-0604,Open,USD,10,PC-0007,74.3448,0.0,67.69
5193,PO-005193,VEND-0013,300,2026-05-29,2026-06-28,EMP-0593,Open,USD,10,PC-0084,585.1024,0.0,116.87
6502,PO-006502,VEND-0098,300,2026-06-09,2026-06-28,EMP-0582,Open,USD,10,RM-0049,133.2569,0.0,25.94
6540,PO-006540,VEND-0061,200,2026-05-02,2026-06-28,EMP-0560,Open,USD,10,PC-0028,265.7926,0.0,141.46
7811,PO-007811,VEND-0095,100,2026-06-20,2026-06-28,EMP-0571,Open,USD,10,RM-0118,463.1864,0.0,31.67
7849,PO-007849,VEND-0027,200,2026-05-13,2026-06-28,EMP-0609,Open,USD,10,RM-0002,54.033,0.0,13.29
9158,PO-009158,VEND-0126,300,2026-05-24,2026-06-28,EMP-0598,Open,USD,10,RM-0065,75.1748,0.0,14.13
10467,PO-010467,VEND-0162,100,2026-06-04,2026-06-28,EMP-0587,Open,USD,10,RM-0137,81.3583,0.0,22.63
11776,PO-011776,VEND-0139,100,2026-06-15,2026-06-28,EMP-0576,Open,USD,10,PC-0066,176.5834,0.0,59.92
11814,PO-011814,VEND-0167,100,2026-05-08,2026-06-28,EMP-0614,Open,USD,10,RM-0082,216.2979,0.0,29.56
13123,PO-013123,VEND-0105,200,2026-05-19,2026-06-28,EMP-0603,Open,USD,10,PC-0008,344.7169,0.0,76.06
14432,PO-014432,VEND-0026,100,2026-05-30,2026-06-28,EMP-0592,Open,USD,10,PC-0085,211.6161,0.0,128.78
832,PO-000832,VEND-0158,100,2026-06-15,2026-06-29,EMP-0612,Open,USD,10,RM-0109,41.7238,0.0,26.04
870,PO-000870,VEND-0151,200,2026-05-08,2026-06-29,EMP-0590,Open,USD,10,PC-0095,306.8127,0.0,48.99
2179,PO-002179,VEND-0048,200,2026-05-19,2026-06-29,EMP-0579,Open,USD,10,RM-0059,77.6424,0.0,32.6
3488,PO-003488,VEND-0058,100,2026-05-30,2026-06-29,EMP-0568,Open,USD,10,RM-0129,143.2003,0.0,14.59
4797,PO-004797,VEND-0035,300,2026-06-10,2026-06-29,EMP-0617,Open,USD,10,PC-0058,326.2061,0.0,127.28
4835,PO-004835,VEND-0036,100,2026-05-03,2026-06-29,EMP-0595,Open,USD,10,RM-0075,481.6373,0.0,21.65
6106,PO-006106,VEND-0172,100,2026-06-21,2026-06-29,EMP-0606,Open,USD,10,RM-0027,219.4294,0.0,31.82
6144,PO-006144,VEND-0138,100,2026-05-14,2026-06-29,EMP-0584,Open,USD,10,RM-0149,232.9982,0.0,31.39
7453,PO-007453,VEND-0102,300,2026-05-25,2026-06-29,EMP-0573,Open,USD,10,PC-0077,112.1604,0.0,93.07
8762,PO-008762,VEND-0020,100,2026-06-05,2026-06-29,EMP-0562,Open,USD,10,RM-0043,24.0045,0.0,20.83
10071,PO-010071,VEND-0158,300,2026-06-16,2026-06-29,EMP-0611,Open,USD,10,RM-0109,451.0975,0.0,24.08
10109,PO-010109,VEND-0156,300,2026-05-09,2026-06-29,EMP-0589,Open,USD,10,PC-0095,246.2421,0.0,52.67
11418,PO-011418,VEND-0048,300,2026-05-20,2026-06-29,EMP-0578,Open,USD,10,RM-0059,530.2347,0.0,35.06
12727,PO-012727,VEND-0058,300,2026-05-31,2026-06-29,EMP-0567,Open,USD,10,RM-0129,323.9697,0.0,15.69
14036,PO-014036,VEND-0048,100,2026-06-11,2026-06-29,EMP-0616,Open,USD,10,PC-0059,365.7421,0.0,140.23
14074,PO-014074,VEND-0076,300,2026-05-04,2026-06-29,EMP-0594,Open,USD,10,RM-0075,185.0818,0.0,23.22
474,PO-000474,VEND-0178,200,2026-05-20,2026-06-30,EMP-0614,Open,USD,10,PC-0069,306.7698,0.0,71.94
1783,PO-001783,VEND-0109,300,2026-05-31,2026-06-30,EMP-0603,Open,USD,10,RM-0036,536.1225,0.0,16.24
3092,PO-003092,VEND-0054,300,2026-06-11,2026-06-30,EMP-0592,Open,USD,10,RM-0101,355.8511,0.0,18.86
3130,PO-003130,VEND-0011,300,2026-05-04,2026-06-30,EMP-0570,Open,USD,10,PC-0087,258.0633,0.0,119.88
4401,PO-004401,VEND-0031,100,2026-06-22,2026-06-30,EMP-0581,Open,USD,10,PC-0030,365.7906,0.0,152.1
4439,PO-004439,VEND-0150,100,2026-05-15,2026-06-30,EMP-0619,Open,USD,10,RM-0053,189.6178,0.0,27.64
5748,PO-005748,VEND-0134,300,2026-05-26,2026-06-30,EMP-0608,Open,USD,10,RM-0121,51.384,0.0,32.3
7057,PO-007057,VEND-0124,100,2026-06-06,2026-06-30,EMP-0597,Open,USD,10,PC-0051,151.8314,0.0,104.37
8366,PO-008366,VEND-0081,200,2026-06-17,2026-06-30,EMP-0586,Open,USD,10,RM-0020,469.8342,0.0,26.09
8404,PO-008404,VEND-0034,200,2026-05-10,2026-06-30,EMP-0564,Open,USD,10,RM-0141,263.8155,0.0,24.67
9713,PO-009713,VEND-0011,100,2026-05-21,2026-06-30,EMP-0613,Open,USD,10,PC-0070,552.9897,0.0,69.69
11022,PO-011022,VEND-0122,100,2026-06-01,2026-06-30,EMP-0602,Open,USD,10,RM-0037,249.4765,0.0,15.81
12331,PO-012331,VEND-0067,100,2026-06-12,2026-06-30,EMP-0591,Open,USD,10,RM-0102,260.8673,0.0,18.22
12369,PO-012369,VEND-0065,100,2026-05-05,2026-06-30,EMP-0569,Open,USD,10,PC-0088,598.3132,0.0,132.32
13640,PO-013640,VEND-0021,300,2026-06-23,2026-06-30,EMP-0580,Open,USD,10,PC-0030,547.2015,0.0,140.53
13678,PO-013678,VEND-0150,200,2026-05-16,2026-06-30,EMP-0618,Open,USD,10,RM-0053,52.3336,0.0,29.74
14987,PO-014987,VEND-0147,100,2026-05-27,2026-06-30,EMP-0607,Open,USD,10,RM-0122,98.336,0.0,35.59
78,PO-000078,VEND-0174,200,2026-06-01,2026-07-01,EMP-0578,Open,USD,10,PC-0041,509.6889,0.0,78.92
1387,PO-001387,VEND-0003,100,2026-06-12,2026-07-01,EMP-0567,Open,USD,10,RM-0014,134.3876,0.0,23.06
1425,PO-001425,VEND-0166,200,2026-05-05,2026-07-01,EMP-0605,Open,USD,10,RM-0133,255.3326,0.0,19.56
2696,PO-002696,VEND-0089,200,2026-06-23,2026-07-01,EMP-0616,Open,USD,10,RM-0076,122.5279,0.0,23.06
2734,PO-002734,VEND-0087,200,2026-05-16,2026-07-01,EMP-0594,Open,USD,10,PC-0062,229.1128,0.0,47.14
4043,PO-004043,VEND-0031,200,2026-05-27,2026-07-01,EMP-0583,Open,USD,10,RM-0030,284.3134,0.0,37.71
5352,PO-005352,VEND-0130,200,2026-06-07,2026-07-01,EMP-0572,Open,USD,10,RM-0093,227.7209,0.0,11.78
6661,PO-006661,VEND-0094,100,2026-06-18,2026-07-01,EMP-0561,Open,USD,10,PC-0021,282.386,0.0,119.72
6699,PO-006699,VEND-0059,100,2026-05-11,2026-07-01,EMP-0599,Open,USD,10,RM-0046,357.7648,0.0,22.0
8008,PO-008008,VEND-0030,100,2026-05-22,2026-07-01,EMP-0588,Open,USD,10,RM-0113,379.4556,0.0,25.84
9317,PO-009317,VEND-0007,100,2026-06-02,2026-07-01,EMP-0577,Open,USD,10,PC-0042,549.2345,0.0,75.72
10626,PO-010626,VEND-0003,200,2026-06-13,2026-07-01,EMP-0566,Open,USD,10,RM-0014,49.7321,0.0,21.23
10664,PO-010664,VEND-0110,300,2026-05-06,2026-07-01,EMP-0604,Open,USD,10,RM-0133,156.1591,0.0,18.06
11935,PO-011935,VEND-0176,300,2026-06-24,2026-07-01,EMP-0615,Open,USD,10,RM-0076,108.8811,0.0,21.23
11973,PO-011973,VEND-0100,100,2026-05-17,2026-07-01,EMP-0593,Open,USD,10,PC-0063,247.586,0.0,46.71
13282,PO-013282,VEND-0031,300,2026-05-28,2026-07-01,EMP-0582,Open,USD,10,RM-0030,702.1914,0.0,34.82
