id,bom_id,line_number,component_item_id,quantity_per,scrap_factor,issue_operation,cost_relevant
348,78,20,RM-0123,0.5,0.005,10,1
349,78,30,RM-0146,1.55,0.01,10,1
350,78,40,PC-0019,2.6,0.015,10,1
351,78,50,PC-0042,3.65,0.02,10,1
352,79,10,RM-0117,4.0,0.005,10,1
353,79,20,RM-0140,0.85,0.01,10,1
354,79,30,PC-0013,1.9,0.015,10,1
355,79,40,PC-0036,2.95,0.02,10,1
356,79,50,PC-0059,4.0,0.005,10,1
357,79,60,PC-0082,0.85,0.01,10,1
358,80,10,RM-0134,4.35,0.01,10,1
359,80,20,PC-0007,1.2,0.015,10,1
360,80,30,PC-0030,2.25,0.02,10,1
361,81,10,PC-0001,0.5,0.015,10,1
362,81,20,PC-0024,1.55,0.02,10,1
363,81,30,PC-0047,2.6,0.005,10,1
364,81,40,PC-0070,3.65,0.01,10,1
365,82,10,PC-0018,0.85,0.02,10,1
366,82,20,PC-0041,1.9,0.005,10,1
367,82,30,PC-0064,2.95,0.01,10,1
368,82,40,PC-0087,4.0,0.015,10,1
369,82,50,RM-0010,0.85,0.02,10,1
370,83,10,PC-0035,1.2,0.005,10,1
371,83,20,PC-0058,2.25,0.01,10,1
372,83,30,PC-0081,3.3,0.015,10,1
373,83,40,RM-0004,4.35,0.02,10,1
374,83,50,RM-0027,1.2,0.005,10,1
375,83,60,RM-0050,2.25,0.01,10,1
376,84,10,PC-0052,1.55,0.01,10,1
377,84,20,PC-0075,2.6,0.015,10,1
378,84,30,PC-0098,3.65,0.02,10,1
379,85,10,PC-0069,1.9,0.015,10,1
380,85,20,PC-0092,2.95,0.02,10,1
381,85,30,RM-0015,4.0,0.005,10,1
382,85,40,RM-0038,0.85,0.01,10,1
383,86,10,PC-0086,2.25,0.02,10,1
384,86,20,RM-0009,3.3,0.005,10,1
385,86,30,RM-0032,4.35,0.01,10,1
386,86,40,RM-0055,1.2,0.015,10,1
387,86,50,RM-0078,2.25,0.02,10,1
388,87,10,RM-0003,2.6,0.005,10,1
389,87,20,RM-0026,3.65,0.01,10,1
390,87,30,RM-0049,0.5,0.015,10,1
391,87,40,RM-0072,1.55,0.02,10,1
392,87,50,RM-0095,2.6,0.005,10,1
393,87,60,RM-0118,3.65,0.01,10,1
394,88,10,RM-0020,2.95,0.01,10,1
395,88,20,RM-0043,4.0,0.015,10,1
396,88,30,RM-0066,0.85,0.02,10,1
397,89,10,RM-0037,3.3,0.015,10,1
398,89,20,RM-0060,4.35,0.02,10,1
399,89,30,RM-0083,1.2,0.005,10,1
400,89,40,RM-0106,2.25,0.01,10,1
401,90,10,RM-0054,3.65,0.02,10,1
402,90,20,RM-0077,0.5,0.005,10,1
403,90,30,RM-0100,1.55,0.01,10,1
404,90,40,RM-0123,2.6,0.015,10,1
405,90,50,RM-0146,3.65,0.02,10,1
406,91,10,RM-0071,4.0,0.005,10,1
407,91,20,RM-0094,0.85,0.01,10,1
408,91,30,RM-0117,1.9,0.015,10,1
409,91,40,RM-0140,2.95,0.02,10,1
410,91,50,PC-0013,4.0,0.005,10,1
411,91,60,PC-0036,0.85,0.01,10,1
412,92,10,RM-0088,4.35,0.01,10,1
413,92,20,RM-0111,1.2,0.015,10,1
414,92,30,RM-0134,2.25,0.02,10,1
415,93,10,RM-0105,0.5,0.015,10,1
416,93,20,RM-0128,1.55,0.02,10,1
417,93,30,PC-0001,2.6,0.005,10,1
418,93,40,PC-0024,3.65,0.01,10,1
419,94,10,RM-0122,0.85,0.02,10,1
420,94,20,RM-0145,1.9,0.005,10,1
421,94,30,PC-0018,2.95,0.01,10,1
422,94,40,PC-0041,4.0,0.015,10,1
423,94,50,PC-0064,0.85,0.02,10,1
424,95,10,RM-0139,1.2,0.005,10,1
425,95,20,PC-0012,2.25,0.01,10,1
426,95,30,PC-0035,3.3,0.015,10,1
427,95,40,PC-0058,4.35,0.02,10,1
428,95,50,PC-0081,1.2,0.005,10,1
429,95,60,RM-0004,2.25,0.01,10,1
430,96,10,PC-0006,1.55,0.01,10,1
431,96,20,PC-0029,2.6,0.015,10,1
432,96,30,PC-0052,3.65,0.02,10,1
433,97,10,PC-0023,1.9,0.015,10,1
434,97,20,PC-0046,2.95,0.02,10,1
435,97,30,PC-0069,4.0,0.005,10,1
436,97,40,PC-0092,0.85,0.01,10,1
437,98,10,PC-0040,2.25,0.02,10,1
438,98,20,PC-0063,3.3,0.005,10,1
439,98,30,PC-0086,4.35,0.01,10,1
440,98,40,RM-0009,1.2,0.015,10,1
441,98,50,RM-0032,2.25,0.02,10,1
442,99,10,PC-0057,2.6,0.005,10,1
443,99,20,PC-0080,3.65,0.01,10,1
444,99,30,RM-0003,0.5,0.015,10,1
445,99,40,RM-0026,1.55,0.02,10,1
446,99,50,RM-0049,2.6,0.005,10,1
447,99,60,RM-0072,3.65,0.01,10,1
448,100,10,PC-0074,2.95,0.01,10,1
449,100,20,PC-0097,4.0,0.015,10,1
450,100,30,RM-0020,0.85,0.02,10,1
451,101,10,PC-0001,3.3,0.015,10,1
452,101,20,PC-0024,4.35,0.02,10,1
453,101,30,PC-0047,1.2,0.005,10,1
454,101,40,PC-0070,2.25,0.01,10,1
455,102,10,PC-0018,3.65,0.02,10,1
456,102,20,PC-0041,0.5,0.005,10,1
457,102,30,PC-0064,1.55,0.01,10,1
458,102,40,PC-0087,2.6,0.015,10,1
459,102,50,SA-0028,3.65,0.02,10,1
460,103,10,PC-0035,4.0,0.005,10,1
461,103,20,PC-0058,0.85,0.01,10,1
462,103,30,PC-0081,1.9,0.015,10,1
463,103,40,SA-0012,2.95,0.02,10,1
464,103,50,RM-0012,4.0,0.005,10,1
465,103,60,RM-0035,0.85,0.01,10,1
466,104,10,PC-0052,4.35,0.01,10,1
467,104,20,PC-0075,1.2,0.015,10,1
468,104,30,PC-0098,2.25,0.02,10,1
469,105,10,PC-0069,0.5,0.015,10,1
470,105,20,PC-0092,1.55,0.02,10,1
471,105,30,SA-0045,2.6,0.005,10,1
472,105,40,RM-0023,3.65,0.01,10,1
473,106,10,PC-0086,0.85,0.02,10,1
474,106,20,SA-0025,1.9,0.005,10,1
475,106,30,RM-0017,2.95,0.01,10,1
476,106,40,RM-0040,4.0,0.015,10,1
477,106,50,RM-0063,0.85,0.02,10,1
478,107,10,SA-0009,1.2,0.005,10,1
479,107,20,RM-0011,2.25,0.01,10,1
480,107,30,RM-0034,3.3,0.015,10,1
481,107,40,RM-0057,4.35,0.02,10,1
482,107,50,RM-0080,1.2,0.005,10,1
483,107,60,RM-0103,2.25,0.01,10,1
484,108,10,RM-0005,1.55,0.01,10,1
485,108,20,RM-0028,2.6,0.015,10,1
486,108,30,RM-0051,3.65,0.02,10,1
487,109,10,RM-0022,1.9,0.015,10,1
488,109,20,RM-0045,2.95,0.02,10,1
489,109,30,RM-0068,4.0,0.005,10,1
490,109,40,RM-0091,0.85,0.01,10,1
491,110,10,RM-0039,2.25,0.02,10,1
492,110,20,RM-0062,3.3,0.005,10,1
493,110,30,RM-0085,4.35,0.01,10,1
494,110,40,RM-0108,1.2,0.015,10,1
495,110,50,RM-0131,2.25,0.02,10,1
496,111,10,RM-0056,2.6,0.005,10,1
497,111,20,RM-0079,3.65,0.01,10,1
498,111,30,RM-0102,0.5,0.015,10,1
499,111,40,RM-0125,1.55,0.02,10,1
500,111,50,RM-0148,2.6,0.005,10,1
501,111,60,PC-0021,3.65,0.01,10,1
502,112,10,RM-0073,2.95,0.01,10,1
503,112,20,RM-0096,4.0,0.015,10,1
504,112,30,RM-0119,0.85,0.02,10,1
505,113,10,RM-0090,3.3,0.015,10,1
506,113,20,RM-0113,4.35,0.02,10,1
507,113,30,RM-0136,1.2,0.005,10,1
508,113,40,PC-0009,2.25,0.01,10,1
509,114,10,RM-0107,3.65,0.02,10,1
510,114,20,RM-0130,0.5,0.005,10,1
511,114,30,PC-0003,1.55,0.01,10,1
512,114,40,PC-0026,2.6,0.015,10,1
513,114,50,PC-0049,3.65,0.02,10,1
514,115,10,RM-0117,4.0,0.005,10,1
515,115,20,RM-0140,0.85,0.01,10,1
516,115,30,PC-0013,1.9,0.015,10,1
517,115,40,PC-0036,2.95,0.02,10,1
518,115,50,PC-0059,4.0,0.005,10,1
519,115,60,PC-0082,0.85,0.01,10,1
520,116,10,RM-0141,4.35,0.01,10,1
521,116,20,PC-0014,1.2,0.015,10,1
522,116,30,PC-0037,2.25,0.02,10,1
523,117,10,RM-0137,0.5,0.015,10,1
524,117,20,PC-0010,1.55,0.02,10,1
525,117,30,PC-0033,2.6,0.005,10,1
526,117,40,PC-0056,3.65,0.01,10,1
527,118,10,PC-0018,0.85,0.02,10,1
528,118,20,PC-0041,1.9,0.005,10,1
529,118,30,PC-0064,2.95,0.01,10,1
530,118,40,PC-0087,4.0,0.015,10,1
531,118,50,SA-0028,0.85,0.02,10,1
532,119,10,PC-0007,1.2,0.005,10,1
533,119,20,PC-0030,2.25,0.01,10,1
534,119,30,PC-0053,3.3,0.015,10,1
535,119,40,PC-0076,4.35,0.02,10,1
536,119,50,PC-0099,1.2,0.005,10,1
537,119,60,RM-0002,2.25,0.01,10,1
538,120,10,PC-0038,1.55,0.01,10,1
539,120,20,PC-0061,2.6,0.015,10,1
540,120,30,PC-0084,3.65,0.02,10,1
541,121,10,PC-0027,1.9,0.015,10,1
542,121,20,PC-0050,2.95,0.02,10,1
543,121,30,PC-0073,4.0,0.005,10,1
544,121,40,PC-0096,0.85,0.01,10,1
545,122,10,PC-0058,2.25,0.02,10,1
546,122,20,PC-0081,3.3,0.005,10,1
547,122,30,SA-0010,4.35,0.01,10,1
548,122,40,RM-0007,1.2,0.015,10,1
549,122,50,RM-0030,2.25,0.02,10,1
550,123,10,PC-0047,2.6,0.005,10,1
551,123,20,PC-0070,3.65,0.01,10,1
552,123,30,PC-0093,0.5,0.015,10,1
553,123,40,SA-0048,1.55,0.02,10,1
554,123,50,RM-0015,2.6,0.005,10,1
555,123,60,RM-0038,3.65,0.01,10,1
556,124,10,PC-0078,2.95,0.01,10,1
557,124,20,SA-0001,4.0,0.015,10,1
558,124,30,RM-0002,0.85,0.02,10,1
559,125,10,PC-0067,3.3,0.015,10,1
560,125,20,PC-0090,4.35,0.02,10,1
561,125,30,SA-0039,1.2,0.005,10,1
562,125,40,RM-0010,2.25,0.01,10,1
563,126,10,PC-0098,3.65,0.02,10,1
564,126,20,SA-0061,0.5,0.005,10,1
565,126,30,RM-0020,1.55,0.01,10,1
566,126,40,RM-0043,2.6,0.015,10,1
567,126,50,RM-0066,3.65,0.02,10,1
568,127,10,PC-0087,4.0,0.005,10,1
569,127,20,SA-0030,0.85,0.01,10,1
570,127,30,RM-0005,1.9,0.015,10,1
571,127,40,RM-0028,2.95,0.02,10,1
572,127,50,RM-0051,4.0,0.005,10,1
573,127,60,RM-0074,0.85,0.01,10,1
574,128,10,SA-0052,4.35,0.01,10,1
575,128,20,RM-0015,1.2,0.015,10,1
576,128,30,RM-0038,2.25,0.02,10,1
577,129,10,SA-0021,0.5,0.015,10,1
578,129,20,SA-0090,1.55,0.02,10,1
579,129,30,RM-0023,2.6,0.005,10,1
